鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內埔鄉,房地(土地+建物),壽比段931~960地號,39.97,,,,1031019,土地5建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,154.57,4,0,4,有,無,5350000,34612,,0.0,0,,RPQNMLNLLHKFFCT76DB
內埔鄉,房地(土地+建物),壽比段931~960地號,25.77,,,,1031101,土地5建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.5,3,0,3,有,無,4140000,41194,,0.0,0,,RPXNMLNLLHKFFCT47DB
內埔鄉,房地(土地+建物),壽比段931~960地號,25.51,,,,1031101,土地5建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.72,3,0,3,有,無,4140000,41516,,0.0,0,,RPPOMLNLLHKFFCT76DB
內埔鄉,房地(土地+建物),壽比段931~960地號,25.77,,,,1040104,土地5建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.5,3,0,3,有,無,4220000,41990,,0.0,0,,RPTOMLNLLHKFFCT17DB
內埔鄉,房地(土地+建物),壽比段931~960地號,22.09,,,,1031220,土地5建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.56,3,0,3,有,無,4000000,46211,,0.0,0,,RPUOMLNLLHKFFCT27DB
內埔鄉,房地(土地+建物),壽比段931~960地號,25.51,,,,1040111,土地5建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.82,3,0,3,有,無,4080000,40874,,0.0,0,,RPOPMLNLLHKFFCT76DB
內埔鄉,房地(土地+建物),壽比段931~960地號,26.3,,,,1040303,土地5建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.57,3,0,3,有,無,4340000,42313,,0.0,0,,RPPPMLNLLHKFFCT86DB
內埔鄉,房地(土地+建物),壽比段931~960地號,25.51,,,,1040130,土地5建物1車位0,二層,7,其他,住家用,,,99.59,3,0,3,有,無,4060000,40767,,0.0,0,,RPXOMLOLLHKFFCT67DB
內埔鄉,房地(土地+建物),壽比段931~960地號,25.77,,,,1040130,土地5建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.5,3,0,3,有,無,4060000,40398,,0.0,0,,RPOPMLOLLHKFFCT86DB
