編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLNLLHKFFCT76DB,壽比段,.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLNLLHKFFCT76DB,壽比段,.38,非都市： ; 非都市編定：
RPPOMLNLLHKFFCT76DB,壽比段,12.58,非都市： ; 非都市編定：
RPPOMLNLLHKFFCT76DB,壽比段,11.85,非都市： ; 非都市編定：
RPPOMLNLLHKFFCT76DB,壽比段,.38,非都市： ; 非都市編定：
RPPPMLNLLHKFFCT86DB,壽比段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLNLLHKFFCT86DB,壽比段,.40,非都市： ; 非都市編定：
RPPPMLNLLHKFFCT86DB,壽比段,12.97,非都市： ; 非都市編定：
RPPPMLNLLHKFFCT86DB,壽比段,12.22,非都市： ; 非都市編定：
RPPPMLNLLHKFFCT86DB,壽比段,.39,非都市： ; 非都市編定：
RPUOMLNLLHKFFCT27DB,壽比段,.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLNLLHKFFCT17DB,壽比段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNLLHKFFCT27DB,壽比段,.33,非都市： ; 非都市編定：
RPTOMLNLLHKFFCT17DB,壽比段,.39,非都市： ; 非都市編定：
RPUOMLNLLHKFFCT27DB,壽比段,10.90,非都市： ; 非都市編定：
RPTOMLNLLHKFFCT17DB,壽比段,12.71,非都市： ; 非都市編定：
RPUOMLNLLHKFFCT27DB,壽比段,10.26,非都市： ; 非都市編定：
RPTOMLNLLHKFFCT17DB,壽比段,11.97,非都市： ; 非都市編定：
RPUOMLNLLHKFFCT27DB,壽比段,.33,非都市： ; 非都市編定：
RPTOMLNLLHKFFCT17DB,壽比段,.38,非都市： ; 非都市編定：
RPOPMLOLLHKFFCT86DB,壽比段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLOLLHKFFCT86DB,壽比段,.39,非都市： ; 非都市編定：
RPOPMLOLLHKFFCT86DB,壽比段,12.71,非都市： ; 非都市編定：
RPOPMLOLLHKFFCT86DB,壽比段,11.97,非都市： ; 非都市編定：
RPOPMLOLLHKFFCT86DB,壽比段,.38,非都市： ; 非都市編定：
RPOPMLNLLHKFFCT76DB,壽比段,.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLNLLHKFFCT76DB,壽比段,.38,非都市： ; 非都市編定：
RPOPMLNLLHKFFCT76DB,壽比段,12.58,非都市： ; 非都市編定：
RPOPMLNLLHKFFCT76DB,壽比段,11.85,非都市： ; 非都市編定：
RPOPMLNLLHKFFCT76DB,壽比段,.38,非都市： ; 非都市編定：
RPQNMLNLLHKFFCT76DB,壽比段,.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNLLHKFFCT76DB,壽比段,.60,非都市： ; 非都市編定：
RPQNMLNLLHKFFCT76DB,壽比段,19.72,非都市： ; 非都市編定：
RPQNMLNLLHKFFCT76DB,壽比段,18.57,非都市： ; 非都市編定：
RPQNMLNLLHKFFCT76DB,壽比段,.59,非都市： ; 非都市編定：
RPXOMLOLLHKFFCT67DB,壽比段,.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLOLLHKFFCT67DB,壽比段,.38,非都市： ; 非都市編定：
RPXOMLOLLHKFFCT67DB,壽比段,12.58,非都市： ; 非都市編定：
RPXOMLOLLHKFFCT67DB,壽比段,11.85,非都市： ; 非都市編定：
RPXOMLOLLHKFFCT67DB,壽比段,.38,非都市： ; 非都市編定：
RPXNMLNLLHKFFCT47DB,壽比段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLNLLHKFFCT47DB,壽比段,.39,非都市： ; 非都市編定：
RPXNMLNLLHKFFCT47DB,壽比段,12.71,非都市： ; 非都市編定：
RPXNMLNLLHKFFCT47DB,壽比段,11.97,非都市： ; 非都市編定：
RPXNMLNLLHKFFCT47DB,壽比段,.38,非都市： ; 非都市編定：
