編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPNMLMJNHKFFDA37CC,坡道平面,0,
RPPNMLMJNHKFFDA37CC,坡道平面,0,
RPRNMLLJNHKFFBA27CC,坡道平面,3000,15.51
RPSNMLMJNHKFFCA57CC,坡道平面,0,34.79
RPSNMLMJNHKFFCA57CC,坡道平面,0,34.79
RPSOMLLJNHKFFCA57CC,坡道平面,0,39.53
RPQPMLOJNHKFFDA87CC,坡道平面,0,33.79
RPQOMLPJNHKFFAA57CC,坡道平面,0,38.07
RPQOMLPJNHKFFAA57CC,坡道平面,0,38.07
RPQOMLPJNHKFFAA57CC,坡道平面,0,38.07
RPQOMLPJNHKFFAA57CC,坡道平面,0,38.07
RPOOMLOJNHKFFFA77CC,坡道平面,0,36.32
RPOOMLOJNHKFFFA77CC,坡道平面,0,36.32
RPOOMLOJNHKFFFA77CC,坡道平面,0,36.32
RPOOMLOJNHKFFFA77CC,坡道平面,0,36.32
RPPPMLPJNHKFFDA87CC,坡道平面,0,
RPVQMLPJNHKFFCA48CC,坡道平面,0,
RPVQMLPJNHKFFCA48CC,坡道平面,0,
RPVQMLPJNHKFFCA48CC,坡道平面,0,
RPSQMLQJNHKFFCA28CC,坡道平面,0,38.52
RPQRMLQJNHKFFCA18CC,坡道平面,0,12.87
RPQRMLQJNHKFFCA18CC,坡道平面,0,12.87
RPTOMLQJNHKFFDA28CC,坡道平面,0,37.35
RPTOMLQJNHKFFDA28CC,坡道平面,0,37.35
RPVOMLQJNHKFFDA48CC,坡道平面,0,36.05
RPVOMLQJNHKFFDA48CC,坡道平面,0,36.05
RPOPMLQJNHKFFDA87CC,坡道平面,0,32.69
RPWNMLRJNHKFFFA78CC,其他,0,37.73
RPSOMLRJNHKFFBA08CC,坡道機械,0,
RPXNMLRJNHKFFFA98DC,升降平面,3000,
RPRPMLRJNHKFFDA28CC,坡道平面,0,59.69
