鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中區,房地(土地+建物),臺中市中區中華路一段121~150號,1.5,商,,,1040414,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0850520,34.42,1,1,1,有,有,1400000,40674,,0.0,0,,RPSPMLOJNHKFFAB67CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,7.05,住,,,1040327,土地2建物3車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,91.06,3,1,3,有,有,2400000,26356,,0.0,0,,RPSOMLPJNHKFFAB67CA
西區,房地(土地+建物),臺中市西區昇平街145巷1~30號,17.63,住,,,1040416,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680517,61.87,2,2,1,有,無,2800000,45256,,0.0,0,,RPWOMLPJNHKFFAB08CA
南區,房地(土地+建物),臺中市南區國光路421~450號,21.26,住,,,1040331,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701001,98.81,4,0,4,有,無,4380000,44327,,0.0,0,,RPQNMLQJNHKFFAB47CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路811~840號,7.71,商,,,1040407,土地2建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0931224,112.16,2,2,1,有,有,6850000,61073,坡道機械,13.11,0,,RPXNMLQJNHKFFAB18CA
南區,房地(土地+建物),臺中市南區工學一街167巷1~30號,10.98,住,,,1040326,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,65.94,2,1,1,有,有,2700000,40946,,0.0,0,,RPSNMLRJNHKFFAB77CA
西區,房地(土地+建物),臺中市西區模範街1~30號,4.71,住,,,1040417,土地2建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820611,29.84,1,1,1,有,有,1150000,38539,,0.0,0,,RPSNMLSJNHKFFAB87CA
南區,房地(土地+建物),臺中市南區學府路146巷1~30號,3.92,住,,,1040421,土地1建物1車位0,十六層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850627,41.739999999999995,1,0,1,有,有,1500000,35937,,0.0,0,,RPXOMLPKNHKFFAB28CA
西區,房地(土地+建物),臺中市西區中興里中興四巷1~30號,63.0,住,,,1031208,土地1建物1車位0,全,二層,透天厝,住家用,磚造,,53.98,4,1,2,有,無,3690000,68359,,0.0,0,母女關係間之交易。,RPPNMLTKNHKFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區德富路31~60號,13.94,住,,,1040421,土地3建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871219,105.32,2,2,2,有,有,5600000,53171,坡道平面,0.0,0,,RPPNMLKLNHKFFAB96CA
南區,房地(土地+建物),臺中市南區美村南路303巷9弄1~30號,138.0,住,,,1040408,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0771104,121.57,4,2,3,有,無,12400000,101999,,0.0,0,,RPRRMLKLNHKFFAB57CA
南區,房地(土地+建物)+車位,臺中市南區復興北路331~360號,15.83,住,,,1011122,土地2建物1車位1,一層，騎樓，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040217,140.20999999999998,0,0,2,無,有,14500000,103416,坡道平面,28.46,0,,RPVNMLLLNHKFFAB67CA
南區,房地(土地+建物)+車位,臺中市南區復興北路301~330號,16.67,住,,,1020218,土地2建物1車位1,一層，騎樓，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040217,147.32,0,0,2,無,有,15700000,106571,坡道平面,28.46,0,,RPWNMLLLNHKFFAB77CA
