編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLLKOHKFFCC67CC,20,69.08,住家用,鋼筋混凝土造,84年7月3日,五層,
RPWNMLRJNHKFFCC68CC,36,118.74,商業用,鋼筋混凝土造,68年3月31日,五層,
RPWNMLRJNHKFFCC68CC,36,107.28,商業用,鋼筋混凝土造,68年3月31日,五層,
RPWNMLNKNHKFFCC48DC,19,101.59,住家用,鋼筋混凝土造,85年3月9日,十七層,
RPWNMLNKNHKFFCC48DC,19,53.37,見其他登記事項,鋼筋混凝土造,85年3月9日,十七層,
RPSNMLPJOHKFFCC18CC,18,69.93,住家用,鋼筋混凝土造,86年5月8日,十一層,
RPRNMLLJOHKFFBC57CC,18,99.56,住家用,鋼筋混凝土造,85年11月19日,五層,
RPSNMLSKNHKFFBC38CC,18,42.80,見其他登記事項,鋼筋混凝土造,86年5月3日,十層,
RPRNMLRJNHKFFBC08CC,20,68.38,見其他登記事項,鋼筋混凝土造,84年6月10日,四層,
RPSNMLRJNHKFFBC18CC,16,101.74,住家用,鋼筋混凝土造,88年1月22日,七層,
RPRNMLMLOHKFFBC97DC,35,48.60,商業用,鋼筋混凝土造,69年1月21日,五層,
RPSNMLQJNHKFFBC08CC,,84.79,,,,,
RPTNMLNLOHKFFBC28DC,11,198.35,見其他登記事項,鋼筋混凝土造,93年1月15日,十二層,
RPVNMLPJOHKFFCC48CC,16,72.22,商業用,鋼筋混凝土造,88年1月14日,十二層,
RPUNMLQKOHKFFCC58CC,4,1742.00,見其他登記事項,鋼筋混凝土造,100年10月19日,四層,
RPTNMLPKOHKFFCC38CC,7,46.33,見其他登記事項,鋼筋混凝土造,97年10月3日,4,
RPUQMLNJPHKFFBC48CC,19,140.29,住家用,鋼筋混凝土造,85年3月9日,十四層,
RPXNMLOLOHKFFBC68CC,20,75.22,住家用,鋼筋混凝土造,84年5月25日,七層,
RPPNMLSKPHKFFBC28CC,38,80.09,住家用,鋼筋混凝土加強磚造,66年6月20日,四層,
RPXRMLRJPHKFFBC66CC,16,70.67,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLPKPHKFFBC28CC,16,137.48,住家用,鋼筋混凝土造,88年1月20日,七層,
RPTNMLSJPHKFFCC68CC,35,130.54,商業用,鋼筋混凝土造,69年11月24日,五層,
RPTSMLRJPHKFFBC98CC,37,43.24,住家用,鋼筋混凝土造,67年6月9日,五層,
