編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSOMLTJOHKFFCD68CB,坡道平面,1100000,31.20
RPQOMLTJOHKFFCD48CB,坡道平面,1150000,31.20
RPTOMLTJOHKFFCD78CB,坡道平面,1100000,31.20
RPROMLTJOHKFFCD58CB,坡道平面,1100000,31.20
RPUOMLTJOHKFFCD88CB,坡道平面,1100000,31.20
RPVOMLTJOHKFFCD98CB,坡道平面,1050000,31.20
RPPPMLTJOHKFFCD48CB,坡道平面,1150000,31.20
RPXOMLTJOHKFFCD56CB,坡道平面,1050000,31.20
RPQPMLTJOHKFFCD58CB,坡道平面,1150000,31.20
RPSPMLTJOHKFFCD78CB,坡道平面,1100000,31.20
RPOPMLTJOHKFFCD38CB,坡道平面,1100000,31.20
RPTPMLTJOHKFFCD88CB,坡道平面,1050000,31.20
RPWPMLTJOHKFFCD56CB,坡道平面,1100000,31.20
RPOQMLTJOHKFFCD48CB,坡道平面,1100000,31.20
RPUPMLTJOHKFFCD98CB,坡道平面,1100000,31.20
RPXPMLTJOHKFFCD66CB,坡道平面,1150000,31.20
RPPQMLTJOHKFFCD58CB,坡道平面,790000,31.20
RPQQMLTJOHKFFCD68CB,坡道平面,1100000,31.20
RPWOMLKKOHKFFCD28CB,坡道平面,1050000,31.20
RPXOMLKKOHKFFCD38CB,坡道平面,800000,31.20
RPTNMLMKOHKFFCD08CB,坡道平面,1050000,31.20
RPUNMLMKOHKFFCD18CB,坡道平面,1100000,31.20
RPQOMLLKOHKFFCD77CB,坡道平面,1050000,31.20
RPPOMLLKOHKFFCD67CB,坡道平面,800000,31.20
RPSNMLMKOHKFFCD97CB,坡道平面,1050000,29.14
RPVNMLMKOHKFFCD28CB,坡道平面,1100000,31.20
RPWNMLMKOHKFFCD38CB,坡道平面,1100000,31.20
RPOOMLMKOHKFFCD67CB,坡道平面,1100000,31.20
RPPOMLMKOHKFFCD77CB,坡道平面,1050000,31.20
RPSOMLMKOHKFFCD08CB,坡道平面,1100000,31.20
RPROMLMKOHKFFCD97CB,坡道平面,1100000,31.20
RPTOMLMKOHKFFCD18CB,坡道平面,1100000,31.20
RPVOMLMKOHKFFCD38CB,坡道平面,1050000,31.20
RPWOMLMKOHKFFCD48CB,坡道平面,1000000,29.14
RPOPMLMKOHKFFCD77CB,坡道平面,1100000,29.14
RPXOMLMKOHKFFCD58CB,坡道平面,1100000,31.20
RPTPMLMKOHKFFCD28CB,坡道平面,1050000,31.20
RPWPMLMKOHKFFCD58CB,坡道平面,1050000,31.20
RPRPMLMKOHKFFCD08CB,坡道平面,1050000,31.20
RPQOMLMKOHKFFCD87CB,坡道平面,1100000,31.20
RPQPMLMKOHKFFCD97CB,坡道平面,1100000,31.20
RPSPMLMKOHKFFCD18CB,坡道平面,1050000,31.20
RPVPMLMKOHKFFCD48CB,坡道平面,1150000,31.20
RPUOMLMKOHKFFCD28CB,坡道平面,1050000,31.20
RPUPMLMKOHKFFCD38CB,坡道平面,1100000,31.20
RPPPMLMKOHKFFCD87CB,坡道平面,1100000,31.20
RPOQMLMKOHKFFCD87CB,坡道平面,1050000,31.20
RPTOMLMLOHKFFCD28CB,坡道平面,1000000,29.14
RPQOMLMLOHKFFCD97CB,坡道平面,1100000,31.20
RPSOMLMLOHKFFCD18CB,坡道平面,1050000,31.20
RPUOMLMLOHKFFCD38CB,坡道平面,800000,31.20
RPSNMLQLOHKFFCD48CB,坡道平面,1050000,31.20
RPXOMLMLOHKFFCD68CB,坡道平面,1050000,31.20
RPXOMLMLOHKFFCD68CB,坡道平面,1050000,31.20
RPROMLMLOHKFFCD08CB,坡道平面,1050000,31.20
RPXPMLMKOHKFFCD68CB,坡道平面,1150000,31.20
RPRNMLQLOHKFFCD38CB,坡道平面,1100000,31.20
RPVNMLQLOHKFFCD78CB,坡道平面,1050000,31.20
RPPOMLQLOHKFFCD28CB,坡道平面,1050000,31.20
RPQOMLQLOHKFFCD38CB,坡道平面,1050000,31.20
RPUNMLQLOHKFFCD68CB,坡道平面,1050000,31.20
RPWNMLQLOHKFFCD88CB,坡道平面,1150000,31.20
RPTOMLQLOHKFFCD68CB,坡道平面,1100000,31.20
RPROMLQLOHKFFCD48CB,坡道平面,1050000,31.20
RPOOMLQLOHKFFCD18CB,坡道平面,1050000,31.20
RPSOMLQLOHKFFCD58CB,坡道平面,1100000,31.20
RPXNMLQLOHKFFCD98CB,坡道平面,1100000,31.20
RPUOMLQLOHKFFCD78CB,坡道平面,1050000,31.20
RPVOMLQLOHKFFCD88CB,坡道平面,1050000,31.20
RPSPMLQLOHKFFCD68CB,坡道平面,1050000,31.20
RPWOMLQLOHKFFCD98CB,坡道平面,1050000,31.20
RPXOMLQLOHKFFCD09CB,坡道平面,1100000,31.20
RPRPMLQLOHKFFCD58CB,坡道平面,1000000,29.14
RPUPMLQLOHKFFCD88CB,坡道平面,1050000,31.20
RPOPMLQLOHKFFCD28CB,坡道平面,1100000,31.20
RPPPMLQLOHKFFCD38CB,坡道平面,1050000,29.14
RPVPMLQLOHKFFCD98CB,坡道平面,1150000,31.20
RPWPMLQLOHKFFCD09CB,坡道平面,1100000,31.20
RPPQMLQLOHKFFCD48CB,坡道平面,1050000,31.20
RPUQMLQLOHKFFCD98CB,坡道平面,1050000,31.20
RPXPMLQLOHKFFCD56CB,坡道平面,1100000,31.20
RPWNMLTLOHKFFCD56CB,坡道平面,1000000,29.14
RPXNMLTLOHKFFCD66CB,坡道平面,1150000,31.20
