編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLRJNHKFFAH38CA,13,67.90,住家用,鋼骨鋼筋混凝土造,90年11月29日,十七層,十五層
RPSNMLRJNHKFFAH38CA,13,5.35,共有部份,鋼骨鋼筋混凝土造,90年11月29日,二十層,
RPSNMLRJNHKFFAH38CA,13,12.54,共有部份,鋼骨鋼筋混凝土造,90年11月29日,二十層,
RPPPMLPJNHKFFAH08CA,34,64.13,住家用,鋼筋混凝土造,70年3月5日,五層,五層 陽台
RPWQMLPJNHKFFAH88CA,12,51.53,住家用,鋼筋混凝土造,92年1月17日,九層,六層
RPWQMLPJNHKFFAH88CA,12,16.99,共有部份,鋼筋混凝土造,92年1月17日,九層,
RPXQMLPJNHKFFAH98CA,13,.05,見其他登記事項,鋼筋混凝土造,91年6月20日,十三層,
RPXQMLPJNHKFFAH98CA,13,27.61,共有部份,鋼筋混凝土造,91年6月20日,十三層,
RPXQMLPJNHKFFAH98CA,13,12.73,共有部份,鋼筋混凝土造,91年6月20日,十三層,
RPXQMLPJNHKFFAH98CA,13,7.26,共有部份,鋼筋混凝土造,91年6月20日,十三層,
RPXQMLPJNHKFFAH98CA,13,62.92,住家用,鋼筋混凝土造,91年6月20日,十三層,十層
RPRNMLPJNHKFFAH08CA,34,78.00,住家用,鋼筋混凝土造,70年3月10日,四層,三層
RPUNMLSJNHKFFAH68CA,21,92.78,住家用,鋼筋混凝土造,82年12月24日,十六層,八層
RPUNMLSJNHKFFAH68CA,21,2.09,共有部份,鋼筋混凝土造,82年12月24日,十九層,
RPUNMLSJNHKFFAH68CA,21,22.54,共有部份,鋼筋混凝土造,82年12月24日,十九層,
RPUNMLSJNHKFFAH68CA,21,38.69,見其他登記事項,鋼筋混凝土造,82年12月24日,十九層,
RPVNMLSJNHKFFAH78CA,17,112.54,住家用,鋼筋混凝土造,86年11月10日,八層,四層
RPVNMLSJNHKFFAH78CA,17,15.73,共有部份,鋼筋混凝土造,86年11月10日,八層,
RPVNMLSJNHKFFAH78CA,17,21.97,共有部份,鋼筋混凝土造,86年11月10日,八層,
RPVOMLNKNHKFFAH48CA,14,189.92,見其他登記事項,鋼筋混凝土造,89年11月21日,四層,
RPVOMLNKNHKFFAH48CA,14,57.84,共有部份,鋼筋混凝土造,89年11月21日,四層,
RPQQMLPLNHKFFAH48CA,4,41.66,住家用,鋼筋混凝土造,100年3月9日,十五層,十三層
RPQQMLPLNHKFFAH48CA,4,50.19,見其他登記事項,鋼筋混凝土造,100年3月9日,十五層,
RPUQMLLLNHKFFAH48CA,9,84.01,住家用,鋼筋混凝土造,95年1月24日,十五層,八層
RPUQMLLLNHKFFAH48CA,9,14.51,共有部份,鋼筋混凝土造,95年1月24日,十五層,
RPUQMLLLNHKFFAH48CA,9,4.27,共有部份,鋼筋混凝土造,95年1月24日,十五層,
