編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUPMLOJNHKFFFH09CB,興豐段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLOJNHKFFFH09CB,興豐段,2.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLOJNHKFFFH09CB,興豐段,97.97,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLOJNHKFFFH66CB,興豐段,.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLOJNHKFFFH66CB,興豐段,2.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLOJNHKFFFH66CB,興豐段,105.73,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLOJNHKFFFH68CB,興豐段,.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLOJNHKFFFH68CB,興豐段,2.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLOJNHKFFFH68CB,興豐段,107.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLOJNHKFFFH56CB,興豐段,.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLOJNHKFFFH56CB,興豐段,2.36,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLOJNHKFFFH56CB,興豐段,117.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLOJNHKFFFH78CB,興豐段,.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLOJNHKFFFH78CB,興豐段,2.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLOJNHKFFFH78CB,興豐段,108.61,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLOJNHKFFFH88CB,興豐段,.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLOJNHKFFFH88CB,興豐段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLOJNHKFFFH88CB,興豐段,80.90,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLOJNHKFFFH66CB,興豐段,.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLOJNHKFFFH66CB,興豐段,2.36,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLOJNHKFFFH66CB,興豐段,93.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLOJNHKFFFH48CB,興豐段,2.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLOJNHKFFFH48CB,興豐段,.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLOJNHKFFFH48CB,興豐段,104.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLOJNHKFFFH98CB,興豐段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLOJNHKFFFH98CB,興豐段,2.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLOJNHKFFFH98CB,興豐段,87.39,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLOJNHKFFFH58CB,興豐段,2.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLOJNHKFFFH58CB,興豐段,.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLOJNHKFFFH58CB,興豐段,105.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLOJNHKFFFH76CB,興豐段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
