編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLRJNHKFFBK56CA,4,268.65,見其他登記事項,鋼筋混凝土造,100年7月19日,四層,一層 二層 三層 四層 地下一層
RPXNMLMKNHKFFBK88CA,,309.39,農舍,鋼筋混凝土造,104年2月2日,三層,一層 二層 三層 屋頂突出物
RPQNMLPJNHKFFAK28CA,18,90.75,住家用,鋼筋混凝土造,85年11月26日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQNMLPJNHKFFAK28CA,18,90.75,住家用,鋼筋混凝土造,85年11月26日,三層,一層 二層 三層 屋頂突出物 騎樓
RPRNMLPJNHKFFEK78CA,30,184.70,農舍,加強磚造,74年4月8日,二層,一層 二層
RPXNMLPJNHKFFFK86CA,,188.10,住家用,鋼筋混凝土造,104年1月26日,三層,
RPOOMLPJNHKFFFK68CA,,183.04,住家用,鋼筋混凝土造,104年1月26日,三層,
RPQNMLOJNHKFFFK68CA,20,58.90,住家用,鋼筋混凝土造,83年12月12日,七層,一層
RPQNMLOJNHKFFFK68CA,20,8.05,住家用,鋼筋混凝土造,83年12月12日,七層,
RPQNMLOJNHKFFFK68CA,20,13.09,見其他登記事項,鋼筋混凝土造,83年12月12日,七層,
RPPNMLOLNHKFFCK48CA,33,136.35,住家用,加強磚造,71年9月7日,二層,一層 二層 騎樓
RPWNMLMLNHKFFFK66CA,18,119.55,見其他登記事項,鋼筋混凝土造,85年12月26日,三層,
RPSNMLQJNHKFFFK09CA,31,116.43,住家用,加強磚造,73年4月13日,二層,一層 二層
RPTNMLRJNHKFFFK66CA,1,286.36,住家用,鋼筋混凝土造,103年7月15日,四層,一層 二層 三層 四層
RPPNMLQJNHKFFFK78CA,22,233.06,住家用,鋼筋混凝土造,82年6月30日,四層,一層 二層 三層 四層 騎樓 地下層
RPPNMLQJNHKFFFK78CA,22,20.91,共有部分,鋼筋混凝土造,82年6月30日,四層,
RPRNMLPJNHKFFDK68CA,22,61.60,住家用,鋼筋混凝土造,82年8月11日,七層,五層
RPRNMLPJNHKFFDK68CA,22,32.82,見其他登記事項,鋼筋混凝土造,82年8月11日,七層,
RPSNMLPJNHKFFDK78CA,44,156.68,住家用,見其他登記事項,60年4月20日,二層,一層 二層 騎樓
RPQNMLOJNHKFFDK48CA,63,82.26,住商用,磚造,41年1月15日,二層,一層 二層 騎樓
RPQNMLPKNHKFFEK78CA,32,110.41,見其他登記事項,鋼筋混凝土造,71年12月6日,二層,一層 二層 屋頂突出物 騎樓
RPUNMLPJNHKFFBK78CA,15,76.88,住家用,鋼筋混凝土造,88年12月5日,六層,五層
RPUNMLPJNHKFFBK78CA,15,27.86,共有部分,鋼筋混凝土造,88年12月5日,六層,
RPSNMLRJNHKFFDK98CA,1,61.06,見其他登記事項,鋼筋混凝土造,104年1月30日,五層,二層
RPSNMLRJNHKFFDK98CA,1,15.28,共有部分,鋼筋混凝土造,104年1月30日,五層,
RPTNMLRJNHKFFDK09CA,1,82.58,見其他登記事項,鋼筋混凝土造,104年1月30日,五層,四層
RPTNMLRJNHKFFDK09CA,1,31.39,共有部分,鋼筋混凝土造,104年1月30日,五層,
RPUNMLRJNHKFFDK56CA,1,61.06,見其他登記事項,鋼筋混凝土造,104年1月30日,五層,五層
RPUNMLRJNHKFFDK56CA,1,15.28,共有部分,鋼筋混凝土造,104年1月30日,五層,
RPVNMLRJNHKFFDK66CA,1,81.69,見其他登記事項,鋼筋混凝土造,104年1月30日,五層,五層
RPVNMLRJNHKFFDK66CA,1,31.15,共有部分,鋼筋混凝土造,104年1月30日,五層,
RPOOMLPJNHKFFDK48CA,,93.72,見其他登記事項,鋼筋混凝土造,104年2月3日,五層,五層
RPOOMLPJNHKFFDK48CA,,15.97,共有部分,鋼筋混凝土造,104年2月3日,五層,
RPOOMLPJNHKFFDK48CA,,13.03,共有部分,鋼筋混凝土造,104年2月3日,五層,
RPTNMLQJNHKFFEK09CA,19,180.70,住家用,鋼筋混凝土造,85年1月11日,四層,一層 二層 三層 四層
RPRNMLQJNHKFFEK88CA,18,164.38,住家用,鋼筋混凝土造,85年11月2日,八層,七層 八層
RPUNMLQJNHKFFFK66CA,21,114.62,住家用,鋼筋混凝土造,82年11月8日,五層,
RPRNMLQJNHKFFFK98CA,7,199.92,見其他登記事項,見其他登記事項,96年10月25日,四層,一層 二層 三層 四層
RPWNMLRJNHKFFFK96CA,7,341.73,見其他登記事項,見其他登記事項,97年7月10日,三層,一層 二層 三層
RPQNMLRJNHKFFFK98CA,4,259.00,見其他登記事項,見其他登記事項,100年3月23日,三層,一層 二層 三層 見其他登記事項
RPPNMLSJNHKFFFK98CA,19,80.53,住家用,鋼筋混凝土造,85年2月14日,九層,六層
RPPNMLSJNHKFFFK98CA,19,9.27,見其他登記事項,鋼筋混凝土造,85年2月14日,九層,
RPPNMLSJNHKFFFK98CA,19,9.94,見其他登記事項,鋼筋混凝土造,85年2月14日,九層,
RPVNMLMLNHKFFFK56CA,3,28.29,見其他登記事項,見其他登記事項,101年5月23日,十層,
