編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOPMLRJNHKFFCM88CA,升降機械,0,
RPUNMLNKNHKFFCM98CA,升降機械,0,2.27
RPPNMLSKOHKFFAM88CA,坡道平面,0,
RPQNMLLJPHKFFAM28CA,坡道平面,0,
RPSNMLLKOHKFFBM58CA,坡道平面,0,
RPOOMLTJPHKFFCM56CA,坡道平面,0,13.60
RPWNMLKKOHKFFCM98CA,坡道平面,0,
RPPNMLQLOHKFFCM98CA,坡道平面,0,
RPTOMLPKOHKFFBM66DA,坡道機械,0,
RPQOMLPKOHKFFAM78CA,坡道機械,0,6.30
RPQOMLPKOHKFFAM78CA,坡道機械,0,6.30
RPQNMLOLOHKFFBM78CA,坡道機械,0,
RPOOMLRKOHKFFAM78CA,坡道機械,0,
RPQNMLRLOHKFFDM66CA,坡道平面,0,
RPQNMLRLOHKFFDM66CA,坡道平面,0,
RPPOMLRJPHKFFCM09CA,坡道平面,0,
RPWNMLTJPHKFFCM27CA,升降機械,0,
RPRNMLKKPHKFFBM48CA,坡道平面,0,
RPRNMLSJPHKFFBM56CA,坡道平面,0,
RPUNMLPKPHKFFAM56CA,升降機械,0,
RPPNMLLMPHKFFAM48CA,坡道平面,0,31.81
RPSOMLMLPHKFFAM88CA,升降機械,80000,.21
RPRNMLLKQHKFFAM58CA,坡道平面,0,
RPUNMLNLPHKFFBM56CA,坡道平面,0,25.00
RPSNMLSLPHKFFBM86CA,坡道平面,0,
RPWNMLKMPHKFFAM09CA,升降機械,0,
RPVNMLQJQHKFFAM76CA,升降機械,0,
