編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMKNHKFFAM38CC,32,117.00,住家用,鋼筋混凝土加強磚造,72年4月12日,二層,
RPSNMLOJNHKFFAM88DC,40,113.00,住商用,見其他登記事項,64年8月6日,三層,
RPRNMLRJNHKFFAM09DC,2,185.84,見其他登記事項,鋼筋混凝土造,102年9月27日,三層,
RPPNMLMJNHKFFAM28CC,15,103.03,住商用,鋼筋混凝土造,89年9月27日,三層,
RPPNMLRJNHKFFAM78CC,18,84.66,住家用,鋼筋混凝土造,85年11月30日,七層,
RPQNMLRJNHKFFAM88CC,20,131.30,見其他登記事項,鋼筋混凝土造,83年11月9日,十六層,
RPTNMLTKNHKFFAM86CC,26,26.44,住家用,鋼筋混凝土造,77年12月2日,二層,
RPUNMLRJNHKFFCM86CC,14,268.19,見其他登記事項,見其他登記事項,89年11月20日,二層,
RPQNMLPLOHKFFAM98CC,37,89.84,住商用,鋼筋混凝土加強磚造,67年5月19日,二層,
RPUNMLOKPHKFFAM76DC,21,164.02,住家用,鋼筋混凝土造,83年1月11日,四層,
RPQNMLRJPHKFFBM66DC,20,158.09,住家用,鋼筋混凝土造,84年12月30日,四層,
RPWNMLPLNHKFFBM07DC,43,97.92,住家用,鋼筋混凝土加強磚造,61年9月29日,二層,
RPPNMLPKPHKFFBM09DC,38,122.71,住商用,鋼筋混凝土加強磚造,66年11月11日,二層,
RPTNMLLJNHKFFBM68CC,20,59.12,住家用,鋼筋混凝土造,83年11月7日,十三層,
RPTNMLLJNHKFFBM68CC,20,19.35,見其他登記事項,鋼筋混凝土造,83年11月7日,十三層,
RPUNMLLKOHKFFBM98CC,7,12.00,農舍,見其他登記事項,97年10月31日,一層,
RPXNMLLLNHKFFBM76DC,20,115.25,住家用,鋼筋混凝土造,84年3月8日,三層,
