編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLOJNHKFFBQ76CA,溪墘厝段正義小段,1590.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLPJNHKFFBQ98CA,九江段,2.96,都市：商
RPQNMLPJNHKFFBQ98CA,九江段,2.08,都市：其他
RPQNMLPJNHKFFBQ98CA,九江段,74.25,都市：商
RPQNMLPJNHKFFBQ98CA,九江段,49.03,都市：商
RPUNMLQJNHKFFCQ96CA,西結段,138.57,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLQJNHKFFCQ96CA,西結段,110.48,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLQJNHKFFCQ96CA,西結段,75.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJNHKFFCQ96CA,西結段,57.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJNHKFFCQ96CA,西結段,32.19,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLOJNHKFFBQ86CA,中正段,267.14,都市：住
RPQNMLTKNHKFFBQ86CA,後崩山段崩山小段,2993.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLOKNHKFFCQ86CA,新興段,66.22,都市：住
RPSNMLOJNHKFFBQ09CA,鎮南段,47.50,都市：住
RPSNMLOJNHKFFBQ09CA,鎮南段,47.50,都市：住
RPRNMLPJNHKFFCQ56CA,秀林段,98.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLPJNHKFFDQ56CA,石段,1000.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQNMLSJNHKFFDQ96DA,三界埔段,5320.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLSJNHKFFCQ86CA,秀林段,146.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLMKNHKFFEQ98CA,灣橋段,1718.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMKNHKFFEQ98CA,灣橋段,1718.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMKNHKFFEQ98CA,灣橋段,1740.50,非都市：山坡地保育區 ; 非都市編定：林業用地
RPPNMLMKNHKFFEQ98CA,灣橋段,1740.50,非都市：山坡地保育區 ; 非都市編定：林業用地
RPRNMLQKNHKFFCQ76CA,金興段,92.14,都市：住
RPQNMLQKNHKFFCQ66CA,福南段,91.24,都市：住
RPQNMLQKNHKFFCQ66CA,福南段,21.49,都市：住
RPXNMLOJNHKFFBQ96CA,六腳段六南小段,1792.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLQLNHKFFBQ96CA,貴舍段,4554.00,非都市：一般農業區 ; 非都市編定：養殖用地
RPTNMLQLNHKFFBQ96CA,貴舍段,391.00,非都市：一般農業區 ; 非都市編定：養殖用地
RPTNMLQLNHKFFBQ96CA,貴舍段,611.00,非都市：一般農業區 ; 非都市編定：養殖用地
RPQNMLQJNHKFFEQ76CA,和平段,181.92,都市：其他
RPXNMLPKNHKFFCQ27CA,中洋子段中洋小段,2214.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLQJNHKFFEQ27CA,梅北段,96.00,都市：住
RPVNMLRJNHKFFDQ37DA,新埤段新埤小段,3774.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLRJNHKFFDQ96DA,太保段太保小段,67.00,都市：住
RPROMLPJNHKFFDQ76CA,石段,1004.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQNMLLKNHKFFBQ68CA,文化段,126.09,都市：住
RPVNMLNKNHKFFEQ07CA,龍眼林段,221.50,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUNMLNKNHKFFEQ96CA,龍眼林段,790.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUNMLNKNHKFFEQ96CA,龍眼林段,1000.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPOOMLRJNHKFFBQ09CA,大葛段,23.96,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLRJNHKFFBQ09CA,大葛段,154.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJNHKFFBQ98DA,嘉朴段,105.22,都市：商
RPXNMLRJNHKFFBQ27CA,嘉朴段,7.60,都市：住
RPUNMLLKNHKFFDQ66CA,十一指厝段圳西小段,4815.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMLNHKFFBQ09CA,建興段,155.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMLNHKFFBQ09CA,建興段,8.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLSKNHKFFDQ37CA,中庄段,116.95,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLSJNHKFFCQ86EA,福安段,85.56,都市：住
RPOOMLPJNHKFFDQ09CA,石段,2510.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPXNMLPJNHKFFDQ27CA,石段,1005.00,非都市：山坡地保育區 ; 非都市編定：林業用地
