編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWOMLQKRHKFFAG86EB,大德段,138.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWOMLQKRHKFFAG86EB,大德段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLQKRHKFFAG78EB,大德段,141.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLQKRHKFFAG78EB,大德段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPPMLQKRHKFFAG88EB,大德段,149.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPPMLQKRHKFFAG88EB,大德段,20.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLQKRHKFFAG76EB,大德段,140.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLQKRHKFFAG76EB,大德段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLQKRHKFFAG96EB,大德段,141.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLQKRHKFFAG96EB,大德段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLQKRHKFFAG66EB,大德段,167.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLQKRHKFFAG66EB,大德段,11.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLQKRHKFFAG66EB,大德段,21.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
