編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLPJQHKFFAP96CA,新庄段,4883.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLNJQHKFFAP86CA,大潭段大潭小段,35.80,都市：住
RPVNMLOJQHKFFAP86CA,保庄段,114.41,都市：工
RPVNMLOJQHKFFAP86CA,保庄段,28.33,都市：工
RPVOMLLJRHKFFAP76CA,北環段,28.08,都市：住
RPVOMLLJRHKFFAP76CA,北環段,112.18,都市：住
RPVOMLLJRHKFFAP76CA,北環段,.57,都市：住
RPQNMLTLQHKFFAP07CA,溝子埧段溝子埧小段,223.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLLJRHKFFAP78CA,北環段,171.55,都市：住
RPPOMLLJRHKFFAP78CA,北環段,27.04,都市：住
RPPOMLLJRHKFFAP78CA,北環段,.35,都市：住
RPSNMLOJQHKFFDP86CA,越港段,600.84,都市：住
RPSNMLOJQHKFFDP86CA,越港段,68.83,都市：住
RPSNMLOJQHKFFDP86CA,越港段,22.17,都市：住
RPPOMLOJQHKFFDP66CA,虎新段,39.22,都市：商
RPPOMLOJQHKFFDP66CA,虎新段,12.22,都市：商
RPUNMLQJQHKFFDP27CA,埒堀段,.65,非都市：鄉村區 ; 非都市編定：水利用地
RPUNMLQJQHKFFDP27CA,埒堀段,2.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJQHKFFDP27CA,埒堀段,23.15,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJQHKFFDP27CA,埒堀段,79.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJQHKFFDP27CA,埒堀段,1.71,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLLLQHKFFDP09CA,蕃薯段,94.94,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLQJQHKFFEP86CA,新吉段,2270.32,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLRJQHKFFAP76DA,虎溪段,96.79,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSLQHKFFAP67DA,大潭段大潭小段,6.71,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLSLQHKFFAP67DA,大潭段大潭小段,.09,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLSLQHKFFAP67DA,大潭段大潭小段,60.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLSLQHKFFAP67DA,大潭段大潭小段,.07,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLNKQHKFFAP07DA,中山段,835.00,都市：農
RPXNMLSLQHKFFAP77DA,麻園段,1916.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLRLQHKFFAP37DA,永昌段,385.85,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLRKQHKFFEP87CA,新興段,1786.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLRKQHKFFEP87CA,新興段,59.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLRKQHKFFEP87CA,新興段,545.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPSNMLSLQHKFFEP67DA,新港段,189.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLSLQHKFFEP67DA,新港段,1094.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLSLQHKFFEP57DA,溪尾段新溪小段,2948.00,非都市：一般農業區 ; 非都市編定：農牧用地
