編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSNMLQJQHKFFAP96EA,坡道平面,0,
RPPPMLSLQHKFFAP07CA,坡道機械,0,
RPPNMLSKQHKFFEP17CA,坡道平面,0,
RPPNMLQJQHKFFEP17CD,坡道平面,0,
RPVOMLSLQHKFFAP57CA,坡道平面,0,
RPOPMLSLQHKFFAP96CA,坡道平面,0,
RPTOMLSLQHKFFAP37CA,坡道平面,0,
RPWOMLSLQHKFFAP67CA,坡道平面,0,
RPXOMLNKQHKFFAP27DA,升降機械,0,
RPUOMLSLQHKFFAP47CA,坡道平面,0,
RPSOMLSLQHKFFAP27CA,坡道平面,0,
RPOOMLSKQHKFFAP96EA,坡道平面,0,
RPSNMLOKRHKFFEP17CA,坡道平面,0,
RPPOMLSJRHKFFAP86CA,坡道平面,0,
RPUNMLSKQHKFFAP27CA,一樓平面,0,
RPTNMLSJIIKFFAP98CA,坡道平面,0,
RPOPMLOJRHKFFAP09CA,升降機械,0,
RPPNMLPLQHKFFAP56CA,坡道機械,0,
RPTNMLSLQHKFFCP47CA,一樓平面,0,
RPXNMLRLQHKFFAP57CA,坡道機械,0,
RPSNMLLJRHKFFAP98CA,坡道平面,0,
RPTNMLSLQHKFFAP27CA,坡道平面,0,
RPTNMLLJRHKFFAP09CA,一樓平面,0,
RPPNMLNJRHKFFBP98CA,升降機械,0,
RPRNMLOJRHKFFAP56CA,坡道平面,0,
RPTNMLOJRHKFFAP76CA,坡道平面,0,
RPROMLOJRHKFFAP66CA,坡道平面,0,
RPSOMLOJRHKFFAP76CA,坡道平面,0,
RPUNMLOJRHKFFAP86CA,坡道平面,0,
RPPNMLOJRHKFFAP98CA,坡道平面,0,
RPQNMLOJRHKFFAP09CA,坡道平面,0,
RPPNMLOKRHKFFEP86CA,坡道機械,0,
RPUNMLRJRHKFFEP57CA,坡道機械,0,
RPUNMLRJRHKFFEP57CA,坡道機械,0,
RPPOMLTJRHKFFAP96CA,其他,0,
RPQNMLTJRHKFFCP27DA,升降機械,0,
RPQNMLTJRHKFFAP96CA,坡道平面,0,
RPWNMLSJIIKFFAP86EA,升降機械,0,
RPRNMLQKRHKFFFP37CA,升降機械,0,5.99
RPRNMLQKRHKFFFP37CA,升降機械,0,5.99
RPQNMLMLRHKFFCP76DA,坡道機械,0,
RPQNMLMLRHKFFCP76DA,坡道平面,0,
RPVOMLOLRHKFFAP37DA,一樓平面,0,
RPPNMLLJIIKFFAP87CA,坡道平面,0,13.75
RPTNMLLJIIKFFAP38DA,坡道機械,0,
RPPNMLQLJIKFFAP68CA,一樓平面,0,19.15
RPPNMLQLIIKFFAP58CA,一樓平面,0,19.15
RPTNMLLKLHLFFAP68CA,其他,0,
RPPNMLKKIIKFFEP28CA,一樓平面,0,
RPSNMLQJJIKFFAP78CA,其他,0,
RPTNMLKLIIKFFEP78CA,坡道平面,0,
RPRNMLRLIIKFFAP98DA,坡道平面,0,
RPRNMLQLIIKFFCP09DA,坡道機械,0,
RPPNMLRLIIKFFFP56CA,升降機械,0,20.09
RPWNMLRKJIKFFDP07CA,坡道機械,0,6.45
RPWNMLRKJIKFFDP07CA,坡道機械,0,6.45
RPSNMLNLIIKFFCP78CA,一樓平面,0,
RPQNMLNLIIKFFCP68DA,坡道機械,0,
RPQNMLTLIIKFFBP09CA,坡道平面,0,
RPQNMLTLIIKFFBP09CA,坡道平面,0,
RPOOMLPLJIKFFDP88CA,坡道機械,0,
RPTNMLMJJIKFFAP48CA,一樓平面,0,
