編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLNJQHKFFDT77DC,東港段,182.00,都市：住
RPVNMLNJQHKFFDT77DC,東港段,181.00,都市：住
RPTNMLLLIIKFFCT76DC,延平段,138.05,都市：住
RPQOMLRJRHKFFCT77DC,建基段,440.94,都市：住
RPOOMLLJRHKFFAT66CC,楠樹腳段二小段,128.00,都市：住
RPOOMLLJRHKFFAT66CC,楠樹腳段二小段,141.00,都市：住
RPOOMLLJRHKFFAT66CC,楠樹腳段二小段,77.00,都市：住
RPWNMLSKRHKFFAT18CC,明正段,47.00,都市：住
RPOOMLOKRHKFFAT07CC,磚寮段,3287.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLOKRHKFFAT07CC,磚寮段,2306.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLOKIIKFFAT07CC,舊街段三小段,86.00,都市：住
RPXNMLOKIIKFFAT07CC,舊街段三小段,4.00,都市：住
RPVNMLTJRHKFFAT08CC,新安段,513.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLOKRHKFFAT87CC,溝美段,86.00,都市：住
