編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLKQHKFFAW57DA,16,86.93,住家用,鋼筋混凝土造,88年3月10日,五層,三層
RPWNMLLKQHKFFAW57DA,16,9.74,見其他登記事項,鋼筋混凝土造,88年3月10日,五層,
RPUNMLQJQHKFFAW67CA,,63.64,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,一層 地下一層
RPUNMLQJQHKFFAW67CA,,20.30,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPWNMLQJQHKFFAW87CA,,40.70,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,三層
RPWNMLQJQHKFFAW87CA,,12.98,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPTNMLQJQHKFFAW57CA,,56.81,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,三層
RPTNMLQJQHKFFAW57CA,,18.12,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPSNMLQJQHKFFAW47CA,,56.81,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,二層
RPSNMLQJQHKFFAW47CA,,18.12,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPQNMLPJQHKFFAW17CA,1,24.34,見其他登記事項,鋼筋混凝土造,103年10月16日,三層,二層
RPRNMLPJQHKFFAW27CA,20,76.10,住家用,鋼筋混凝土造,84年5月29日,二層,一層
RPQNMLPJQHKFFAW17CA,1,3.74,見其他登記事項,鋼筋混凝土造,103年10月16日,三層,
RPVOMLPJQHKFFAW77CA,,172.57,農舍,鋼筋混凝土造,104年6月12日,二層,一層 二層
RPUPMLPJQHKFFAW87DA,12,198.52,見其他登記事項,鋼筋混凝土造,92年2月26日,三層,三層 一層 二層 屋頂突出物
SPXNMLQJIIKFFAW37CA,,40.70,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,二層
SPXNMLQJIIKFFAW37CA,,12.98,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
SPXNMLQJIIKFFAW37CA,,39.78,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPXNMLQJIIKFFAW27CA,,45.59,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,二層
RPXNMLQJIIKFFAW27CA,,14.54,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPXNMLQJIIKFFAW27CA,,39.78,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPXNMLQJQHKFFAW97CA,,45.59,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,三層
RPXNMLQJQHKFFAW97CA,,14.54,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPPOMLQJQHKFFAW27CA,,47.77,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,二層
RPPOMLQJQHKFFAW27CA,,15.24,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPPNMLSJIIKFFAW66CA,,71.44,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,一層 地下一層
RPPNMLSJIIKFFAW66CA,,22.78,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPPNMLSJIIKFFAW66CA,,39.78,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
SPXNMLRJIIKFFAW47CA,,47.77,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,三層
SPXNMLRJIIKFFAW47CA,,15.24,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPXNMLRJIIKFFAW37CA,,74.08,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,一層 地下一層
RPXNMLRJIIKFFAW37CA,,23.63,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPXNMLRJIIKFFAW37CA,,39.78,見其他登記事項,鋼筋混凝土造,104年4月29日,三層,
RPPNMLQJQHKFFAW27DA,,62.60,見其他登記事項,鋼筋混凝土造,104年4月28日,三層,三層
RPPNMLQJQHKFFAW27DA,,5.42,見其他登記事項,鋼筋混凝土造,104年4月28日,三層,
RPPNMLKKQHKFFAW66CA,2,46.15,見其他登記事項,鋼筋混凝土造,102年3月19日,七層,一層
RPPNMLKKQHKFFAW66CA,2,47.10,見其他登記事項,鋼筋混凝土造,102年3月19日,七層,一層
RPPNMLKKQHKFFAW66CA,2,106.26,見其他登記事項,鋼筋混凝土造,102年3月19日,七層,
RPPNMLKKQHKFFAW66CA,2,19.05,見其他登記事項,鋼筋混凝土造,102年3月19日,七層,
RPRNMLOKPHKFFAW47CD,28,160.50,住家用,鋼筋混凝土造,76年10月14日,三層,一層 二層 三層
RPTNMLRJQHKFFAW67CA,,69.27,見其他登記事項,鋼筋混凝土造,104年4月30日,三層,二層
RPTNMLRJQHKFFAW67CA,,6.02,見其他登記事項,鋼筋混凝土造,104年4月30日,三層,
RPUNMLKKQHKFFAW27DA,1,189.00,住家用,鋼筋混凝土造,103年5月8日,三層,一層 見其他登記事項 二層 三層
RPUNMLLKQHKFFAW27CA,,58.73,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,一層
RPUNMLLKQHKFFAW27CA,,7.28,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,
RPSNMLLKQHKFFAW07CA,,60.49,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,二層
RPSNMLLKQHKFFAW07CA,,7.53,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,
RPQNMLLKQHKFFAW86CA,,60.49,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,三層
RPQNMLLKQHKFFAW86CA,,7.53,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,
RPVNMLPLQHKFFAW97DA,,217.68,見其他登記事項,鋼筋混凝土造,104年4月27日,五層,一層 二層
RPVNMLPLQHKFFAW97DA,,28.54,見其他登記事項,鋼筋混凝土造,104年4月27日,五層,
RPVNMLPLQHKFFAW97DA,,.00,見其他登記事項,鋼筋混凝土造,104年4月27日,五層,
RPSNMLNKQHKFFAW27CA,,74.13,見其他登記事項,鋼筋混凝土造,104年4月30日,三層,一層
RPSNMLNKQHKFFAW27CA,,6.02,見其他登記事項,鋼筋混凝土造,104年4月30日,三層,
RPQNMLNKQHKFFAW07CA,,69.27,見其他登記事項,鋼筋混凝土造,104年4月30日,三層,二層
RPQNMLNKQHKFFAW07CA,,6.02,見其他登記事項,鋼筋混凝土造,104年4月30日,三層,
RPQNMLMKQHKFFAW07DA,,77.36,見其他登記事項,鋼筋混凝土造,104年4月28日,三層,三層
RPQNMLMKQHKFFAW07DA,,5.36,見其他登記事項,鋼筋混凝土造,104年4月28日,三層,
SPWNMLMKQHKFFAW67CA,21,106.68,住家用,鋼筋混凝土加強磚造,83年11月1日,一層,一層
RPVNMLMKQHKFFAW47CA,1,32.24,見其他登記事項,鋼筋混凝土造,103年11月13日,三層,一層
RPVNMLMKQHKFFAW47CA,1,4.37,見其他登記事項,鋼筋混凝土造,103年11月13日,三層,
RPWNMLMKQHKFFAW57CA,21,112.40,住家用,鋼筋混凝土加強磚造,83年11月1日,一層,一層
RPTNMLMKQHKFFAW27CA,,230.28,見其他登記事項,鋼筋混凝土造,104年2月17日,三層,一層 二層 三層 見其他登記事項
RPSNMLMKQHKFFAW27DA,35,114.06,見其他登記事項,鋼筋混凝土造,69年11月7日,三層,一層 二層 三層
RPWNMLNKQHKFFAW67CA,,72.12,見其他登記事項,鋼筋混凝土造,104年4月30日,三層,三層
RPWNMLNKQHKFFAW67CA,,6.02,見其他登記事項,鋼筋混凝土造,104年4月30日,三層,
RPPNMLPKQHKFFAW17CA,80,93.77,住家用,見其他登記事項,25年1月1日,一層,一層
RPUNMLSKQHKFFAW97CA,,60.49,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,二層
RPUNMLSKQHKFFAW97CA,,7.53,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,
RPSNMLSKQHKFFAW77CA,,60.49,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,三層
RPSNMLSKQHKFFAW77CA,,7.53,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,
