編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLMJJIKFFBB47CC,28,36.03,住商用,鋼筋混凝土造,76年11月24日,五層,
RPQNMLMJJIKFFCB17CC,6,59.09,住家用,鋼筋混凝土造,98年8月13日,十八層,
RPQNMLMJJIKFFCB17CC,6,4.83,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPQNMLMJJIKFFCB17CC,6,20.94,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPRNMLMJJIKFFCB27CC,6,59.09,住家用,鋼筋混凝土造,98年8月13日,十八層,
RPRNMLMJJIKFFCB27CC,6,4.83,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPRNMLMJJIKFFCB27CC,6,20.94,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPUPMLMJJIKFFAB57CC,22,43.06,住家用,鋼筋混凝土造,82年6月7日,七層,
RPUPMLMJJIKFFAB57CC,22,13.35,見其他登記事項,鋼筋混凝土造,82年6月7日,七層,
RPUOMLMJJIKFFCB67CC,9,75.16,住家用,鋼筋混凝土造,95年11月13日,二十八層,
RPUOMLMJJIKFFCB67CC,9,64.03,見其他登記事項,鋼筋混凝土造,95年11月13日,二十八層,
RPQPMLMJJIKFFAB17CC,19,526.44,見其他登記事項,見其他登記事項,86年4月29日,四十二層,
RPQPMLMJJIKFFAB17CC,19,68.53,見其他登記事項,見其他登記事項,86年4月29日,四十二層,
RPQOMLMJJIKFFCB27CC,9,82.43,住家用,鋼筋混凝土造,95年11月13日,二十八層,
RPQOMLMJJIKFFCB27CC,9,100.73,見其他登記事項,鋼筋混凝土造,95年11月13日,二十八層,
RPOOMLMJJIKFFCB17DC,11,133.54,住家用,鋼筋混凝土造,94年2月15日,十三層,
RPOOMLMJJIKFFCB17DC,11,102.60,住家用,鋼筋混凝土造,94年2月15日,十三層,
RPXNMLMJJIKFFCB87CC,17,117.35,住家用,鋼筋混凝土造,87年10月8日,十四層,
RPXNMLMJJIKFFCB87CC,17,62.03,共有部分,鋼筋混凝土造,87年10月8日,十四層,
RPSNMLMJJIKFFCB37CC,6,41.66,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPSNMLMJJIKFFCB37CC,6,41.26,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPSNMLMJJIKFFCB37CC,6,16.44,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPPOMLNJJIKFFFL58CC,22,166.10,住商用,鋼筋混凝土造,82年10月29日,008,
RPUNMLNJJIKFFFL98CC,24,94.31,見其他登記事項,鋼筋混凝土造,80年5月30日,003,
RPTNMLNJJIKFFFL88CC,1,295.92,見其他登記事項,鋼筋混凝土造,103年12月11日,004,
RPTNMLNJJIKFFFL88CC,1,.52,見其他登記事項,鋼筋混凝土造,103年12月11日,001,
RPVNMLNJJIKFFFL09CC,1,93.81,見其他登記事項,鋼筋混凝土造,103年12月22日,016,
RPPPMLNJJIKFFCB47DC,7,131.58,見其他登記事項,鋼筋混凝土造,97年9月26日,十九層,
RPVOMLNJJIKFFBB87DC,1,72.25,住家用,鋼筋混凝土造,103年10月6日,十四層,
RPVOMLNJJIKFFBB87DC,1,.48,見其他登記事項,鋼筋混凝土造,103年10月6日,十四層,
RPVOMLNJJIKFFBB87DC,1,.14,見其他登記事項,鋼筋混凝土造,103年10月6日,十四層,
RPVOMLNJJIKFFBB87DC,1,34.05,見其他登記事項,鋼筋混凝土造,103年10月6日,十四層,
RPSOMLNJJIKFFCB67DC,1,95.86,住家用,鋼筋混凝土造,103年11月19日,二十一層,
RPROMLNJJIKFFFL78CC,22,139.00,住商用,鋼筋混凝土造,82年10月29日,008,
RPROMLNJJIKFFAB27CC,28,539.91,見其他登記事項,鋼筋混凝土造,77年2月3日,四層,
