編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLTKKHLFFCC58DB,長安段,33.99,都市：住
RPSNMLTKKHLFFCC38DB,長安段,41.78,都市：住
RPPOMLTKKHLFFCC18DB,長安段,41.78,都市：住
RPXNMLTKKHLFFCC88DB,長安段,37.38,都市：住
RPWNMLTKKHLFFCC78DB,長安段,38.98,都市：住
RPOOMLTKKHLFFCC08DB,長安段,41.98,都市：住
RPROMLTKKHLFFCC38DB,長安段,41.38,都市：住
RPQOMLTKKHLFFCC28DB,長安段,41.78,都市：住
RPTNMLTKKHLFFCC48DB,長安段,34.19,都市：住
RPVNMLTKKHLFFCC68DB,長安段,34.19,都市：住
RPSOMLTKKHLFFCC48DB,長安段,41.38,都市：住
RPUOMLTKKHLFFCC68DB,長安段,33.99,都市：住
RPWOMLTKKHLFFCC88DB,長安段,34.19,都市：住
RPXOMLTKKHLFFCC98DB,長安段,34.19,都市：住
RPOPMLTKKHLFFCC18DB,長安段,38.78,都市：住
