編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPUNMLNJKHLFFDF18CB,坡道平面,2100000,26.47
RPSPMLMJKHLFFIF78EB,坡道平面,1650000,27.78
RPRPMLMJKHLFFIF68EB,坡道平面,1450000,26.29
RPTPMLMJKHLFFIF88EB,坡道平面,1400000,25.03
RPUPMLMJKHLFFIF98EB,坡道平面,1550000,25.03
RPVNMLMJKHLFFBF08DB,坡道平面,1000000,32.14
RPUNMLMJKHLFFBF97DB,坡道平面,1500000,32.14
RPPNMLRLKHLFFDF28CB,坡道平面,1450000,34.88
RPQNMLRLKHLFFDF38CB,坡道平面,1450000,34.88
RPROMLRLKHLFFDF58CB,坡道平面,1450000,34.88
RPRPMLRLKHLFFDF68CB,坡道平面,1450000,34.88
RPSPMLRLKHLFFDF78CB,坡道平面,1400000,32.81
RPQPMLRLKHLFFDF58CB,坡道平面,1450000,34.88
RPUPMLRLKHLFFDF98CB,坡道平面,1220000,34.88
RPTPMLRLKHLFFDF88CB,坡道平面,1400000,32.81
RPVPMLRLKHLFFDF09CB,坡道平面,1450000,34.88
RPXPMLRLKHLFFDF66CB,坡道平面,1450000,34.88
RPOQMLRLKHLFFDF48CB,坡道平面,1450000,34.88
RPPQMLRLKHLFFDF58CB,坡道平面,1550000,34.88
RPWSMLRLKHLFFDF86CB,坡道平面,1450000,34.88
RPXSMLRLKHLFFDF96CB,坡道平面,1450000,34.88
RPVSMLRLKHLFFDF76CB,坡道平面,1550000,34.88
RPSSMLRLKHLFFDF09CB,坡道平面,1500000,32.81
RPTSMLRLKHLFFDF56CB,坡道平面,1450000,34.88
RPUSMLRLKHLFFDF66CB,坡道平面,1550000,34.88
RPRSMLRLKHLFFDF98CB,坡道平面,1500000,32.81
RPOTMLRLKHLFFDF78CB,坡道平面,1450000,34.88
RPPTMLRLKHLFFDF88CB,坡道平面,1550000,34.88
RPRTMLRLKHLFFDF09CB,坡道平面,1450000,34.88
RPSTMLRLKHLFFDF56CB,坡道平面,1550000,34.88
RPTTMLRLKHLFFDF66CB,坡道平面,1450000,34.88
RPQTMLRLKHLFFDF98CB,坡道平面,1450000,34.88
RPUTMLRLKHLFFDF76CB,坡道平面,1450000,34.88
RPPUMLRLKHLFFDF98CB,坡道平面,1550000,34.88
RPRUMLRLKHLFFDF56CB,坡道平面,1450000,34.88
RPWTMLRLKHLFFDF96CB,坡道平面,1450000,34.88
RPSUMLRLKHLFFDF66CB,坡道平面,1450000,34.88
RPOUMLRLKHLFFDF88CB,坡道平面,1400000,32.81
RPXTMLRLKHLFFDF07CB,坡道平面,1450000,34.88
RPVTMLRLKHLFFDF86CB,坡道平面,1450000,34.88
RPQUMLRLKHLFFDF09CB,坡道平面,1550000,34.88
RPQNMLRKLHLFFIF88CB,坡道平面,1450000,27.20
RPSNMLOJLHLFFGF48CB,坡道平面,1900000,28.99
RPUNMLOJLHLFFGF68CB,坡道平面,2100000,30.83
RPWNMLQKLHLFFHF66CB,坡道平面,2000000,37.87
RPQPMLNJLHLFFEF18CB,坡道平面,1350000,32.65
RPTNMLRKLHLFFIF56CB,坡道平面,1450000,27.20
RPVNMLRKLHLFFIF76CB,坡道平面,1500000,27.20
RPWNMLRKLHLFFIF86CB,坡道平面,1500000,27.20
RPUNMLRKLHLFFIF66CB,坡道平面,1500000,27.20
RPXNMLRKLHLFFIF96CB,坡道平面,1500000,27.20
RPOOMLRKLHLFFIF78CB,坡道平面,1450000,27.20
RPQOMLRKLHLFFIF98CB,坡道平面,1450000,27.20
RPPOMLRKLHLFFIF88CB,坡道平面,1500000,27.20
RPOPMLRKLHLFFIF88CB,坡道平面,1450000,25.13
RPTOMLRKLHLFFIF66CB,坡道平面,1500000,27.20
RPWOMLRKLHLFFIF96CB,坡道平面,1500000,27.20
RPOOMLSKLHLFFIF88CB,坡道平面,1500000,27.20
RPOOMLSKLHLFFIF88CB,坡道平面,1400000,25.13
RPTNMLSKLHLFFIF66CB,坡道平面,1400000,25.13
RPVNMLSKLHLFFIF86CB,坡道平面,1500000,27.20
RPTPMLSKLHLFFIF86CB,坡道平面,1450000,27.20
RPUPMLSKLHLFFIF96CB,坡道平面,1450000,27.20
RPWPMLSKLHLFFIF17CB,坡道平面,1300000,27.20
RPQQMLSKLHLFFIF66CB,坡道平面,1450000,25.13
RPPQMLSKLHLFFIF56CB,坡道平面,1450000,27.20
RPRQMLSKLHLFFIF76CB,坡道平面,1450000,27.20
RPPPMLSKLHLFFIF09CB,坡道平面,1400000,25.13
RPSQMLSKLHLFFIF86CB,坡道平面,1450000,27.20
RPTQMLSKLHLFFIF96CB,坡道平面,1450000,27.20
RPUQMLSKLHLFFIF07CB,坡道平面,1450000,27.20
RPORMLSKLHLFFIF56CB,坡道平面,1500000,27.20
RPVQMLSKLHLFFIF17CB,坡道平面,1500000,27.20
RPPRMLSKLHLFFIF66CB,坡道平面,1500000,27.20
RPQRMLSKLHLFFIF76CB,坡道平面,1500000,27.20
RPRRMLSKLHLFFIF86CB,坡道平面,1450000,27.20
RPPNMLTKLHLFFIF98CB,坡道平面,1450000,27.20
RPSNMLNKLHLFFBF08DB,坡道平面,1800000,33.01
RPRNMLNKLHLFFBF97DB,坡道平面,1800000,33.01
RPSRMLSKLHLFFIF96CB,坡道平面,1450000,25.13
RPQNMLTLLHLFFAF38CB,坡道平面,1250000,34.76
RPRNMLTLLHLFFAF48CB,坡道平面,1150000,40.11
RPVNMLTLLHLFFAF88CB,坡道平面,1350000,40.11
RPUNMLTLLHLFFAF78CB,坡道平面,1350000,40.11
RPOOMLTLLHLFFAF28CB,坡道平面,1330000,40.11
RPTNMLTLLHLFFAF68CB,坡道平面,1350000,40.11
RPWNMLTLLHLFFAF98CB,坡道平面,1150000,40.11
RPSNMLTLLHLFFAF58CB,坡道平面,1350000,40.11
RPPNMLTLLHLFFAF28CB,坡道平面,1330000,40.11
RPXNMLTLLHLFFAF09CB,坡道平面,1150000,40.11
RPUOMLTLLHLFFAF88CB,坡道平面,1350000,40.11
RPUOMLTLLHLFFAF88CB,坡道平面,1350000,40.11
RPTOMLTLLHLFFAF78CB,坡道平面,1350000,40.11
RPSOMLTLLHLFFAF68CB,坡道平面,1230000,40.11
RPVOMLTLLHLFFAF98CB,坡道平面,1250000,40.11
RPWOMLTLLHLFFAF09CB,坡道平面,1230000,40.11
RPPPMLTLLHLFFAF48CB,坡道平面,1350000,40.11
RPOPMLTLLHLFFAF38CB,坡道平面,1350000,40.11
RPXOMLTLLHLFFAF56CB,坡道平面,1350000,40.11
RPSPMLTLLHLFFAF78CB,坡道平面,1250000,34.76
RPQPMLTLLHLFFAF58CB,坡道平面,1250000,40.11
RPRPMLTLLHLFFAF68CB,坡道平面,1250000,40.11
RPUPMLTLLHLFFAF98CB,坡道平面,1150000,34.76
RPWPMLTLLHLFFAF56CB,坡道平面,1330000,40.11
RPWPMLTLLHLFFAF56CB,坡道平面,1330000,40.11
RPTPMLTLLHLFFAF88CB,坡道平面,1250000,40.11
RPXPMLTLLHLFFAF66CB,坡道平面,1120000,34.76
RPOQMLTLLHLFFAF48CB,坡道平面,1230000,40.11
RPQQMLTLLHLFFAF68CB,坡道平面,1230000,40.11
RPSQMLTLLHLFFAF88CB,坡道平面,1150000,40.11
RPTQMLTLLHLFFAF98CB,坡道平面,1250000,40.11
RPPQMLTLLHLFFAF58CB,坡道平面,1250000,40.11
RPRQMLTLLHLFFAF78CB,坡道平面,1150000,40.11
RPWQMLTLLHLFFAF66CB,坡道平面,1150000,40.11
RPORMLTLLHLFFAF58CB,坡道平面,1050000,34.76
RPXQMLTLLHLFFAF76CB,坡道平面,1130000,40.11
RPUQMLTLLHLFFAF09CB,坡道平面,1150000,40.11
RPVQMLTLLHLFFAF56CB,坡道平面,1350000,40.11
RPPRMLTLLHLFFAF68CB,坡道平面,1050000,34.76
RPRRMLTLLHLFFAF88CB,坡道平面,1250000,40.11
RPURMLTLLHLFFAF56CB,坡道平面,1250000,40.11
RPWRMLTLLHLFFAF76CB,坡道平面,1350000,40.11
RPQRMLTLLHLFFAF78CB,坡道平面,1150000,40.11
RPXRMLTLLHLFFAF86CB,坡道平面,1250000,40.11
RPTRMLTLLHLFFAF09CB,坡道平面,1150000,34.76
RPSRMLTLLHLFFAF98CB,坡道平面,1130000,40.11
RPVRMLTLLHLFFAF66CB,坡道平面,1150000,40.11
RPOSMLTLLHLFFAF68CB,坡道平面,1020000,34.76
RPPSMLTLLHLFFAF78CB,坡道平面,1130000,40.11
RPRSMLTLLHLFFAF98CB,坡道平面,1250000,40.11
RPSSMLTLLHLFFAF09CB,坡道平面,1050000,34.76
RPQSMLTLLHLFFAF88CB,坡道平面,1130000,40.11
RPXSMLTLLHLFFAF96CB,坡道平面,1230000,40.11
RPOTMLTLLHLFFAF78CB,坡道平面,1150000,40.11
RPUSMLTLLHLFFAF66CB,坡道平面,1150000,40.11
RPWSMLTLLHLFFAF86CB,坡道平面,1250000,40.11
RPTSMLTLLHLFFAF56CB,坡道平面,1130000,40.11
RPPTMLTLLHLFFAF88CB,坡道平面,1350000,40.11
RPQTMLTLLHLFFAF98CB,坡道平面,1150000,40.11
RPRTMLTLLHLFFAF09CB,坡道平面,1150000,40.11
RPSTMLTLLHLFFAF56CB,坡道平面,1150000,40.11
RPTTMLTLLHLFFAF66CB,坡道平面,1150000,40.11
RPUTMLTLLHLFFAF76CB,坡道平面,1150000,40.11
RPRUMLTLLHLFFAF56CB,坡道平面,1230000,40.11
RPVTMLTLLHLFFAF86CB,坡道平面,1150000,40.11
RPQUMLTLLHLFFAF09CB,坡道平面,1150000,34.76
RPXTMLTLLHLFFAF07CB,坡道平面,1230000,40.11
RPOUMLTLLHLFFAF88CB,坡道平面,1130000,40.11
RPPUMLTLLHLFFAF98CB,坡道平面,1230000,40.11
RPWTMLTLLHLFFAF96CB,坡道平面,1020000,34.76
RPTUMLTLLHLFFAF76CB,坡道平面,1150000,40.11
RPSUMLTLLHLFFAF66CB,坡道平面,1250000,40.11
RPUUMLTLLHLFFAF86CB,坡道平面,1250000,40.11
RPWUMLTLLHLFFAF07CB,坡道平面,1230000,40.11
RPXUMLTLLHLFFAF17CB,坡道平面,1150000,40.11
RPVUMLTLLHLFFAF96CB,坡道平面,1150000,40.11
RPPVMLTLLHLFFAF09CB,坡道平面,1150000,40.11
RPQVMLTLLHLFFAF56CB,坡道平面,1150000,40.11
RPOVMLTLLHLFFAF98CB,坡道平面,1250000,40.11
