編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLKMLHLFFBG97CB,烏石港段,56.61,都市：住
RPOOMLKMLHLFFBG67CB,烏石港段,23.87,都市：住
RPUOMLKMLHLFFBG28CB,烏石港段,59.10,都市：住
RPQOMLKMLHLFFBG87CB,烏石港段,58.93,都市：住
RPSOMLKMLHLFFBG08CB,烏石港段,56.94,都市：住
RPVOMLKMLHLFFBG38CB,烏石港段,58.93,都市：住
RPXNMLKMLHLFFBG48CB,烏石港段,32.41,都市：住
RPWNMLKMLHLFFBG38CB,烏石港段,58.85,都市：住
RPPOMLKMLHLFFBG77CB,烏石港段,61.26,都市：住
RPTOMLKMLHLFFBG18CB,烏石港段,23.29,都市：住
RPXOMLKMLHLFFBG58CB,烏石港段,23.21,都市：住
RPOPMLKMLHLFFBG77CB,烏石港段,58.52,都市：住
RPWOMLKMLHLFFBG48CB,烏石港段,23.46,都市：住
RPQPMLKMLHLFFBG97CB,烏石港段,24.20,都市：住
RPPPMLKMLHLFFBG87CB,烏石港段,24.04,都市：住
RPTPMLKMLHLFFBG28CB,烏石港段,24.12,都市：住
RPSPMLKMLHLFFBG18CB,烏石港段,60.92,都市：住
RPRPMLKMLHLFFBG08CB,烏石港段,23.54,都市：住
RPUPMLKMLHLFFBG38CB,烏石港段,23.29,都市：住
RPVPMLKMLHLFFBG48CB,烏石港段,23.21,都市：住
RPWPMLKMLHLFFBG58CB,烏石港段,23.71,都市：住
RPXPMLKMLHLFFBG68CB,烏石港段,23.87,都市：住
RPPQMLKMLHLFFBG97CB,烏石港段,23.87,都市：住
RPOQMLKMLHLFFBG87CB,烏石港段,23.62,都市：住
RPQQMLKMLHLFFBG08CB,烏石港段,23.95,都市：住
RPRQMLKMLHLFFBG18CB,烏石港段,23.87,都市：住
RPWQMLKMLHLFFBG68CB,烏石港段,25.36,都市：住
RPTQMLKMLHLFFBG38CB,烏石港段,23.95,都市：住
RPPRMLKMLHLFFBG08CB,烏石港段,24.78,都市：住
RPORMLKMLHLFFBG97CB,烏石港段,24.78,都市：住
RPVQMLKMLHLFFBG58CB,烏石港段,24.29,都市：住
RPSQMLKMLHLFFBG28CB,烏石港段,24.20,都市：住
RPUQMLKMLHLFFBG48CB,烏石港段,24.20,都市：住
RPRRMLKMLHLFFBG28CB,烏石港段,24.54,都市：住
RPQRMLKMLHLFFBG18CB,烏石港段,25.36,都市：住
RPXQMLKMLHLFFBG78CB,烏石港段,23.95,都市：住
RPURMLKMLHLFFBG58CB,烏石港段,24.78,都市：住
RPVRMLKMLHLFFBG68CB,烏石港段,25.36,都市：住
RPTRMLKMLHLFFBG48CB,烏石港段,38.13,都市：住
RPRSMLKMLHLFFBG38CB,烏石港段,25.12,都市：住
RPXRMLKMLHLFFBG88CB,烏石港段,25.03,都市：住
RPSRMLKMLHLFFBG38CB,烏石港段,24.78,都市：住
RPPSMLKMLHLFFBG18CB,烏石港段,24.70,都市：住
RPQSMLKMLHLFFBG28CB,烏石港段,25.12,都市：住
RPOSMLKMLHLFFBG08CB,烏石港段,24.62,都市：住
RPSSMLKMLHLFFBG48CB,烏石港段,24.37,都市：住
RPTSMLKMLHLFFBG58CB,烏石港段,24.78,都市：住
RPVSMLKMLHLFFBG78CB,烏石港段,24.95,都市：住
RPUSMLKMLHLFFBG68CB,烏石港段,24.12,都市：住
RPWSMLKMLHLFFBG88CB,烏石港段,26.36,都市：住
RPWRMLKMLHLFFBG78CB,烏石港段,24.62,都市：住
RPUTMLKMLHLFFBG78CB,烏石港段,25.94,都市：住
RPXSMLKMLHLFFBG98CB,烏石港段,25.20,都市：住
RPSTMLKMLHLFFBG58CB,烏石港段,25.61,都市：住
RPRTMLKMLHLFFBG48CB,烏石港段,24.78,都市：住
RPQTMLKMLHLFFBG38CB,烏石港段,24.95,都市：住
RPTTMLKMLHLFFBG68CB,烏石港段,24.78,都市：住
RPOTMLKMLHLFFBG18CB,烏石港段,24.78,都市：住
RPPTMLKMLHLFFBG28CB,烏石港段,25.12,都市：住
RPWTMLKMLHLFFBG98CB,烏石港段,22.55,都市：住
RPVTMLKMLHLFFBG88CB,烏石港段,25.36,都市：住
RPPUMLKMLHLFFBG38CB,烏石港段,22.38,都市：住
RPOUMLKMLHLFFBG28CB,烏石港段,22.38,都市：住
RPTUMLKMLHLFFBG78CB,烏石港段,22.96,都市：住
RPXTMLKMLHLFFBG09CB,烏石港段,23.04,都市：住
RPQUMLKMLHLFFBG48CB,烏石港段,22.46,都市：住
RPWUMLKMLHLFFBG09CB,烏石港段,23.29,都市：住
RPUUMLKMLHLFFBG88CB,烏石港段,23.21,都市：住
RPSUMLKMLHLFFBG68CB,烏石港段,22.79,都市：住
