編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLMLKHLFFAG18EC,中華段,23.37,都市：商
RPQNMLRJLHLFFAG18CC,南昌段,100.00,都市：住
RPPOMLSJLHLFFAG28CC,學新段,61.31,都市：住
RPTOMLPLKHLFFAG48CC,東光段,28.50,都市：商
RPTNMLPLKHLFFAG38CC,國華段,22.00,都市：住
RPUNMLRJLHLFFBG68CC,珍子滿力段擺厘小段,125.00,都市：住
RPVNMLQKKHLFFBG68CC,金六結段金結小段,.00,都市：住
RPUNMLOKLHLFFBG48CC,金六結三段,.00,都市：住
RPQPMLOLLHLFFAG48EC,義成二段,116.69,都市：住
RPXPMLMLLHLFFAG78CC,羅莊段,17.65,都市：住
RPSNMLQJMHLFFAG38CC,信義段,.00,都市：商
RPWPMLMLLHLFFAG68CC,東安段,12.31,都市：住
RPQOMLNLLHLFFAG08CC,中華段,209.00,都市：住
RPXOMLNLLHLFFAG78CC,箕山段,72.40,都市：住
RPPPMLMLLHLFFAG18EC,信義段,11.02,都市：商
RPOOMLMKMHLFFAG77CC,羅莊段,35.30,都市：住
RPXNMLMKMHLFFAG58CC,義成六段,25.07,都市：商
RPPOMLNLMHLFFBG18CC,新生段,.00,都市：住
RPOOMLMLMHLFFBG97CC,白玉段,67.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLLLLHLFFBG48CC,新生段,.00,都市：住
RPWNMLMKMHLFFAG48CC,羅莊段,21.97,都市：住
RPXNMLMLMHLFFBG78CC,樂山段,1693.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLPKLHLFFBG78CC,乾門三段,.00,都市：商
RPWOMLRKLHLFFBG66EC,金山段,75.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLPLMHLFFBG78CC,新生段,74.31,都市：住
RPTOMLPLMHLFFBG78CC,新生段,14.40,都市：住
RPPNMLPLMHLFFBG38DC,壯一段,.00,都市：住
