編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRPMLLJKHLFFAH67CA,中德段,37.82,都市：其他
RPXQMLNJKHLFFAH58CA,延壽段,94.99,都市：其他
RPXQMLNJKHLFFAH58CA,延壽段,29.63,都市：其他
RPXQMLNJKHLFFAH58CA,延壽段,88.82,都市：其他
RPQRMLNJKHLFFAH97CA,延壽段,47.49,都市：其他
RPQRMLNJKHLFFAH97CA,延壽段,14.82,都市：其他
RPQRMLNJKHLFFAH97CA,延壽段,44.41,都市：其他
RPPRMLNJKHLFFAH87CA,延壽段,47.49,都市：其他
RPPRMLNJKHLFFAH87CA,延壽段,14.82,都市：其他
RPPRMLNJKHLFFAH87CA,延壽段,44.41,都市：其他
RPXNMLNJKHLFFAH28CA,大同段,11.99,都市：住
RPSOMLPJKHLFFAH08CA,大有段,11.63,都市：住
RPWNMLPJKHLFFAH38CA,中平段,495.97,都市：其他
RPVPMLQKKHLFFAH68CA,山鶯段,2.89,都市：其他
RPTPMLQKKHLFFAH48CA,山鶯段,1.47,都市：其他
RPQPMLQKKHLFFAH18CA,山鶯段,1.39,都市：其他
RPPPMLQKKHLFFAH08CA,山鶯段,1.37,都市：其他
RPSPMLQKKHLFFAH38CA,山鶯段,2.84,都市：其他
RPXPMLQKKHLFFAH88CA,山鶯段,1.29,都市：其他
RPUPMLQKKHLFFAH58CA,山鶯段,1.45,都市：其他
RPRPMLQKKHLFFAH28CA,山鶯段,1.39,都市：其他
RPPNMLQJKHLFFAH77CA,樂捷段,363.87,都市：工
RPTOMLRKKHLFFAH48CA,寶山段,18.32,都市：住
RPOOMLSKKHLFFAH08CA,埔子段北門埔子小段,.06,都市：商
RPOOMLSKKHLFFAH08CA,埔子段北門埔子小段,7.08,都市：商
RPVOMLMJKHLFFBH18CA,青溪段,49.00,都市：住
RPWNMLMJKHLFFBH18CA,崇德段,129.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLMJKHLFFBH08CA,青溪段,51.23,都市：住
RPOOMLMJKHLFFBH47CA,新街段,31.98,都市：住
RPORMLQKKHLFFAH18CA,成功段,35.60,都市：住
RPORMLQKKHLFFAH18CA,成功段,1.25,都市：住
RPVQMLQKKHLFFAH78CA,國強段,.54,都市：住
RPVQMLQKKHLFFAH78CA,國強段,11.10,都市：住
RPVQMLQKKHLFFAH78CA,國強段,5.62,都市：住
RPVQMLQKKHLFFAH78CA,國強段,.28,都市：住
RPVQMLQKKHLFFAH78CA,國強段,5.19,都市：住
RPTQMLQKKHLFFAH58CA,國強段,.28,都市：住
RPTQMLQKKHLFFAH58CA,國強段,5.19,都市：住
RPTQMLQKKHLFFAH58CA,國強段,.54,都市：住
RPTQMLQKKHLFFAH58CA,國強段,11.10,都市：住
RPTQMLQKKHLFFAH58CA,國強段,5.62,都市：住
RPSNMLNJKHLFFBH87CA,遠東段,4.55,都市：住
RPTPMLMJKHLFFBH08CA,仁和段,3.30,都市：商
RPXOMLMJKHLFFBH38CA,青芝段,25.23,都市：住
RPTPMLMJKHLFFBH08CA,仁和段,.42,都市：商
RPTPMLMJKHLFFBH08CA,仁和段,1.95,都市：住
RPROMLOJKHLFFBH97CA,普仁段,5.99,都市：住
RPRNMLOJKHLFFBH87CA,石頭段,13.11,都市：商
RPUOMLTKKHLFFAH78CA,中路三段,20.04,都市：住
RPOOMLTKKHLFFAH18CA,大有段,23.90,都市：住
RPXNMLOJKHLFFBH48CA,忠福段,32.61,都市：住
RPSNMLLKKHLFFBH77CA,永興段,30.18,都市：其他
RPRNMLLKKHLFFBH67CA,振興段,.05,都市：其他
RPTNMLLKKHLFFBH87CA,振興段,35.79,都市：其他
RPWNMLLKKHLFFBH18CA,永興段,.22,都市：其他
RPXNMLLKKHLFFBH28CA,永興段,17.71,都市：其他
RPOOMLLKKHLFFBH47CA,振興段,33.00,都市：其他
RPRPMLKKKHLFFBH77CA,振興段,.08,都市：其他
RPVNMLLKKHLFFBH08CA,永興段,11.95,都市：其他
RPVNMLLKKHLFFBH08CA,永興段,6.89,都市：其他
RPPOMLLKKHLFFBH57CA,振興段,32.65,都市：其他
RPQNMLOKKHLFFBH87CA,前寮段,8.69,都市：其他
RPPNMLOKKHLFFBH77CA,永興段,28.54,都市：其他
RPQOMLLKKHLFFBH67CA,永興段,16.22,都市：其他
RPROMLLKKHLFFBH77CA,永興段,16.22,都市：其他
RPSOMLLJLHLFFAH77CA,同安段,21.34,都市：住
RPVNMLPJKHLFFBH38CA,興南段興南小段,55.00,都市：住
RPTOMLNLKHLFFBH28CA,中興段,1.60,都市：其他
RPTOMLNLKHLFFBH28CA,中興段,.79,都市：其他
RPTOMLNLKHLFFBH28CA,中興段,1.40,都市：其他
RPTOMLNLKHLFFBH28CA,中興段,30.56,都市：其他
RPQOMLTKKHLFFBH48CA,石頭段,1.21,都市：住
RPQNMLMJKHLFFCH67CA,湖底段,457.65,都市：其他
RPQNMLMJKHLFFCH67CA,湖底段,244.13,都市：其他
RPQNMLMJKHLFFCH67CA,湖底段,47.66,都市：其他
RPPOMLMJKHLFFCH67CA,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLMJKHLFFCH67CA,潛龍段,42.56,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLTKKHLFFBH09CA,前寮段,98.77,都市：其他
RPRPMLNLKHLFFBH18CA,青平段,40.76,都市：住
RPXNMLMJKHLFFCH38CA,潛龍段,29.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLMJKHLFFCH38CA,潛龍段,.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLOJKHLFFCH18CA,三層段頭寮小段,331.00,非都市：風景區 ; 非都市編定：農牧用地
RPSNMLQKKHLFFCH38CA,康莊段,26.64,都市：住
RPXNMLMJKHLFFDH48CA,幼獅段,23.26,都市：住
RPUNMLMJKHLFFDH18CA,草湳坡段埔心小段,31.00,都市：住
RPUNMLMJKHLFFDH18CA,草湳坡段埔心小段,55.00,都市：住
RPQNMLNJKHLFFCH77CA,埔頂段,78.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLMLKHLFFCH38CA,永福段,74.33,都市：農
RPVNMLMLKHLFFCH38CA,永福段,2.48,都市：農
RPVNMLMLKHLFFCH38CA,永福段,7.78,都市：農
RPVNMLMLKHLFFCH38CA,永福段,2.08,都市：農
RPVOMLLJKHLFFDH28CA,草湳坡段埔心小段,26.22,都市：住
RPVOMLLJKHLFFDH28CA,草湳坡段埔心小段,25.00,都市：住
RPROMLNJKHLFFDH08CA,楊梅段,30.00,都市：住
RPTNMLOJKHLFFDH28CA,甡甡段,22.19,都市：農
RPTNMLOJKHLFFDH28CA,甡甡段,110.11,都市：農
RPSOMLQKKHLFFDH58CA,頭重溪段,18.78,都市：住
RPSNMLOJKHLFFDH18CA,甡甡段,3.30,都市：農
RPXNMLQKKHLFFDH98CA,高洲段,62.23,都市：住
RPROMLPJKHLFFDH28CA,下田心子段赤牛欄小段,1960.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWOMLNLKHLFFDH78CA,新生段,98.00,都市：商
RPQNMLTLKHLFFBH48CA,山嶺段,170.93,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPQNMLTLKHLFFBH48CA,山嶺段,79.22,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPQOMLNJKHLFFEH08CA,宏竹段,459.91,非都市：特定農業區 ; 非都市編定：農牧用地
RPSOMLMJKHLFFEH18CA,六福段,3.31,都市：其他
RPXNMLMJKHLFFEH58CA,河底段,21.69,都市：住
RPWOMLRKKHLFFEH56CA,沙崙段埔頂小段,1030.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPXOMLMJKHLFFFH78CA,大庄段,316.36,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPXOMLMJKHLFFFH78CA,大庄段,46.19,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPVOMLMJKHLFFFH58CA,豐田段,19.66,都市：住
RPSNMLOJKHLFFFH38CA,興仁段,19.43,都市：商
RPRNMLOJKHLFFEH18CA,竹圍段竹圍小段,93.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSSMLLJKHLFFGH68CA,中庸段,2513.37,都市：農
RPQNMLMJKHLFFGH08CA,新富段,7.18,都市：住
RPVNMLPKKHLFFFH88CA,大庄段,21.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
TPUPMLSKKHLFFEH76CA,青峰段,16.22,都市：住
RPWPMLSKKHLFFEH76CA,青峰段,16.70,都市：住
RPXPMLSKKHLFFEH86CA,青峰段,16.38,都市：住
RPWNMLNLKHLFFEH78CA,西園段,84.29,都市：住
RPOQMLSKKHLFFEH68CA,青峰段,13.25,都市：住
RPUPMLSKKHLFFEH56CA,青峰段,14.72,都市：住
SPUPMLSKKHLFFEH66CA,青峰段,17.02,都市：住
RPTOMLMJKHLFFBH08DA,三座屋段舊社小段,11.75,都市：住
RPTOMLMJKHLFFBH08DA,三座屋段舊社小段,2.83,都市：住
RPTOMLMJKHLFFBH08DA,三座屋段舊社小段,22.83,都市：住
RPTOMLMJKHLFFBH08DA,三座屋段舊社小段,40.17,都市：住
RPTOMLMJKHLFFBH08DA,三座屋段舊社小段,2.58,都市：住
RPTOMLMJKHLFFBH08DA,三座屋段舊社小段,.42,都市：住
RPTOMLMJKHLFFBH08DA,三座屋段舊社小段,4.17,都市：住
RPTOMLMJKHLFFBH08DA,三座屋段舊社小段,3.17,都市：住
RPOPMLMJKHLFFBH67DA,前寮段,72.55,都市：住
RPOPMLTLLHLFFGH09CA,平德段,34.15,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLSKKHLFFBH68DA,三座屋段舊社小段,4.89,都市：住
RPTNMLSKKHLFFBH68DA,三座屋段舊社小段,.96,都市：住
RPSOMLMJKHLFFAH97EA,公西段,22.85,都市：其他
RPVOMLNJKHLFFAH38EA,兔子坑段,680.72,非都市：山坡地保育區 ; 非都市編定：林業用地
RPRPMLOJKHLFFAH08DA,龍安段,21.03,都市：住
