鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物),基隆市信義區信一路141巷1~30號,24.88,商,,,1050407,土地1建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801016,166.15,3,2,2,有,無,無,26000,156,,0.0,0,,RPSNMLOJNHLFFBC08DC
七堵區,房地(土地+建物)+車位,基隆市七堵區明德二路1~30號,27.58,住,,,1050410,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,138.99,4,2,2,有,無,無,15000,108,坡道平面,38.45,0,,RPVNMLPJNHLFFCC48CC
安樂區,房地(土地+建物),基隆市安樂區基金一路121~150號,32.05,住,,,1050502,土地1建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0780620,96.02,0,0,0,無,無,無,73000,760,,0.0,0,,RPPNMLOKNHLFFCC97DC
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區實踐路151~180號,49.44,住,,,1050511,土地1建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0850705,125.43,0,0,1,有,無,無,28000,223,,0.0,0,,RPVNMLNLNHLFFCC48CC
中正區,房地(土地+建物),基隆市中正區觀海街91~120號,16.76,住,,,1050429,土地2建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,87.83,2,2,2,有,有,有,8500,97,,0.0,0,租金內含社區管理費,RPVNMLOLNHLFFBC48CC
中正區,車位,基隆市中正區觀海街91~120號,0.0,,,,1050429,土地0建物0車位1,,,其他,,,,45.95,0,0,0,有,有,無,1500,,坡道平面,45.95,1500,租金內含社區車位清潔費,RPSNMLPLNHLFFBC28CC
仁愛區,建物,基隆市仁愛區愛三路31~60號,130.0,商,,,1050518,土地0建物1車位0,一層,3,店面(店鋪),商業用,磚造,0260101,109.92,0,3,1,有,無,無,170000,1547,,0.0,0,,RPRNMLPLNHLFFBC28DC
仁愛區,房地(土地+建物),基隆市仁愛區仁一路181~210號,55.0,商,,,1050524,土地2建物1車位0,一層,3,店面(店鋪),住商用,加強磚造,0521101,47.21,0,0,0,無,無,無,30000,635,,0.0,0,,RPSNMLRLNHLFFBC58DC
中正區,建物,基隆市中正區觀海街121~150號,0.0,,,,1050530,土地0建物1車位0,七層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880114,32.56,0,0,0,無,有,有,5000,154,,0.0,0,,RPPNMLLMNHLFFBC67CC
七堵區,土地,工建段901~930地號,2092.56,工,,,1050517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,220000,105,,0.0,0,租賃範圍:工建西路2號A區域倉庫483坪+空地150坪,RPUNMLOJOHLFFCC38CC
中山區,房地(土地+建物),基隆市中山區復興路259巷1~30號,21.72,住,,,1050614,土地3建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830930,83.2,2,2,1,有,無,有,6000,72,,0.0,0,,RPVNMLMLOHLFFCC48CC
信義區,房地(土地+建物),基隆市信義區深溪路55巷1~30號,24.05,住,,,1050601,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,101.74,3,2,2,有,有,有,12000,118,,0.0,0,租金含社區管理費,RPTNMLMLOHLFFBC18CC
信義區,房地(土地+建物),基隆市信義區信二路91~120號,51.0,商,,,1050608,土地2建物1車位0,一層,2,店面(店鋪),住商用,磚造,0470301,49.22,0,0,0,無,無,無,18000,366,,0.0,0,,RPSNMLQLOHLFFBC58DC
七堵區,房地(土地+建物),基隆市七堵區百五街64巷1~30號,38.8,住,,,1050605,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土加強磚造,0671202,91.89,2,2,1,有,無,有,8000,87,,0.0,0,,RPSOMLLJPHLFFCC08CC
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷121~150號,26.76,住,,,1050705,土地2建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840811,96.62,2,2,2,有,有,無,6000,62,,0.0,0,,RPVNMLQJPHLFFCC78CC
中山區,建物,基隆市中山區復興路331~360號,51.95,住,,,1050605,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0831007,231.39,0,0,0,無,無,無,28000,121,,0.0,0,,RPTNMLOKPHLFFCC58DC
中正區,房地(土地+建物),基隆市中正區信一路151~180號,99.0,商,,,1050620,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住商用,加強磚造,0600212,92.1,0,0,0,無,無,無,16000,174,,0.0,0,,RPROMLKLPHLFFBC08DC
仁愛區,建物,基隆市仁愛區愛三路121~150號,0.0,,,,1050715,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850214,155.69,0,0,0,無,無,無,62000,398,,0.0,0,,RPQNMLLLPHLFFBC87CC
中正區,房地(土地+建物),基隆市中正區祥豐街121~150號,45.0,住,,,1050629,土地1建物1車位0,全,1,透天厝,住商用,磚造,,38.13,3,2,2,有,無,無,14800,388,,0.0,0,,RPRNMLNLPHLFFBC28DC
中正區,建物,基隆市中正區新豐街333巷31~60號,0.0,,,,1050715,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841122,105.54,3,2,2,有,有,有,7500,71,,0.0,0,9月15日起租金調漲為8500元,RPQNMLTLPHLFFBC68CC
中正區,房地(土地+建物)+車位,基隆市中正區信二路271~300號,61.22,商,,,1050629,土地1建物2車位4,一層,12,店面(店鋪),見其他登記事項,鋼筋混凝土造,0931207,547.74,0,1,2,有,有,無,180000,329,坡道機械,30.4,0,,RPSNMLTLPHLFFBC88CC
