編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLPJNHLFFHR77CC,中興段,55.03,都市：住
RPUNMLPJNHLFFHR77CC,中興段,12.12,都市：住
RPUNMLOJNHLFFHR67CC,永強段,.00,都市：住
RPSNMLPJNHLFFCD28CC,竹篙厝段,.00,都市：住
RPPNMLPJNHLFFCD97CC,大忠段,266.58,都市：其他
RPPNMLPJNHLFFCD97CC,大忠段,32.28,都市：其他
RPPNMLPJNHLFFCD97CC,大忠段,20.38,都市：其他
RPPNMLPJNHLFFCD97CC,大忠段,9.22,都市：其他
RPUNMLNJNHLFFCD28CC,竹篙厝段,12.12,都市：住
RPUNMLNJNHLFFCD28CC,竹篙厝段,9.92,都市：住
RPVQMLNJNHLFFAD48CC,華興段,.00,都市：住
RPXOMLOJNHLFFAD58CC,大豐段,103.88,都市：住
RPPNMLSJNHLFFAD08CC,裕民段,79.80,都市：住
RPPPMLNJNHLFFAD87DC,開元段,.01,都市：其他
RPPPMLNJNHLFFAD87DC,開元段,5.46,都市：商
RPPPMLNJNHLFFAD87DC,開元段,.26,都市：住
RPSOMLTJNHLFFAD58CC,永安段,106.00,都市：住
RPRNMLMJNHLFFHR17CC,南工段,.00,都市：住
RPWNMLMJNHLFFHR77DC,蜈蜞潭段,65.00,都市：住
RPWNMLMJNHLFFHR77DC,蜈蜞潭段,16.19,都市：住
RPWNMLMJNHLFFHR77DC,蜈蜞潭段,4.76,都市：住
RPVOMLKKNHLFFAD08CC,自強段,.00,都市：商
RPSNMLOJNHLFFBD08CC,溪東段,102.31,都市：其他
RPSNMLOJNHLFFBD08CC,溪東段,3.29,都市：其他
RPQNMLKKNHLFFAD47CC,仁愛段,69.41,都市：商
RPWOMLKKNHLFFAD18CC,南寧段,.00,都市：住
RPQNMLSJNHLFFHR67CC,永強段,122.09,都市：其他
RPPNMLSJNHLFFHR57CC,南新段,79.99,都市：其他
RPWNMLTJNHLFFCD09CC,虎尾寮段,.00,都市：住
RPVNMLTJNHLFFCD98CC,關帝段,344.14,都市：其他
RPUNMLTJNHLFFCD88CC,關帝段,336.83,都市：其他
RPQNMLKKNHLFFCD67CC,竹篙厝段,140.00,都市：商
RPQNMLKKNHLFFCD67CC,竹篙厝段,140.00,都市：商
RPQOMLKKNHLFFCD77CC,天后段,72.53,都市：其他
RPPPMLKKNHLFFAD57CC,富台段,.00,都市：住
RPUNMLLKNHLFFCD18CC,光明段,.00,都市：住
RPOPMLKKNHLFFAD47CC,富台段,.00,都市：住
RPSNMLLKNHLFFCD97CC,竹篙厝段,.00,都市：住
RPSNMLLKNHLFFHR27CC,富強段,.00,都市：商
RPTNMLLKNHLFFCD08CC,虎尾寮段,.00,都市：住
RPOOMLLKNHLFFHR96CC,二王段,.00,都市：住
RPXNMLLKNHLFFCD48CC,精忠段,.00,都市：商
RPOOMLLKNHLFFCD67CC,光明段,.00,都市：住
RPSNMLMKNHLFFFR17CC,二王段,4696.13,都市：其他
RPSNMLLKNHLFFFR07CC,南潭段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
