編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPRMLMLOHLFFBJ78CB,坡道平面,0,36.19
RPPRMLMLOHLFFBJ78CB,坡道平面,0,36.19
RPPRMLMLOHLFFBJ78CB,坡道平面,0,38.25
RPVQMLMLOHLFFBJ66CB,坡道平面,0,38.25
RPVQMLMLOHLFFBJ66CB,坡道平面,0,38.25
RPTQMLMLOHLFFBJ09CB,坡道平面,0,38.25
RPTQMLMLOHLFFBJ09CB,坡道平面,0,38.25
RPXQMLMLOHLFFBJ86CB,坡道平面,0,38.25
RPXQMLMLOHLFFBJ86CB,坡道平面,0,38.25
RPUQMLMLOHLFFBJ56CB,坡道平面,0,38.25
RPUQMLMLOHLFFBJ56CB,坡道平面,0,38.25
RPUQMLMLOHLFFBJ56CB,坡道平面,0,38.25
RPTRMLMLOHLFFBJ56CB,坡道平面,0,38.25
RPTRMLMLOHLFFBJ56CB,坡道平面,0,38.25
RPORMLMLOHLFFBJ68CB,坡道平面,0,38.25
RPORMLMLOHLFFBJ68CB,坡道平面,0,38.25
RPRRMLMLOHLFFBJ98CB,坡道平面,0,36.19
RPRRMLMLOHLFFBJ98CB,坡道平面,0,38.25
RPRRMLMLOHLFFBJ98CB,坡道平面,0,38.25
RPWRMLMLOHLFFBJ86CB,坡道平面,0,36.19
RPWRMLMLOHLFFBJ86CB,坡道平面,0,38.25
RPWRMLMLOHLFFBJ86CB,坡道平面,0,38.25
RPXRMLMLOHLFFBJ96CB,坡道平面,0,38.25
RPXRMLMLOHLFFBJ96CB,坡道平面,0,38.25
RPVRMLMLOHLFFBJ76CB,坡道平面,0,36.22
RPVRMLMLOHLFFBJ76CB,坡道平面,0,36.22
RPUOMLRLOHLFFBJ86CB,坡道平面,0,38.25
RPUOMLRLOHLFFBJ86CB,坡道平面,0,38.25
RPPOMLSLOHLFFBJ09CB,坡道平面,1700000,15.00
RPPOMLSLOHLFFBJ09CB,坡道平面,1600000,15.00
