編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLNJNHLFFBN48CA,中興段,464.00,非都市：鄉村區 ; 非都市編定：丁種建築用地
RPUNMLNJNHLFFAN88CA,三民段,25.25,都市：住
RPUNMLNJNHLFFAN88CA,三民段,5.67,都市：住
RPUNMLNJNHLFFAN88CA,三民段,13.38,都市：住
RPOOMLOJNHLFFAN48CA,牛稠子段牛稠子小段,70.00,都市：住
RPUNMLQJNHLFFCN76CA,鹿鳴段,1139.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLQJNHLFFCN76CA,鹿鳴段,780.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLQJNHLFFCN76CA,鹿鳴段,640.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLKKNHLFFCN98CA,永安段,975.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLQJNHLFFCN86CA,鹿鳴段,1343.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLQJNHLFFCN86CA,鹿鳴段,142.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLQJNHLFFCN86CA,鹿鳴段,6.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLTJNHLFFCN96CA,海埔段,88.56,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLTJNHLFFCN96CA,海埔段,97.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLTJNHLFFCN96CA,海埔段,3.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLTJNHLFFCN96CA,海埔段,85.16,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLTJNHLFFCN07CA,海埔段,91.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLTJNHLFFCN07CA,海埔段,1.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLTJNHLFFCN07CA,海埔段,36.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLTJNHLFFCN66CA,海埔段,109.89,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLTJNHLFFCN66CA,海埔段,1.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLTJNHLFFCN86CA,海埔段,101.70,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLTJNHLFFCN86CA,海埔段,1.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLTJNHLFFCN86CA,海埔段,42.58,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLTJNHLFFCN76CA,海埔段,97.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLTJNHLFFCN76CA,海埔段,1.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLTJNHLFFCN76CA,海埔段,42.58,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLTJNHLFFCN17CA,海埔段,95.97,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLTJNHLFFCN17CA,海埔段,1.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLTJNHLFFCN17CA,海埔段,36.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNJNHLFFDN98CA,靜修段,10.07,都市：住
RPWNMLLKNHLFFDN66CA,復興段,113.72,都市：住
RPVNMLRLNHLFFBN07CA,福安段,71.26,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVNMLRLNHLFFBN07CA,福安段,109.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLQJNHLFFFN76CA,新興段,1267.00,非都市： ; 非都市編定：
RPTNMLQKNHLFFDN86CA,員林段,90.00,都市：住
RPPNMLPJNHLFFFN09CA,新興段,1267.00,都市：農
RPTNMLTJNHLFFFN27CA,進樂段,133.30,都市：住
RPVNMLOJNHLFFFN96CA,新生段,118.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLTJNHLFFFN37CA,海豐段,213.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLQJNHLFFFN86CA,新興段,1267.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLMJNHLFFFN86DA,海豐段,491.28,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLMJNHLFFFN86DA,海豐段,560.78,非都市： ; 非都市編定：
RPVNMLMJNHLFFFN86DA,海豐段,762.86,非都市： ; 非都市編定：
