編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLOJNHLFFCQ56CA,22,25.31,共有部分,鋼筋混凝土造,82年12月14日,七層,
RPSOMLTJNHLFFDQ37CA,36,99.20,住商用,鋼筋混凝土加強磚造,69年7月14日,二層,一層 二層 騎樓
RPRNMLRJNHLFFDQ96CA,17,87.78,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,
RPRNMLRJNHLFFDQ96CA,17,10.93,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,
RPRNMLRJNHLFFDQ96CA,17,.80,見其他登記事項,鋼筋混凝土造,88年5月31日,一層,
RPRNMLRKNHLFFCQ96CA,30,94.87,住家用,加強磚造,75年4月10日,二層,一層 二層
RPPNMLSJNHLFFBQ76DA,33,130.41,住商用,鋼筋混凝土加強磚造,71年10月18日,二層,一層 二層 騎樓
RPUNMLPJNHLFFCQ96CA,22,264.89,住商用,鋼筋混凝土造,83年6月30日,三層,一層 二層 三層 電梯樓梯間 地下層
RPSNMLPJNHLFFCQ76CA,19,181.50,見其他登記事項,鋼筋混凝土造,86年3月24日,三層,一層 二層 三層 電梯樓梯間
RPQNMLPJNHLFFDQ66CA,11,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,二層
RPSNMLTJNHLFFDQ27CA,35,113.51,住家用,鋼筋混凝土加強磚造,70年5月10日,二層,一層 二層
RPPNMLOLNHLFFDQ66CA,2,194.25,住家用,見其他登記事項,103年5月6日,三層,一層 二層 三層 見其他登記事項
RPQOMLTJNHLFFDQ27DA,22,50.93,見其他登記事項,鋼筋混凝土造,83年10月12日,七層,六層
RPQOMLTJNHLFFDQ27DA,22,28.75,見其他登記事項,鋼筋混凝土造,83年10月12日,七層,
RPQOMLTJNHLFFDQ27DA,22,32.72,見其他登記事項,鋼筋混凝土造,83年10月12日,七層,
RPSNMLQJNHLFFBQ86DA,22,83.75,住家用,鋼筋混凝土造,83年9月10日,十二層,
RPSNMLQJNHLFFBQ86DA,22,8.26,見其他登記事項,鋼筋混凝土造,83年9月10日,十二層,
RPSNMLQJNHLFFBQ86DA,22,6.58,見其他登記事項,鋼筋混凝土造,83年9月10日,十三層,
RPPNMLTJNHLFFBQ86DA,33,181.80,住家用,鋼筋混凝土加強磚造,72年5月4日,三層,一層 二層 三層 騎樓
RPQNMLQJNHLFFDQ86DA,38,101.88,住商用,鋼筋混凝土加強磚造,67年3月10日,二層,一層 二層 騎樓
RPRNMLQJNHLFFDQ86CA,1,179.97,見其他登記事項,鋼筋混凝土造,104年3月20日,三層,一層 二層 三層 見其他登記事項
