編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLLJOHLFFDT07DC,37,200.19,店舖、住宅,鋼筋混凝土造,68年5月12日,三層,
RPXNMLTKNHLFFCT28CC,21,158.37,住家用,鋼筋混凝土造,83年8月31日,三層,
RPOOMLSJOHLFFCT37CC,12,12.13,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPOOMLSJOHLFFCT37CC,12,5.62,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPOOMLSJOHLFFCT37CC,12,1.12,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPPOMLRKOHLFFAT37DC,28,336.18,住商用,鋼筋混凝土造,77年3月26日,四層,
RPWNMLLKNHLFFAT27DC,16,122.11,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPWOMLNKOHLFFAT57CC,47,107.56,住商用,鋼筋混凝土加強磚造,58年8月20日,二層,
RPXNMLLKNHLFFAT37DC,16,124.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPVOMLNKOHLFFAT47CC,29,215.82,住家用,鋼筋混凝土造,76年12月3日,四層,
RPQNMLNJPHLFFAT86CC,27,214.60,住商用,鋼筋混凝土造,78年1月21日,四層,
RPWNMLLLOHLFFAT37CC,,259.75,工業用,磚造,,一層,
RPWNMLLLOHLFFAT37CC,,361.94,住商用,鋼筋混凝土加強磚造,,二層,
RPUNMLQJOHLFFAT47CC,22,112.19,住商用,鋼筋混凝土造,83年4月27日,七層,
RPVPMLSJOHLFFAT97CC,,325.15,見其他登記事項,鋼筋混凝土加強磚造,,三層,
RPPNMLRJNHLFFAT96CC,9,178.70,住商用,鋼筋混凝土造,96年1月10日,四層,
RPQOMLSLPHLFFAT67CC,12,129.98,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,
RPQOMLSLPHLFFAT67CC,12,75.79,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,
