編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQNMLQKNHLFFAW17CA,坡道平面,800000,23.66
RPSPMLOKNHLFFAW37CA,坡道平面,800000,23.66
RPTPMLOKNHLFFAW47CA,坡道平面,400000,11.52
RPUPMLOKNHLFFAW57CA,坡道平面,400000,11.52
RPRNMLQLNHLFFAW37CA,坡道平面,600000,32.40
RPUNMLNKNHLFFAW27CA,坡道平面,600000,13.75
RPUNMLMJOHLFFAW17CA,坡道平面,900000,32.40
RPQNMLNJOHLFFAW86CA,坡道平面,300000,46.01
RPXNMLQKOHLFFAW97CA,坡道平面,700000,32.40
RPQNMLLLOHLFFAW86CA,坡道平面,650000,23.48
SPRNMLQKOHLFFAW47CA,坡道平面,600000,13.76
RPVNMLPJPHLFFAW67CA,坡道平面,600000,32.40
RPXNMLPJPHLFFAW87CA,坡道平面,700000,32.40
RPPNMLMKPHLFFAW86CA,坡道平面,300000,15.38
RPPNMLMKPHLFFAW86CA,坡道平面,300000,13.26
RPQNMLQLPHLFFAW47CA,坡道平面,0,26.94
