編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLQLPHLFFAZ67CA,橋仔段,278.81,都市：住
RPPNMLQLPHLFFAZ67CA,橋仔段,29.73,都市：住
RPPNMLLJQHLFFAZ17DA,四維段,211.28,都市：住
RPRNMLKLNHLFFAZ17DA,復興段,147.03,都市：其他
RPQNMLKLNHLFFAZ07DA,復興段,.78,都市：其他
RPPNMLPKPHLFFAZ57DA,塘岐段,233.27,都市：住
RPPNMLLKPHLFFAZ17DA,塘岐段,130.95,都市：住
RPPNMLLKPHLFFAZ17DA,塘岐段,60.49,都市：住
RPPNMLKLPHLFFAZ17DA,東引西段,18.35,都市：住
RPPNMLOKOHLFFAZ37DA,青帆段,41.66,都市：住
RPPNMLPKOHLFFAZ37CA,白沙段,131.65,都市：其他
RPPNMLPKOHLFFAZ37CA,白沙段,27.18,都市：其他
RPPNMLPKOHLFFAZ37CA,白沙段,88.61,都市：住
RPPNMLPKOHLFFAZ37CA,白沙段,59.94,都市：其他
RPPNMLPKOHLFFAZ37CA,白沙段,121.17,都市：住
