編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTOMLOJQHLFFAB08CA,中墩段三小段,.49,都市：其他
RPTPMLLJQHLFFAB87CA,樹子腳段,19.28,都市：住
RPVOMLMJQHLFFAB08CA,樹子腳段,2.95,都市：商
RPVOMLMJQHLFFAB08CA,樹子腳段,1.91,都市：商
RPTNMLMJQHLFFAB77CA,大益段,4.35,都市：住
RPUOMLPJQHLFFAB28CA,頂橋子頭段,6.07,都市：住
RPWPMLNJQHLFFAB38CA,後子段,14.77,都市：住
RPWPMLNJQHLFFAB38CA,後子段,14.77,都市：住
RPPNMLSJQHLFFAB97CA,中華段四小段,2.00,都市：住
RPPNMLSJQHLFFAB97CA,中華段五小段,4.00,都市：住
RPPNMLSJQHLFFAB97CA,中華段五小段,3.00,都市：住
RPRNMLKKQHLFFAB47CA,旱溪段,18.24,都市：住
RPWNMLSJQHLFFAB68CA,下橋子頭段,14.75,都市：住
RPWNMLSJQHLFFAB68CA,下橋子頭段,1.14,都市：其他
RPQPMLNJQHLFFAB77CA,後子段,25.75,都市：商
RPQPMLNJQHLFFAB77CA,後子段,21.79,都市：商
RPQPMLNJQHLFFAB77CA,後子段,3.47,都市：商
RPTNMLSJQHLFFAB38CA,麻園頭段,8.21,都市：住
RPVNMLMKQHLFFAB08CA,尚武段,31.22,都市：住
RPVNMLMKQHLFFAB08CA,尚武段,1.52,都市：住
RPVOMLLKQHLFFAB08CA,大益段,32.45,都市：住
RPRPMLKKQHLFFAB67CA,頂橋子頭段,14.06,都市：住
RPUOMLMKQHLFFAB08CA,平民段九小段,49.00,都市：住
RPUOMLMKQHLFFAB08CA,平民段九小段,36.00,都市：住
RPRPMLMKQHLFFAB87CA,樹子腳段,9.11,都市：住
RPRPMLMKQHLFFAB87CA,樹子腳段,9.11,都市：住
RPPNMLNKQHLFFAB57CA,萬安段八小段,4.44,都市：住
RPPNMLNKQHLFFAB57CA,萬安段八小段,4.84,都市：住
RPRPMLNLQHLFFAB08CA,樹子腳段,11.90,都市：住
RPRPMLNLQHLFFAB08CA,樹子腳段,9.04,都市：住
RPUNMLNJQHLFFBB08CA,錦村段,1.27,都市：商
RPUNMLNJQHLFFBB08CA,錦村段,14.87,都市：商
RPUNMLNJQHLFFBB08CA,錦村段,13.40,都市：商
RPOOMLNJQHLFFBB57CA,文正段,.15,都市：商
RPOOMLNJQHLFFBB57CA,文正段,.36,都市：商
RPWPMLNJQHLFFBB48CA,賴厝段,6.34,都市：商
RPXOMLNJQHLFFBB48CA,軍和段,7.89,都市：住
RPXOMLNJQHLFFBB48CA,軍和段,15.60,都市：住
RPPPMLNJQHLFFBB77CA,北屯段,10.98,都市：住
RPTRMLNJQHLFFBB38CA,錦村段,1.07,都市：商
RPTRMLNJQHLFFBB38CA,錦村段,1.23,都市：商
RPTRMLNJQHLFFBB38CA,錦村段,.01,都市：其他
RPTRMLNJQHLFFBB38CA,錦村段,.03,都市：其他
RPUNMLMJQHLFFBB97CA,北屯段,19.05,都市：住
RPQRMLNJQHLFFBB08CA,景東段,14.12,都市：住
RPQRMLNJQHLFFBB08CA,景東段,123.55,都市：住
RPRNMLOJQHLFFBB87CA,北屯段,17.88,都市：住
RPROMLMJQHLFFBB77CA,東新段,7.97,都市：住
RPXNMLPJQHLFFBB58CA,中德段,29.49,都市：住
RPTNMLPJQHLFFBB18CA,乾溝子段,11.48,都市：住
RPVPMLKKQHLFFBB18CA,同榮段,44.16,都市：商
RPVPMLKKQHLFFBB18CA,同榮段,73.68,都市：其他
RPVPMLKKQHLFFBB18CA,同榮段,77.16,都市：商
RPVPMLKKQHLFFBB18CA,同榮段,137.28,都市：商
RPVPMLKKQHLFFBB18CA,同榮段,115.32,都市：其他
RPVPMLKKQHLFFBB18CA,同榮段,80.16,都市：商
RPPNMLMKQHLFFBB57CA,大興段,618.02,都市：其他
RPXOMLLKQHLFFBB38CA,東義段,16.00,都市：住
RPOOMLKKQHLFFBB37CA,仁和段,20.57,都市：住
RPQNMLSJQHLFFBB18CA,錦村段,3.68,都市：住
RPVNMLLKQHLFFBB08CA,文正段,.09,都市：商
RPVNMLLKQHLFFBB08CA,文正段,.22,都市：商
RPRPMLTJQHLFFBB58CA,錦村段,29.83,都市：住
RPSOMLTJQHLFFBB58CA,東義段,21.77,都市：住
RPXOMLPKQHLFFBB78CA,北屯段,13.01,都市：住
RPSNMLQKQHLFFBB28CA,東光段,1.07,都市：住
RPSNMLQKQHLFFBB28CA,東光段,17.74,都市：住
RPSOMLRKQHLFFBB48CA,同榮段,480.00,都市：其他
RPSOMLRKQHLFFBB48CA,同榮段,131.00,都市：其他
RPSOMLRKQHLFFBB48CA,同榮段,156.00,都市：其他
RPSOMLRKQHLFFBB48CA,同榮段,13.00,都市：其他
RPRPMLQKQHLFFBB38CA,東光段,17.94,都市：住
RPXNMLSKQHLFFBB98CA,錦村段,58.00,都市：住
RPRPMLKMQHLFFBB97CA,中清段,9.87,都市：住
RPQPMLKMQHLFFBB87CA,中清段,19.00,都市：住
RPQPMLKMQHLFFBB87CA,中清段,5.48,都市：住
RPTQMLTLQHLFFBB09CA,賴厝段,6.12,都市：住
RPWPMLOJQHLFFCB68CA,知高段,.85,都市：工
RPWPMLOJQHLFFCB68CA,知高段,8.04,都市：工
RPWPMLOJQHLFFCB68CA,知高段,6.41,都市：工
RPWPMLOJQHLFFCB68CA,知高段,.47,都市：工
RPWPMLOJQHLFFCB68CA,知高段,22.34,都市：工
RPWPMLOJQHLFFCB68CA,知高段,1.89,都市：工
RPWPMLOJQHLFFCB68CA,知高段,3.01,都市：工
RPWPMLOJQHLFFCB68CA,知高段,1.12,都市：工
RPWPMLOJQHLFFCB68CA,知高段,.43,都市：工
RPWPMLOJQHLFFCB68CA,知高段,1.98,都市：工
RPWPMLOJQHLFFCB68CA,知高段,6.81,都市：工
RPXPMLOJQHLFFCB78CA,知高段,.73,都市：其他
RPXPMLOJQHLFFCB78CA,知高段,.89,都市：其他
RPXPMLOJQHLFFCB78CA,知高段,.02,都市：其他
RPSPMLOJQHLFFCB28CA,中仁段,70.00,都市：住
RPOQMLNJQHLFFCB87CA,上石碑段,7.00,都市：住
RPVNMLLJQHLFFCB08CA,上石碑段,6.37,都市：住
RPQQMLNJQHLFFCB08CA,大進段,11.62,都市：住
RPPNMLPJQHLFFCB87CA,惠來厝段,5.32,都市：住
RPQOMLMJQHLFFCB77CA,大進段,8.52,都市：住
RPROMLMJQHLFFCB87CA,大進段,6.63,都市：住
RPPNMLMJQHLFFCB57CA,惠民段,10.21,都市：其他
RPPOMLMJQHLFFCB67CA,大進段,6.63,都市：住
RPTOMLMJQHLFFCB08CA,下石碑段,33.14,都市：住
RPRNMLPJQHLFFCB08CA,民安段,10.96,都市：住
RPRNMLPJQHLFFCB08CA,民安段,.02,都市：住
RPXNMLOJQHLFFCB58CA,上石碑段,3.85,都市：住
RPWNMLOJQHLFFCB48CA,惠順段,22.97,都市：商
RPPNMLQJQHLFFCB97CA,楓樹段,8.67,都市：住
RPPNMLQJQHLFFCB97CA,楓樹段,.36,都市：住
RPPNMLQJQHLFFCB97CA,楓樹段,3.96,都市：住
RPPNMLQJQHLFFCB97CA,楓樹段,26.12,都市：住
RPPNMLQJQHLFFCB97CA,楓樹段,190.00,都市：住
RPUNMLLKQHLFFCB08CA,國安段,13.22,都市：住
RPQOMLRKQHLFFCB38CA,春安段,22.54,都市：住
RPRPMLTLQHLFFCB88CA,惠民段,20.90,都市：住
RPTNMLSJQHLFFAL76CA,圳堵段,1162.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLNJQHLFFAL98CA,文明段,4.07,都市：住
RPRNMLNKQHLFFAL78CA,向陽段,123.36,都市：商
RPTNMLMLQHLFFAL98CA,南嵩段,5149.31,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLMLQHLFFAL98CA,南嵩段,2621.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLNLQHLFFAL98CA,圳前段,240.94,都市：其他
RPSOMLNLQHLFFAL09CA,圳前段,.34,都市：其他
RPSOMLNLQHLFFAL09CA,圳前段,.20,都市：其他
RPQOMLNLQHLFFAL88CA,圳前段,213.37,都市：其他
RPSNMLMKQHLFFAL78CA,車路墘段溝子墘小段,55.00,都市：其他
RPSNMLMKQHLFFAL78CA,車路墘段溝子墘小段,15.00,都市：其他
RPWNMLMKQHLFFAL56CA,圳前段,79.71,都市：住
RPPNMLMJQHLFFAL38CA,福陽段,62.73,都市：住
RPPNMLMJQHLFFAL38CA,福陽段,5.68,都市：住
RPPOMLLJQHLFFAL38CA,月眉段,20.64,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLLJQHLFFAL38CA,月眉段,.56,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLLJQHLFFAL38CA,月眉段月眉小段,1.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLMJQHLFFAL09CA,南嵩段,129.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLMLQHLFFCL09CA,南勢坑段埔子小段,465.00,都市：商
RPQNMLLJQHLFFBL48CA,文安段,1648.60,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLJQHLFFBL48CA,文安段,1432.18,非都市：特定農業區 ; 非都市編定：農牧用地
