編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLPKQHLFFCC68CA,源遠段,17.94,都市：商
RPUNMLTKQHLFFCC98CA,源遠段,32.76,都市：住
RPVNMLTKQHLFFCC09CA,源遠段,29.12,都市：住
RPTNMLSJQHLFFCC68CA,過港段,39.57,都市：住
RPTNMLSJQHLFFCC68CA,過港段,.21,都市：其他
RPTNMLNLQHLFFCC38CA,武嶺段,18.95,都市：住
RPTNMLNLQHLFFCC38CA,武嶺段,1.07,都市：其他
RPTNMLNLQHLFFCC38CA,武嶺段,.03,都市：其他
RPTNMLNLQHLFFCC38CA,武嶺段,42.85,都市：住
RPTNMLNLQHLFFCC38CA,武嶺段,.80,都市：其他
RPTNMLLJQHLFFCC97CA,源遠段,19.95,都市：住
RPQNMLTJQHLFFBC38CA,調和段,22.40,都市：其他
RPQNMLTJQHLFFBC38CA,調和段,15.24,都市：其他
RPQNMLTJQHLFFBC38CA,調和段,1.27,都市：其他
RPOSMLNLQHLFFCC38CA,麥金段,10.67,都市：住
RPOSMLNLQHLFFCC38CA,麥金段,.01,都市：住
RPOSMLNLQHLFFCC38CA,麥金段,.00,都市：住
RPURMLNLQHLFFCC88CA,麥金段,12.18,都市：住
RPURMLNLQHLFFCC88CA,麥金段,.01,都市：住
RPURMLNLQHLFFCC88CA,麥金段,.00,都市：住
RPVRMLNLQHLFFCC98CA,麥金段,6.82,都市：住
RPVRMLNLQHLFFCC98CA,麥金段,.01,都市：住
RPVRMLNLQHLFFCC98CA,麥金段,.00,都市：住
RPTRMLNLQHLFFCC78CA,麥金段,19.45,都市：住
RPTRMLNLQHLFFCC78CA,麥金段,.02,都市：住
RPTRMLNLQHLFFCC78CA,麥金段,.01,都市：住
RPWRMLNLQHLFFCC09CA,麥金段,10.38,都市：住
RPWRMLNLQHLFFCC09CA,麥金段,.01,都市：住
