鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,9.7,商,,,1031107,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.66,2,1,1,有,無,8100000,74113,坡道機械,14.86,1000000,,RPRNMLQKQHLFFBE58CB
新興區,房地(土地+建物),新興段二小段511~540地號,8.23,商,,,1031026,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.06,2,1,1,有,無,6530000,70170,,0.0,0,,RPVNMLQKQHLFFBE98CB
新興區,房地(土地+建物),新興段二小段511~540地號,8.23,商,,,1040105,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.06,2,1,1,有,無,6620000,71137,,0.0,0,,RPWNMLQKQHLFFBE09CB
新興區,房地(土地+建物),新興段二小段511~540地號,8.23,商,,,1031019,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.06,2,1,1,有,無,6470000,69525,,0.0,0,,RPXNMLQKQHLFFBE56CB
新興區,房地(土地+建物),新興段二小段511~540地號,8.23,商,,,1031204,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.06,2,1,1,有,無,6700000,71997,,0.0,0,,RPOOMLQKQHLFFBE38CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,8.51,商,,,1030912,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.92,2,1,1,有,無,8000000,74146,坡道機械,14.86,1100000,,RPPOMLQKQHLFFBE48CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,8.51,商,,,1031012,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.92,2,1,1,有,無,8000000,74146,坡道機械,14.86,1100000,,RPQOMLQKQHLFFBE58CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,8.51,商,,,1031017,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.92,2,1,1,有,無,7880000,73931,坡道機械,14.86,1000000,,RPSOMLQKQHLFFBE78CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,8.51,商,,,1031101,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.92,2,1,1,有,無,7780000,72856,坡道機械,14.86,1000000,,RPTOMLQKQHLFFBE88CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,8.51,商,,,1040409,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.92,2,1,1,有,無,7610000,71029,坡道機械,14.86,1000000,,RPUOMLQKQHLFFBE98CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,8.51,商,,,1031118,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.92,2,1,1,有,無,8800000,83817,坡道機械,14.86,1000000,,RPVOMLQKQHLFFBE09CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,8.51,商,,,1040418,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.92,2,1,1,有,無,7750000,72534,坡道機械,14.86,1000000,,RPWOMLQKQHLFFBE56CB
新興區,房地(土地+建物),新興段二小段511~540地號,8.94,商,,,1040424,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.17,2,1,1,有,無,6400000,69437,,0.0,0,,RPXOMLQKQHLFFBE66CB
新興區,房地(土地+建物),新興段二小段511~540地號,8.94,商,,,1031010,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.17,2,1,1,有,無,6300000,68352,,0.0,0,,RPOPMLQKQHLFFBE48CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,9.22,商,,,1040113,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.03,2,1,1,有,無,7200000,69437,坡道機械,14.86,800000,,RPPPMLQKQHLFFBE58CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,9.22,商,,,1030628,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.03,2,1,1,有,無,7200000,69437,坡道機械,14.86,800000,,RPQPMLQKQHLFFBE68CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,9.22,商,,,1030620,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.03,2,1,1,有,無,7400000,70522,坡道機械,14.86,900000,,RPRPMLQKQHLFFBE78CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,9.22,商,,,1030704,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.03,2,1,1,有,無,7900000,73777,坡道機械,14.86,1100000,,RPSPMLQKQHLFFBE88CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,9.22,商,,,1030616,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.03,2,1,1,有,無,7500000,72692,坡道機械,14.86,800000,,RPTPMLQKQHLFFBE98CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,9.22,商,,,1030715,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.03,2,1,1,有,無,7900000,73777,坡道機械,14.86,1100000,,RPUPMLQKQHLFFBE09CB
新興區,房地(土地+建物)+車位,新興段二小段511~540地號,9.22,商,,,1040421,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.03,2,1,1,有,無,7950000,74319,坡道機械,14.86,1100000,,RPVPMLQKQHLFFBE56CB
新興區,房地(土地+建物),新興段二小段511~540地號,9.42,商,,,1030830,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.8,2,1,1,有,無,6850000,71503,,0.0,0,,RPWPMLQKQHLFFBE66CB
