編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLOJQHLFFAU17CA,18,134.76,住家用,鋼筋混凝土造,87年10月26日,二層,一層 二層 騎樓
RPWOMLSKQHLFFAU18CA,22,74.44,住家用,鋼筋混凝土造,83年10月26日,九層,四層
RPWOMLSKQHLFFAU18CA,22,9.60,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPWOMLSKQHLFFAU18CA,22,18.81,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPVNMLNJQHLFFAU37CA,38,65.38,住家用,鋼筋混凝土加強磚造,67年4月3日,一層,一層
RPUNMLNJQHLFFAU27CA,20,49.93,住家用,鋼筋混凝土造,85年10月29日,十六層,十層
RPUNMLNJQHLFFAU27CA,20,8.46,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPUNMLNJQHLFFAU27CA,20,13.21,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPROMLNJQHLFFAU07CA,23,21.88,住家用,鋼筋混凝土造,82年6月22日,七層,四層
RPROMLNJQHLFFAU07CA,23,8.90,共有部份,鋼筋混凝土造,82年6月22日,七層,
RPPOMLNJQHLFFAU86CA,18,155.59,住家用,鋼筋混凝土造,87年7月10日,三層,一層 二層 三層
RPROMLMJQHLFFAU96CA,22,20.09,住家用,鋼筋混凝土造,83年11月15日,十二層,六層
RPROMLMJQHLFFAU96CA,22,6.23,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPROMLMJQHLFFAU96CA,22,3.38,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPWNMLMJQHLFFAU37CA,2,222.31,住家用,鋼筋混凝土造,103年11月19日,四層,一層 二層 三層 四層
RPOOMLOJQHLFFAU96DA,1,212.19,住家用,鋼筋混凝土造,104年5月25日,三層,一層 二層 三層 屋頂突出物
RPSNMLPLQHLFFAU47CA,47,39.37,住家用,見其他登記事項,,一層,一層 騎樓
RPUPMLOLQHLFFAU77CA,31,142.16,住家用,鋼筋混凝土造,74年12月11日,二層,一層 二層 屋頂突出物
RPVNMLPJQHLFFAU67DA,18,89.17,住家用,鋼筋混凝土造,87年4月3日,十層,三層
RPVNMLPJQHLFFAU67DA,18,17.00,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPVNMLPJQHLFFAU67DA,18,9.58,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPQNMLPLQHLFFAU37DA,17,102.98,住家用,鋼筋混凝土造,88年5月20日,五層,二層 三層
RPQNMLPLQHLFFAU37DA,17,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPQNMLPLQHLFFAU37DA,17,22.58,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPQNMLPLQHLFFAU37DA,17,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPQNMLPLQHLFFAU37DA,17,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPQNMLPLQHLFFAU37DA,17,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPQNMLPLQHLFFAU37DA,17,104.45,住家用,鋼筋混凝土造,88年5月20日,五層,二層 三層
RPQNMLPLQHLFFAU37DA,17,13.50,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPQNMLPLQHLFFAU37DA,17,23.33,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPQNMLPLQHLFFAU37DA,17,115.40,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPQNMLPLQHLFFAU37DA,17,13.50,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPQNMLPLQHLFFAU37DA,17,25.75,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPQNMLPLQHLFFAU37DA,17,102.98,住家用,鋼筋混凝土造,88年5月20日,四層,一層 二層
RPQNMLPLQHLFFAU37DA,17,16.52,共有部份,鋼筋混凝土造,88年5月20日,四層,
RPQNMLPLQHLFFAU37DA,17,14.25,停車空間,鋼筋混凝土造,88年5月20日,四層,
RPQNMLPLQHLFFAU37DA,17,18.48,共有部份,鋼筋混凝土造,88年5月20日,四層,
RPRNMLNJQHLFFAU96CA,,132.03,見其他登記事項,鋼筋混凝土造,105年5月18日,六層,六層
RPRNMLNJQHLFFAU96CA,,51.54,共有部份,鋼筋混凝土造,105年5月18日,六層,
RPPPMLNJQHLFFAU96CA,,132.53,見其他登記事項,鋼筋混凝土造,105年5月18日,六層,四層
RPPPMLNJQHLFFAU96CA,,51.54,共有部份,鋼筋混凝土造,105年5月18日,六層,
RPXNMLPJQHLFFAU77CA,32,100.03,住家用,鋼筋混凝土造,73年9月19日,五層,四層
RPXNMLPJQHLFFAU77CA,32,10.20,共有部份,鋼筋混凝土造,73年9月19日,五層,
RPXNMLPJQHLFFAU77CA,32,10.85,共有部份,鋼筋混凝土造,73年9月19日,五層,
RPTNMLPJQHLFFAU37CA,2,174.38,住家用,鋼筋混凝土造,103年3月11日,三層,一層 二層 三層
RPPNMLMJQHLFFCU86CA,37,116.17,住商用,鋼筋混凝土造,68年7月11日,二層,一層 二層 騎樓
RPRNMLNJQHLFFCU17CA,19,146.67,住家用,鋼筋混凝土造,86年6月30日,三層,一層 二層 三層
RPQNMLOJQHLFFAU96CA,21,98.04,住家用,鋼筋混凝土造,84年3月13日,九層,二層
RPQNMLOJQHLFFAU96CA,21,43.31,共有部份,鋼筋混凝土造,84年3月13日,九層,
RPUNMLSJQHLFFAU77CA,37,126.28,住家用,鋼筋混凝土造,68年7月30日,二層,一層 二層
RPQNMLSJQHLFFAU37CA,17,95.45,住家用,鋼筋混凝土造,88年4月14日,五層,四層
RPQNMLSJQHLFFAU37CA,17,9.87,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPQNMLSJQHLFFAU37CA,17,6.40,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPTNMLQKQHLFFAU57CA,14,281.50,住商用,鋼筋混凝土造,91年9月3日,三層,一層 二層 三層 見其他登記事項
RPTNMLQKQHLFFAU57CA,14,281.51,住商用,鋼筋混凝土造,91年9月3日,三層,一層 二層 三層 見其他登記事項
RPQOMLPKQHLFFAU27CA,22,172.77,住家用,鋼筋混凝土造,83年9月29日,三層,一層 二層 三層
RPOOMLOJQHLFFAU07EA,32,68.85,住家用,鋼筋混凝土造,73年6月8日,二層,一層 二層
RPPNMLSJQHLFFAU47EA,23,104.77,住家用,鋼筋混凝土造,82年11月9日,八層,五層
RPPNMLSJQHLFFAU47EA,23,35.02,共有部份,鋼筋混凝土造,82年11月9日,八層,
RPPNMLTKQHLFFAU47CA,30,22.84,住家用,鋼筋混凝土造,75年7月12日,五層,五層
RPPNMLTKQHLFFAU47CA,30,5.30,共有部份,鋼筋混凝土造,75年7月12日,五層,
RPPOMLMLQHLFFAU17EA,29,44.75,住家用,鋼筋混凝土造,76年11月4日,七層,五層
RPPOMLMLQHLFFAU17EA,29,11.47,共有部份,鋼筋混凝土造,76年11月4日,七層,
RPUNMLPJQHLFFCU87EA,35,107.50,住商用,鋼筋混凝土加強磚造,70年12月28日,二層,一層 二層 騎樓
RPRNMLLJRHLFFCU17DA,32,124.80,住家用,鋼筋混凝土加強磚造,73年6月30日,二層,一層 二層
RPRNMLRKQHLFFCU67CA,23,198.60,住商用,鋼筋混凝土造,82年2月22日,三層,一層 二層 三層 屋頂突出物 騎樓
RPRNMLRKQHLFFCU67CA,23,198.60,住商用,鋼筋混凝土造,82年2月22日,三層,一層 二層 三層 屋頂突出物 騎樓
RPXPMLOLQHLFFAU08CA,13,92.35,住家用,鋼筋混凝土造,92年8月18日,三層,一層 二層 三層 屋頂突出物
RPQNMLMKQHLFFAU96DA,35,51.06,住家用,鋼筋混凝土加強磚造,70年8月27日,二層,一層 二層
RPVNMLPLQHLFFAU77CA,21,57.48,住家用,鋼筋混凝土造,84年6月28日,六層,六層 夾層
RPVNMLPLQHLFFAU77CA,21,13.92,共有部份,鋼筋混凝土造,84年6月28日,六層,
RPTOMLKKQHLFFAU07CA,23,355.05,見其他登記事項,見其他登記事項,82年2月16日,二層,一層 二層
RPTNMLRKQHLFFAU67CA,20,32.71,住家用,見其他登記事項,85年11月1日,五層,二層 夾層
RPTNMLRKQHLFFAU67CA,20,15.69,共有部份,鋼筋混凝土造,85年11月1日,五層,
RPPNMLPJQHLFFAU96CA,17,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,五層
RPPNMLPJQHLFFAU96CA,17,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPPNMLPJQHLFFAU96CA,17,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPWNMLPKQHLFFAU77CA,28,9.37,共有部份,鋼筋混凝土造,76年12月31日,五層,
RPWNMLPKQHLFFAU77CA,28,34.04,住家用,鋼筋混凝土造,76年12月31日,五層,四層
RPPNMLSJQHLFFBU37CA,,136.04,住家用,見其他登記事項,,二層,一層 二層
RPWNMLLKQHLFFAU37CA,10,173.86,住家用,鋼筋混凝土造,95年10月23日,四層,一層 二層 三層 四層
RPWNMLMKQHLFFAU47CA,11,254.37,見其他登記事項,鋼筋混凝土造,94年10月11日,三層,一層 二層 三層 屋頂突出物
RPROMLSJQHLFFAU57CA,20,83.70,住家用,鋼筋混凝土造,85年10月29日,十六層,十五層
RPROMLSJQHLFFAU57CA,20,14.81,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPROMLSJQHLFFAU57CA,20,23.03,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPPNMLRKLHMFFBU96CA,29,94.21,住家用,鋼筋混凝土加強磚造,76年12月24日,二層,一層 二層 騎樓
RPUNMLKMQHLFFAU27CA,22,121.22,住家用,鋼筋混凝土造,83年10月6日,七層,三層
RPUNMLKMQHLFFAU27CA,22,46.69,共有部份,鋼筋混凝土造,83年10月6日,七層,
RPVNMLKMQHLFFAU37CA,21,29.40,住家用,鋼筋混凝土造,84年8月19日,十一層,九層
RPVNMLKMQHLFFAU37CA,21,8.60,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPSOMLTJQHLFFAU77CA,43,50.81,住家用,見其他登記事項,62年5月29日,一層,一層 騎樓
