編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLOJQHLFFAU96CA,古魯社段,1322.01,都市：農
RPPOMLOJQHLFFAU96CA,古魯社段,1211.69,都市：農
RPROMLOJQHLFFAU17CA,克來寶段,100.00,都市：住
RPWOMLSKQHLFFAU18CA,裕民段,20.56,都市：住
RPQNMLNJQHLFFAU86CA,廣安段,50.01,非都市：鄉村區 ; 非都市編定：交通用地
RPQNMLNJQHLFFAU86CA,廣安段,92.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNJQHLFFAU37CA,太昌段,110.00,都市：住
RPUNMLNJQHLFFAU27CA,福祥段,10.10,都市：住
RPROMLNJQHLFFAU07CA,國光段,5.65,都市：商
RPPOMLNJQHLFFAU86CA,永安段,95.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLMJQHLFFAU96CA,富國段,2.84,都市：商
RPWNMLMJQHLFFAU37CA,國風段,100.00,都市：住
RPOOMLOJQHLFFAU96DA,慶豐段,19.33,都市：住
RPOOMLOJQHLFFAU96DA,慶豐段,119.00,都市：住
RPXNMLMJQHLFFAU67EA,上水源段,1290.57,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUOMLNJQHLFFAU57EA,德布克段,468.86,非都市：一般農業區 ; 非都市編定：農牧用地
RPUOMLMLQHLFFAU57DA,上崇德段,390.08,都市：農
RPUOMLMLQHLFFAU57DA,上崇德段,5.09,都市：農
RPUNMLNLQHLFFAU47CA,嘉新段,46.00,都市：農
RPWOMLOLQHLFFAU87CA,上崇德段,78.02,都市：其他
RPSNMLPLQHLFFAU47CA,嘉平段,47.00,都市：住
RPUPMLOLQHLFFAU77CA,自強段,138.00,都市：住
RPVNMLPJQHLFFAU67DA,德安段,19.59,都市：住
RPQNMLPLQHLFFAU37DA,路內段,244.89,都市：住
RPQNMLTKQHLFFBU67CA,大安段,109.00,都市：住
RPPNMLSJQHLFFCU67EA,東里段,1604.93,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSJQHLFFCU67EA,東里段,66.96,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLTJQHLFFCU77EA,農場段,110.70,非都市：特定農業區 ; 非都市編定：水利用地
RPPNMLTJQHLFFCU77EA,農場段,21.83,非都市：特定農業區 ; 非都市編定：水利用地
RPQNMLSJQHLFFCU77EA,太平段,430.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLSJQHLFFCU77EA,太平段,320.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLNLQHLFFAU27CA,路內段,20.62,都市：農
RPTOMLNJQHLFFAU27CA,光學段,1000.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLNJQHLFFAU96CA,仁義段,37.70,都市：商
RPPPMLNJQHLFFAU96CA,仁義段,37.70,都市：商
RPQNMLOJQHLFFCU17CA,瑞穗段,3281.00,非都市：特定農業區 ; 非都市編定：農牧用地
