編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQNMLPLQHLFFAU37DA,一樓平面,0,13.51
RPQNMLPLQHLFFAU37DA,坡道平面,0,14.25
RPQNMLPLQHLFFAU37DA,一樓平面,0,13.40
RPQNMLPLQHLFFAU37DA,一樓平面,0,13.40
RPQNMLPLQHLFFAU37DA,一樓平面,0,13.51
RPPNMLSJQHLFFAU47EA,坡道平面,0,35.02
RPVOMLKKQHLFFAU27CA,坡道機械,0,10.00
RPQOMLNLQHLFFAU17CA,一樓平面,0,13.40
RPXNMLNLQHLFFAU77CA,坡道平面,0,2.00
RPSNMLTLQHLFFAU87CA,一樓平面,0,24.63
RPPOMLLLRHLFFAU96CA,坡道平面,0,14.88
RPQOMLLLRHLFFAU07CA,坡道機械,0,19.83
RPQOMLLLRHLFFAU07CA,坡道機械,0,19.83
RPPNMLKMRHLFFAU86CA,一樓平面,0,13.40
RPRNMLLKIILFFAU78CA,一樓平面,0,13.39
RPWNMLNKIILFFAU07EA,坡道平面,0,.28
RPROMLTJJILFFAU07CA,一樓平面,0,13.40
RPTNMLNJJILFFAU56CA,一樓平面,0,14.17
RPWNMLQLIILFFAU47EA,坡道平面,0,49.27
RPPNMLOKJILFFAU98CA,一樓平面,0,14.25
