鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路541~570號,2496.0,住,,,1050710,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,見其他登記事項,0770920,1674.58,0,0,0,無,無,無,128000,76,,0.0,0,第3年起租金每月13萬8000元,RPSNMLPJQHLFFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國興二街121~150號,8.48,住,,,1050803,土地2建物1車位0,三層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830708,43.9,1,1,1,有,無,有,7000,159,,0.0,0,含管理費,RPOOMLPJQHLFFAU17CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中興路180巷10弄1~30號,158.0,住,,,1050715,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830413,231.82,6,2,3,有,無,有,16000,69,,0.0,0,,RPRNMLSJQHLFFAU77DC
花蓮市,房地(土地+建物),花蓮縣花蓮市中興路1~30號,9.59,商,,,1050804,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,95.94999999999999,2,1,1,有,有,有,13000,135,,0.0,0,含管理費費用,RPOOMLTJQHLFFAU57CC
新城鄉,房地(土地+建物),花蓮縣新城鄉鄉根2巷31~60號,90.05,,鄉村區,乙種建築用地,1050712,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0740522,96.8,3,2,2,有,無,有,8000,83,,0.0,0,,RPROMLKKQHLFFAU07CC
吉安鄉,土地,吉興段811~840地號,795.74,工,,,1050801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,65000,82,,0.0,0,未辦登記建物一棟,RPQNMLQKQHLFFAU47CC
花蓮市,房地(土地+建物),花蓮縣吉安鄉自由街1~30號,40.0,商,,,1050801,土地1建物1車位0,見其他登記事項,4,店面(店鋪),商業用,鋼筋混凝土造,,115.36,4,2,4,有,無,有,22000,191,,0.0,0,,RPVOMLQKQHLFFAU08CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街91~120號,11.69,住,,,1050805,土地1建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820618,101.73,4,1,2,有,有,有,10000,98,,0.0,0,,RPQNMLRKQHLFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路121~150號,113.0,住,,,1050808,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0670412,158.2,0,0,2,有,無,無,25500,161,,0.0,0,,RPVNMLNLQHLFFAU77CC
