編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLOJQHLFFAX17CA,講美段,142.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLMJQHLFFAX67CA,六合段,60.96,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOJQHLFFAX17CA,講美段,162.94,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJQHLFFAX17CA,城前新段,123.84,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOJQHLFFAX17CA,城前新段,11.92,非都市：一般農業區 ; 非都市編定：交通用地
RPWNMLNJQHLFFAX87DA,七美二段,436.42,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLNJQHLFFAX87DA,大嶼段,426.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLNJQHLFFAX87DA,大嶼段,176.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLQLQHLFFAX67CA,文東段,550.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLQLQHLFFAX67CA,文東段,120.14,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPJQHLFFAX57DA,光榮段,3.78,都市：住
RPPNMLSLQHLFFAX87DA,五福段,239.18,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLPJQHLFFAX67DA,馬公段,104.00,都市：商
RPQNMLKKQHLFFAX96CA,成功南段,6.44,非都市： ; 非都市編定：
RPQNMLMKQHLFFAX17CA,北澳段,1426.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLPJQHLFFAX37DA,埕西段,38.94,都市：住
RPPNMLPJQHLFFAX37DA,埕西段,29.94,都市：住
RPPNMLKKQHLFFAX86CA,文東段,15.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMKQHLFFAX47CA,四維段,548.27,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLTLQHLFFAX38DA,中衛段,2051.10,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLSJQHLFFAX28CA,沙港東段,276.95,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLSJQHLFFAX28CA,沙港東段,54.82,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLMKQHLFFAX07CA,國宅段,1096.22,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLQLQHLFFAX87DA,竹篙灣段,865.50,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLQLQHLFFAX87DA,竹篙灣段,4335.50,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLQLQHLFFAX87DA,竹篙灣段,2916.50,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLMKQHLFFAX67DA,中屯新,987.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLKKQHLFFAX67CA,隘門新段,690.13,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSJQHLFFAX67CA,機場段,111.81,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLTLQHLFFAX18CA,大嶼段,160.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLLKQHLFFAX17CA,文寮段,830.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKQHLFFAX17CA,小池角段,18.28,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKQHLFFAX17CA,小池角段,41.50,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKQHLFFAX17CA,小池角段,17.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKQHLFFAX17CA,小池角段,10.28,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKQHLFFAX17CA,小池角段,24.78,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKQHLFFAX17CA,小池角段,11.56,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNKQHLFFAX17CA,小池角段,1.67,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLNKQHLFFAX17CA,緝馬灣段,27.22,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLNKQHLFFAX17CA,緝馬灣段,4.06,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLMKQHLFFAX37DA,文石段,450.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMKQHLFFAX37DA,文石段,359.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLMQHLFFAX27DA,成功南段,327.78,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMJRHLFFAX07CA,山水南段,342.73,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLMKQHLFFAX87EA,烏崁新段,12.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPLQHLFFAX57DA,文光段,28.04,都市：住
RPWNMLMKQHLFFAX87DA,白坑段,699.17,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMLQHLFFAX37DA,水垵段,70.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNLQHLFFAX57CA,鎖港南段,71.34,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLNLQHLFFAX57CA,鎖港南段,60.76,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLNLQHLFFAX57CA,鎖港南段,8.59,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLQJRHLFFAX67DA,埕東段,13.88,都市：其他
RPRNMLMLQHLFFAX47DA,水垵段,70.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMLQHLFFAX27DA,水垵段,70.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRKQHLFFAX67DA,赤崁西段,800.92,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLMKQHLFFAX07CA,吉貝西段,87.79,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLMKQHLFFAX07CA,吉貝西段,59.46,非都市：一般農業區 ; 非都市編定：交通用地
RPTNMLPLQHLFFAX87CA,馬公段,59.00,都市：商
RPPNMLPJRHLFFAX37CA,大池角段,279.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXNMLMKQHLFFAX08EA,興仁段,103.31,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLQKQHLFFAX47CA,青螺新段,307.96,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPKQHLFFAX47DA,北寮新段,16.36,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLQKRHLFFAX08EA,埕東段,27.76,都市：其他
RPRNMLQKRHLFFAX97EA,埕東段,13.88,都市：其他
RPTNMLQKRHLFFAX18EA,埕東段,13.88,都市：其他
RPUNMLQKRHLFFAX28EA,埕東段,13.88,都市：其他
RPQNMLTKQHLFFAX87CA,光榮段,10.39,都市：住
RPQNMLTKQHLFFAX87CA,光榮段,37.24,都市：住
RPQNMLTKQHLFFAX87CA,光榮段,13.80,都市：住
RPQNMLRKQHLFFAX77DA,沙港南段,522.21,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLRKQHLFFAX77DA,沙港南段,60.29,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLRKQHLFFAX77DA,沙港南段,35.24,非都市：一般農業區 ; 非都市編定：交通用地
RPVNMLTJRHLFFAX38CA,五福段,158.32,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVNMLTJRHLFFAX38CA,五福段,67.84,非都市：一般農業區 ; 非都市編定：交通用地
RPVOMLTJRHLFFAX48CA,四維段,1811.06,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLSKQHLFFAX97CA,北澳段,90.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLQKRHLFFAX77EA,埕東段,13.88,都市：其他
RPTNMLSKQHLFFAX08CA,埕東段,100.61,都市：住
RPVNMLNLQHLFFAX87CA,案山段,904.93,都市：住
RPVNMLNLQHLFFAX87CA,案山段,274.95,都市：其他
RPVNMLNLQHLFFAX87CA,案山段,.45,都市：住
RPPNMLSKQHLFFAX77DA,光榮段,170.74,都市：商
RPQNMLSKQHLFFAX87DA,烏崁新段,142.93,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLTJRHLFFAX38CA,雙湖段,974.07,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLQJRHLFFAX67CA,文東段,154.20,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQOMLQJRHLFFAX67CA,文東段,21.79,非都市：一般農業區 ; 非都市編定：交通用地
RPSNMLTKQHLFFAX18DA,隘門新段,335.77,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLQKQHLFFAX97DA,井垵西段,570.68,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLQKQHLFFAX97DA,井垵西段,747.34,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSLQHLFFAX97DA,中屯新,1673.67,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSLQHLFFAX97DA,中屯新,306.63,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSLQHLFFAX97DA,中屯新,189.53,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLSLQHLFFAX97CA,東衛段,305.79,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTKQHLFFAX97EA,山水東段,310.33,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLNLQHLFFAX47CA,東澳段,487.00,都市：住
RPSNMLSLQHLFFAX08CA,城北段,1067.01,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMKRHLFFAX37DA,赤崁中段,161.65,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMKRHLFFAX37DA,赤崁中段,87.39,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLPLQHLFFAX67CA,鎖港南段,188.09,都市：住
RPRNMLPLQHLFFAX67CA,鎖港南段,126.67,都市：住
RPPNMLQLQHLFFAX57CA,北澳段,14.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLQKRHLFFAX48EA,埕東段,13.88,都市：其他
RPVNMLQKRHLFFAX38EA,埕東段,27.76,都市：其他
RPSNMLPLQHLFFAX77CA,東澳段,27.40,都市：住
RPSNMLPLQHLFFAX77CA,東澳段,125.74,都市：住
RPUNMLTLQHLFFAX38CA,南寮北段,146.60,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTLQHLFFAX87CA,六合段,1440.26,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKMQHLFFAX17CA,西澳段,403.90,都市：住
RPRNMLLMQHLFFAX47DA,二崁南段,970.20,都市：其他
RPQNMLLMQHLFFAX37DA,鎖港西段,55.61,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKMQHLFFAX07CA,文寮段,7.05,都市：住
RPPNMLKMQHLFFAX07CA,文寮段,584.90,都市：住
RPPNMLKMQHLFFAX07CA,文寮段,278.64,都市：住
RPPNMLSJRHLFFAX67CA,內垵三段,335.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLTJRHLFFAX68DA,東石新段,10.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPWOMLTJRHLFFAX68DA,東石新段,46.80,非都市：一般農業區 ; 非都市編定：交通用地
RPTOMLTJRHLFFAX38DA,東石新段,119.39,非都市：一般農業區 ; 非都市編定：交通用地
RPTOMLTJRHLFFAX38DA,東石新段,62.84,非都市：一般農業區 ; 非都市編定：交通用地
RPTOMLTJRHLFFAX38DA,東石新段,21.52,非都市：一般農業區 ; 非都市編定：交通用地
RPTOMLTJRHLFFAX38DA,東石新段,2.85,非都市：一般農業區 ; 非都市編定：交通用地
RPSOMLTJRHLFFAX28DA,東石新段,16.36,非都市：一般農業區 ; 非都市編定：農牧用地
RPSOMLTJRHLFFAX28DA,東石新段,34.59,非都市：一般農業區 ; 非都市編定：交通用地
RPSOMLTJRHLFFAX28DA,東石新段,33.06,非都市：一般農業區 ; 非都市編定：交通用地
RPSOMLTJRHLFFAX28DA,鼎灣新段,21.03,非都市：一般農業區 ; 非都市編定：交通用地
RPSOMLTJRHLFFAX28DA,鼎灣新段,89.57,非都市：一般農業區 ; 非都市編定：農牧用地
