編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLLLJILFFAD27CA,北元段,135.49,都市：住
RPRNMLNJJILFFAD27CA,北華段,72.00,都市：商
RPQNMLNJJILFFAD17CA,協進段,53.00,都市：住
RPVNMLRJJILFFAD08CA,郡王段,3.57,都市：商
RPVNMLRJJILFFAD08CA,郡王段,.39,都市：商
RPVNMLRJJILFFAD08CA,郡王段,.78,都市：商
RPUNMLNJJILFFAD57CA,金華段,6.65,都市：商
RPQNMLRJJILFFAD57CA,觀音段,3.14,都市：商
RPOOMLLJJILFFAD86CA,開元段,10.50,都市：商
RPWNMLNJJILFFCD97CA,虎尾寮段,24.14,都市：住
RPWNMLNJJILFFCD97CA,虎尾寮段,.62,都市：其他
RPPOMLMJJILFFCD27CA,虎尾寮段,181.00,都市：住
RPPNMLOJJILFFCD37CA,鹽埕段,.04,都市：住
RPPNMLOJJILFFCD37CA,鹽埕段,34.00,都市：住
RPQPMLSJJILFFCD08CA,新東段,12.69,都市：住
RPTNMLSJJILFFCD18CA,光明段,23.80,都市：住
RPQNMLPKJILFFBD57CA,溪頂段,98.91,都市：住
RPPNMLQKJILFFAD47CA,北元段,20.99,都市：住
RPQOMLNLJILFFAD47CA,玉宇段,67.00,都市：住
RPRNMLTJJILFFBD97CA,新順段,93.21,都市：住
RPQNMLTJJILFFBD87CA,本淵段,149.10,都市：住
RPUNMLRLKILFFAD28CA,延平段,32.06,都市：住
RPXNMLRKJILFFCD58CA,德高段,98.49,都市：住
RPRNMLMJJILFFAR58CA,茄苳段,109.00,都市：住
RPWNMLNJJILFFAR56CA,鹽水段,89.00,都市：住
RPVNMLSLJILFFAD38CA,文元段,85.37,都市：住
RPVNMLSLJILFFAD38CA,文元段,4.70,都市：其他
RPVNMLSLJILFFAD38CA,文元段,2.08,都市：其他
RPTNMLLJJILFFBR78CA,東山段,2079.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLLJJILFFBR78CA,東山段,11.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNJJILFFBR68CA,大排竹段,560.00,都市：農
RPQNMLLLJILFFCD37CA,仁和段,19.52,都市：住
RPQNMLLLJILFFCD37CA,仁和段,.60,都市：其他
RPRPMLPLJILFFCD08CA,大林段,18.16,都市：其他
RPRPMLPLJILFFCD08CA,大林段,2.28,都市：住
RPQOMLPLJILFFCD87CA,喜東段,76.00,都市：農
RPPNMLMJJILFFCR58CA,角秀段,1370.25,都市：其他
RPSNMLMJJILFFCR88CA,興國段,1489.48,都市：農
RPXNMLLJJILFFCR66CA,東角段,294.69,都市：住
RPSNMLMJJILFFDR98CA,巷口段一小段,355.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLRJJILFFBR86CA,田尾段,2200.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLMJJILFFDR76CA,九龍段,43.88,都市：住
RPSNMLLLJILFFBR88CA,侯伯段,80.28,都市：住
RPPNMLSLJILFFCD97CA,虎尾寮段,13.79,都市：住
RPVNMLOKJILFFDR96CA,溪洲子寮段,22.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,33.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,104.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,285.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,39.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,48.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,1481.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,426.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,121.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,1032.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,414.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,5.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,844.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,10.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,69.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,361.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,454.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,10.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,369.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLOKJILFFDR96CA,溪洲子寮段,267.00,非都市：一般農業區 ; 非都市編定：水利用地
RPRNMLMLJILFFCD57CA,竹篙厝段,109.00,都市：住
RPPOMLMJJILFFER88CA,唪口段,4.00,非都市：鄉村區 ; 非都市編定：交通用地
RPPOMLMJJILFFER88CA,唪口段,95.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLNJJILFFER56CA,新北段,92.60,都市：住
RPUNMLNJJILFFDR66CA,中東段,33.92,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLNJJILFFDR66CA,中東段,87.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNLJILFFDR07CA,興善段,2.98,都市：住
RPWNMLNLJILFFDR07CA,興善段,.52,都市：住
RPWNMLNLJILFFDR07CA,興善段,1.28,都市：住
RPWNMLNLJILFFDR07CA,興善段,.73,都市：住
RPPNMLNJJILFFDR78CA,竹橋段,369.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJJILFFER09CA,善新段,8.47,都市：住
RPPNMLPJJILFFER09CA,善新段,93.25,都市：住
RPPNMLPJJILFFER09CA,善新段,5.34,都市：住
RPPNMLPJJILFFER09CA,善新段,2.06,都市：住
RPPNMLPJJILFFER09CA,善新段,.67,都市：住
RPVNMLSKJILFFER47CA,六塊寮段,2.12,非都市：鄉村區 ; 非都市編定：交通用地
RPVNMLSKJILFFER47CA,六塊寮段,78.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLMJJILFFFR17CA,新埔段,27.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWPMLMJJILFFFR17CA,新埔段,189.50,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLMJJILFFFR86CA,新埔段,90.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLMJJILFFCR09CA,番子田段,66.50,都市：住
RPUNMLMJJILFFCR09CA,番子田段,66.50,都市：住
RPWQMLMJJILFFFR27CA,新埔段,279.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUQMLMJJILFFFR07CA,新埔段,38.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRQMLMJJILFFFR76CA,新埔段,100.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSQMLMJJILFFFR86CA,新埔段,453.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSQMLMJJILFFFR86CA,新埔段,45.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPRMLMJJILFFFR66CA,新埔段,155.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPVQMLMJJILFFFR17CA,新埔段,43.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPVQMLMJJILFFFR17CA,新埔段,375.00,非都市：一般農業區 ; 非都市編定：農牧用地
