編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOOMLLJJILFFAD86CA,坡道機械,0,
RPUNMLRLKILFFAD28CA,坡道平面,0,
RPTNMLRJJILFFFR17CA,坡道平面,0,
RPSOMLSKJILFFFR37CA,其他,0,
RPSOMLSKJILFFFR37CA,其他,0,
RPTOMLSKJILFFFR47CA,其他,0,
RPTOMLSKJILFFFR47CA,其他,0,
RPTOMLSKJILFFFR47CA,其他,0,
RPUNMLMJJILFFHR96CA,坡道機械,0,
RPTOMLNJJILFFAD67DA,坡道平面,0,
RPVNMLRJJILFFDR27DA,一樓平面,0,
RPSNMLNJJILFFAD47DA,一樓平面,0,
RPUPMLSJJILFFER47CA,坡道平面,0,36.72
RPQPMLSJJILFFER07CA,坡道平面,0,36.72
RPPPMLSJJILFFER96CA,坡道平面,0,36.72
RPXPMLSJJILFFER77CA,坡道平面,0,36.72
RPWPMLSJJILFFER67CA,坡道平面,0,36.72
RPOQMLSJJILFFER96CA,坡道平面,0,36.72
RPSOMLNJJILFFAD47CA,坡道機械,0,
RPRNMLNKJILFFCD57CA,坡道平面,0,
RPROMLSJJILFFAD87CA,坡道機械,0,
RPQNMLPJJILFFAD37CA,坡道平面,0,
RPOOMLSLJILFFAD77CA,坡道平面,0,
RPOOMLSLJILFFAD77CA,坡道平面,0,
RPTNMLOJJILFFCD77CA,坡道平面,0,
RPVNMLKMJILFFBD77CA,一樓平面,0,
RPPNMLTKJILFFCD97CA,坡道機械,0,
RPTNMLNJJILFFHR96CA,升降機械,0,
RPQOMLOJJILFFHR86CA,一樓平面,0,
RPSOMLOJJILFFHR17DA,坡道平面,550000,
RPXNMLRJJILFFAD38DA,一樓平面,0,
RPRPMLSJJILFFHR47CA,坡道機械,0,
RPRPMLSJJILFFHR47CA,坡道機械,0,
RPWOMLMLJILFFHR47CA,坡道機械,0,
RPRNMLQJJILFFHR07CA,坡道機械,0,
RPSNMLRJJILFFHR27CA,坡道機械,0,
RPPNMLQJJILFFHR86CA,坡道機械,0,
RPVNMLRJJILFFHR57CA,坡道機械,0,
RPVNMLRJJILFFHR57CA,坡道機械,0,
RPQNMLQKJILFFCD77CA,坡道平面,0,
RPWNMLTJJILFFCD58CA,坡道機械,0,
RPSNMLLKJILFFAD27CA,一樓平面,0,16.59
RPQNMLKLJILFFAD07CA,坡道平面,0,
RPQNMLKLJILFFAD07CA,坡道平面,0,
RPQNMLKLJILFFAD07CA,坡道平面,0,
RPQOMLRJJILFFAD67CA,坡道平面,1050000,
RPQOMLRJJILFFAD67CA,坡道平面,1050000,
RPUOMLQKJILFFCD28CA,坡道平面,0,35.85
RPWNMLNLJILFFCD18CA,坡道平面,0,
RPUNMLSJJILFFAR86CA,坡道平面,0,
RPPNMLMJKILFFCD27CA,坡道平面,0,
RPQNMLRJJILFFFR86CA,坡道平面,0,
RPSPMLKKJILFFFR66CA,坡道平面,0,
RPROMLNLJILFFFR86CA,坡道平面,0,
RPUOMLRJJILFFHR57CA,坡道機械,0,
RPWOMLRJJILFFHR77CA,坡道機械,0,
RPXNMLRJJILFFHR77CA,坡道機械,0,
