編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLNJJILFFAF37CA,,89.24,住家用,加強磚造,,二層,一層 二層
RPPPMLMJJILFFAF37CA,18,9.02,共有部份,鋼筋混凝土造,87年11月6日,九層,
RPPPMLMJJILFFAF37CA,18,55.01,住家用,鋼筋混凝土造,87年11月6日,九層,五層
RPPPMLMJJILFFAF37CA,18,9.29,見其他登記事項,鋼筋混凝土造,87年11月6日,九層,
RPWQMLNJJILFFAF28CA,17,21.71,住家用,鋼筋混凝土造,88年10月15日,八層,六層
RPWQMLNJJILFFAF28CA,17,4.16,共有部份,鋼筋混凝土造,88年10月15日,八層,
RPWQMLNJJILFFAF28CA,17,6.32,共有部份,鋼筋混凝土造,88年10月15日,八層,
RPRPMLNJJILFFAF67CA,10,53.90,住家用,鋼骨鋼筋混凝土造,95年9月14日,三十七層,十八層
RPRPMLNJJILFFAF67CA,10,11.18,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPRPMLNJJILFFAF67CA,10,2.01,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPRPMLNJJILFFAF67CA,10,3.26,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPRPMLNJJILFFAF67CA,10,2.77,見其他登記事項,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPRPMLNJJILFFAF67CA,10,2.37,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPRPMLNJJILFFAF67CA,10,.02,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPTPMLLJJILFFAF67CA,1,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十一層
RPPQMLLJJILFFAF37CA,18,101.30,住家用,鋼筋混凝土造,87年6月26日,十二層,十層
RPTPMLLJJILFFAF67CA,1,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPQMLLJJILFFAF37CA,18,12.05,共有部份,鋼筋混凝土造,87年6月26日,十二層,
RPTPMLLJJILFFAF67CA,1,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTPMLLJJILFFAF67CA,1,35.27,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPROMLOJJILFFAF67CA,7,70.82,住家用,鋼筋混凝土造,98年8月27日,十三層,十層
RPROMLOJJILFFAF67CA,7,27.46,共有部分,鋼筋混凝土造,98年8月27日,十五層,
RPROMLOJJILFFAF67CA,7,19.38,共有部分,鋼筋混凝土造,98年8月27日,十五層,
RPWUMLLJJILFFBF58CA,9,67.68,住家用,鋼筋混凝土造,96年10月17日,十九層,十層
RPWUMLLJJILFFBF58CA,9,3.72,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWUMLLJJILFFBF58CA,9,6.37,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWUMLLJJILFFBF58CA,9,20.72,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWUMLLJJILFFBF58CA,9,41.78,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWUMLLJJILFFBF58CA,9,1.97,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPUSMLMJJILFFBF28CA,1,87.55,見其他登記事項,鋼筋混凝土造,104年4月20日,十八層,十六層
RPUSMLMJJILFFBF28CA,1,36.99,見其他登記事項,鋼筋混凝土造,104年4月20日,十八層,
RPOPMLMJJILFFBF37CA,4,172.96,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,十二層
RPOPMLMJJILFFBF37CA,4,15.31,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPOPMLMJJILFFBF37CA,4,11.40,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPOPMLMJJILFFBF37CA,4,38.35,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPOPMLMJJILFFBF37CA,4,65.04,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPTPMLRJJILFFAF28CA,,106.79,住家用,鋼筋混凝土造,,五層,五層
RPTPMLRJJILFFAF28CA,,7.91,共有部份,鋼筋混凝土造,,五層,
RPWOMLOJJILFFBF28CA,39,77.02,住家用,鋼筋混凝土造,66年7月16日,四層,三層 陽台
RPUOMLOJJILFFBF08CA,17,86.13,住家用,鋼筋混凝土造,88年11月3日,十三層,三層
RPUOMLOJJILFFBF08CA,17,13.13,共有部分,鋼筋混凝土造,88年11月3日,十三層,
RPUOMLOJJILFFBF08CA,17,7.77,共有部分,鋼筋混凝土造,88年11月3日,十三層,
RPSPMLRJJILFFBF28CA,21,62.60,見其他登記事項,鋼筋混凝土造,85年3月11日,二十一層,地下三層
