編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLLJJILFFBG77CA,19,58.57,住家用,鋼筋混凝土造,86年12月20日,七層,二層
RPTOMLLJJILFFBG77CA,21,8.89,共有部份,鋼筋混凝土造,85年2月20日,七層,
RPTOMLLJJILFFBG77CA,20,9.10,共有部份,鋼筋混凝土造,85年12月20日,七層,
RPTOMLLJJILFFBG77CA,20,.83,共有部份,鋼筋混凝土造,85年12月20日,七層,
RPQNMLMJJILFFBG47CA,10,192.39,住家用,鋼筋混凝土造,95年5月2日,三層,一層 二層 三層
RPWNMLOJJILFFAG18CA,33,87.97,住家用,鋼筋混凝土造,72年10月12日,四層,四層
RPQNMLNJJILFFBG57CA,2,31.65,見其他登記事項,鋼筋混凝土造,103年11月20日,二十四層,十七層
RPQNMLNJJILFFBG57CA,2,23.58,見其他登記事項,鋼筋混凝土造,103年11月20日,二十四層,
RPTNMLKKJILFFBG67CA,10,28.35,見其他登記事項,鋼筋混凝土造,95年5月1日,八層,四層
RPTNMLKKJILFFBG67CA,10,23.20,共有部份,鋼筋混凝土造,95年5月1日,八層,
RPSNMLMJJILFFBG77DA,39,83.26,住家用,鋼筋混凝土加強磚造,66年7月23日,二層,一層 二層
RPPOMLOJJILFFBG67CA,2,57.32,見其他登記事項,鋼筋混凝土造,104年2月13日,十二層,十二層
RPPOMLOJJILFFBG67CA,2,46.34,見其他登記事項,鋼筋混凝土造,104年2月13日,十二層,
RPXNMLSJJILFFBG78CA,19,51.28,住家用,鋼筋混凝土造,86年8月11日,六層,五層
RPXNMLSJJILFFBG78CA,19,10.52,共有部份,鋼筋混凝土造,86年8月11日,六層,
RPXNMLSJJILFFBG78CA,19,21.29,共有部份,鋼筋混凝土造,86年8月11日,六層,
RPXOMLRJJILFFBG98EA,21,79.64,住家用,鋼筋混凝土造,84年12月28日,五層,五層
RPXOMLRJJILFFBG98EA,21,12.35,共有部份,鋼筋混凝土造,84年12月28日,五層,
RPXNMLRKJILFFBG78CA,18,95.12,住家用,鋼筋混凝土造,88年3月16日,五層,四層
RPXNMLRKJILFFBG78CA,18,25.76,共有部份,鋼筋混凝土造,88年3月16日,五層,
RPOOMLRKJILFFBG97CA,12,241.22,見其他登記事項,鋼筋混凝土造,93年11月18日,四層,一層 二層 三層 四層 地下一層
RPOOMLRKJILFFBG97CA,12,19.27,共有部份,鋼筋混凝土造,93年11月18日,四層,
RPXOMLNJJILFFAG48EA,23,113.44,住家用,鋼筋混凝土造,82年10月6日,六層,六層
RPXOMLNJJILFFAG48EA,23,21.87,見其他登記事項,鋼筋混凝土造,82年10月6日,六層,
RPWNMLOJJILFFBG28CA,35,117.16,住家用,鋼筋混凝土加強磚造,70年4月22日,二層,一層 二層 騎樓
RPOOMLQKJILFFAG97EA,,182.45,住家用,見其他登記事項,105年9月23日,三層,二層 三層 一層
RPUNMLRKJILFFAG58EA,,182.48,住家用,見其他登記事項,105年9月23日,三層,一層 二層 三層
RPUNMLMLJILFFBG08CA,,325.88,住家用,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPTNMLRJJILFFAG18CA,35,71.49,住家用,鋼筋混凝土造,70年8月11日,七層,六層
RPRNMLNJJILFFAG57CA,1,264.61,農舍,見其他登記事項,105年2月3日,二層,一層 二層
RPTNMLNJJILFFAG77CA,40,83.26,住家用,鋼筋混凝土加強磚造,65年7月30日,二層,一層 二層
RPXNMLOJJILFFAG28CA,24,105.58,住家用,鋼筋混凝土造,82年4月7日,六層,五層
RPXNMLOJJILFFAG28CA,24,3.40,共有部份,鋼筋混凝土造,82年4月7日,六層,
RPXNMLOJJILFFAG28CA,24,35.97,見其他登記事項,鋼筋混凝土造,82年4月7日,六層,
RPXNMLNJJILFFAG18CA,,234.06,農舍,鋼筋混凝土造,105年4月13日,三層,一層 二層 三層
RPOOMLNJJILFFAG37CA,,177.37,農舍,鋼筋混凝土造,105年4月20日,三層,一層 二層 三層
RPROMLOLJILFFAG97CA,1,341.72,見其他登記事項,鋼骨鋼筋混凝土造,105年4月7日,三層,一層 二層 三層 見其他登記事項
RPQOMLPLJILFFAG18EA,19,90.84,住家用,鋼筋混凝土造,87年3月18日,五層,四層
RPQOMLPLJILFFAG18EA,19,16.77,見其他登記事項,鋼筋混凝土造,87年3月18日,五層,
RPTNMLRKJILFFAG48EA,,182.71,住家用,見其他登記事項,105年9月23日,三層,一層 二層 三層
RPSNMLRKJILFFAG38EA,,186.10,住家用,見其他登記事項,105年9月23日,三層,一層 二層 三層
RPSNMLOJJILFFAG77CA,23,99.95,住家用,鋼筋混凝土造,83年4月19日,六層,三層
RPSNMLOJJILFFAG77CA,23,10.26,見其他登記事項,鋼筋混凝土造,83年4月19日,六層,
RPQNMLOJJILFFAG57CA,20,38.71,住家用,鋼筋混凝土造,85年8月30日,十二層,十一層
RPQNMLOJJILFFAG57CA,20,17.53,見其他登記事項,鋼筋混凝土造,85年8月30日,十二層,
RPUNMLOJJILFFAG97CA,35,99.72,住家用,加強磚造,71年3月18日,二層,一層 二層
RPUNMLRJJILFFAG28CA,1,158.69,住家用,鋼筋混凝土造,104年4月16日,三層,一層 二層 三層
RPTPMLRKJILFFAG48CA,35,82.27,住家用,鋼筋混凝土造,70年12月15日,五層,五層
RPPPMLTJJILFFAG18CA,19,26.84,見其他登記事項,鋼筋混凝土造,86年10月7日,三層,
RPPPMLTJJILFFAG18CA,19,149.72,住家用,鋼筋混凝土造,86年10月7日,三層,三層 一層 二層
