編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLLKJILFFAI87EC,榮段三小段,133.00,都市：商
RPSNMLLJJILFFAI97DC,竹圍子段,76.00,都市：住
RPPOMLLKJILFFAI77CC,台斗坑段,26.31,都市：住
RPUNMLRKJILFFAI88DC,太平段,9.65,都市：住
RPWNMLRKJILFFAI09DC,太平段,9.65,都市：住
RPVNMLMKJILFFAI48DC,榮段六小段,53.00,都市：商
RPXNMLRKJILFFAI56DC,太平段,9.65,都市：住
RPUNMLSJJILFFAI88DC,檜段三小段,.00,非都市： ; 非都市編定：
RPOOMLRKJILFFAI38DC,太平段,9.65,都市：住
RPRNMLLLJILFFAI97CC,玉川段,3.40,都市：住
RPRNMLLLJILFFAI97CC,玉川段,6.20,都市：住
RPVNMLLLJILFFAI38CC,玉川段,6.20,都市：住
RPRNMLLLJILFFAI97CC,玉川段,10.40,都市：住
RPTNMLSJJILFFAI78DC,檜段三小段,.00,非都市： ; 非都市編定：
RPVNMLLLJILFFAI38CC,玉川段,10.40,都市：住
RPWNMLLLJILFFAI58DC,遠東段,13.06,都市：住
RPOOMLMLJILFFAI97DC,檜段三小段,.00,非都市： ; 非都市編定：
RPRNMLQLJILFFAI58DC,檜段三小段,.00,非都市： ; 非都市編定：
RPPOMLMLJILFFAI08DC,檜段三小段,.00,非都市： ; 非都市編定：
RPQOMLMLJILFFAI08CC,白川段,.00,非都市： ; 非都市編定：
RPSNMLQLJILFFAI68DC,檜段三小段,.00,非都市： ; 非都市編定：
RPTNMLQLJILFFAI78DC,檜段三小段,.00,非都市： ; 非都市編定：
RPSNMLKMJILFFAI18DC,檜段三小段,.00,非都市： ; 非都市編定：
RPRNMLSJKILFFAI58CC,台斗坑段,88.00,都市：商
RPUNMLKMJILFFAI38DC,太平段,14.48,都市：住
RPTNMLKMJILFFAI28DC,檜段三小段,.00,非都市： ; 非都市編定：
RPVNMLPJKILFFAI68CC,下路頭段,70.00,都市：住
RPUNMLPJKILFFAI58CC,港子坪段,93.00,都市：住
RPPOMLTJKILFFAI58CC,軍輝段,.00,都市：住
RPOOMLOKKILFFAI18DC,埤子頭段,25.19,都市：住
RPOOMLTJKILFFAI48CC,車店段,.00,都市：住
RPOOMLTJKILFFAI48CC,白川段,.00,都市：住
RPRNMLTKKILFFAI78CC,末廣段四小段,233.00,都市：住
RPTNMLKLKILFFAI28DC,太平段,18.50,都市：住
RPQOMLSLKILFFAI88DC,竹圍子段三小段,49.63,都市：住
RPPOMLKMKILFFAI97CC,下路頭段,62.00,都市：住
RPSNMLMLKILFFAI28CC,中山段一小段,87.00,都市：住
RPPNMLLMKILFFAI97CC,彌陀段,93.00,都市：其他
RPUNMLLMKILFFAI48CC,山下段,135.00,都市：其他
RPUNMLLMKILFFAI48CC,檜段一小段,19.00,都市：其他
RPQOMLOKKILFFAI38DC,太平段,9.65,都市：住
RPTNMLNLKILFFAI58DC,埤子頭段,13.00,都市：住
RPTNMLNLKILFFAI58DC,埤子頭段,47.00,都市：住
RPWNMLRKJHMFFAI09DC,太平段,9.65,都市：住
RPTOMLNLJHMFFAI58DC,太平段,14.48,都市：住
RPOOMLTKJHMFFAI48CC,同興段,20.51,都市：住
RPXNMLRKJHMFFAI56DC,太平段,14.47,都市：住
RPUNMLSKJHMFFAI88CC,中山段一小段,63.63,都市：住
RPSNMLLKJHMFFAI08DC,檜段三小段,.00,非都市： ; 非都市編定：
RPSOMLRKJHMFFAI68CC,太平段,18.50,都市：住
RPROMLRKJHMFFAI58CC,太平段,13.68,都市：住
RPTNMLLKJHMFFAI18DC,檜段三小段,.00,非都市： ; 非都市編定：
RPQOMLRKJHMFFAI48CC,太平段,18.50,都市：住
