編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPURMLRJJILFFBJ09CA,站前段,94.66,都市：商
RPURMLRJJILFFBJ09CA,站前段,4.49,都市：商
RPUOMLNJJILFFBJ38CA,拱子溝段,10558.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLMJJILFFBJ28CA,文化段,23.83,都市：住
RPVNMLMJJILFFBJ28CA,文化段,53.19,都市：住
RPXOMLNJJILFFBJ68CA,上橫坑段,2297.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXOMLNJJILFFBJ68CA,下寮段,23.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXOMLNJJILFFBJ68CA,下寮段,169.56,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWPMLMJJILFFBJ58CA,台科段,28.82,都市：住
RPXNMLMJJILFFBJ48CA,大學段,17.06,都市：商
RPVNMLKKJILFFBJ18CA,隘口段,354.22,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLPLJILFFCJ58CA,竹林段,10286.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPSNMLPLJILFFCJ58CA,竹林段,11945.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUNMLTJJILFFBJ88CA,豆子埔段,9.25,都市：住
RPUNMLTJJILFFBJ88CA,豆子埔段,10.00,都市：住
RPPNMLNKJILFFBJ87CA,翰林段,12.58,都市：住
RPPNMLKKJILFFCJ67CA,北興段,16.36,都市：住
RPRNMLOJJILFFCJ18CA,燥樹排段,669.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJJILFFCJ18CA,燥樹排段,331.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJJILFFCJ18CA,燥樹排段,170.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLRKJILFFBJ48CA,公園段,15.05,都市：住
RPSNMLMJJILFFDJ18CA,德盛段,174.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLLJJILFFDJ28CA,褔龍段,25.96,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLNJJILFFDJ18CA,坪頂段,73.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJJILFFDJ97CA,建興段鳳凰小段,83.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPPNMLNJJILFFDJ97CA,建興段鳳凰小段,15.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLSLJILFFCJ88CA,明湖段,64.13,都市：農
RPSNMLSLJILFFCJ88CA,明湖段,113.13,都市：農
RPSNMLSLJILFFCJ88CA,明湖段,2.95,都市：工
RPSNMLSLJILFFCJ88CA,明湖段,2.70,都市：農
RPSNMLSLJILFFCJ88CA,明湖段,51.42,都市：工
RPSNMLSLJILFFCJ88CA,明湖段,.62,都市：工
RPSNMLSLJILFFCJ88CA,明湖段,252.02,都市：工
RPSNMLSLJILFFCJ88CA,明湖段,6.58,都市：商
RPSNMLSLJILFFCJ88CA,明湖段,3.47,都市：其他
RPTPMLLJJILFFBJ28DA,成功段,75.79,都市：住
RPRNMLKMJILFFBJ97CA,隘興段,29.60,都市：住
RPUNMLKMJILFFBJ28CA,隘興段,59.73,都市：住
RPXNMLKMJILFFCJ68CA,竹東段竹東小段,71.00,都市：商
RPOOMLPLJILFFBJ18CA,永興段,33.15,都市：商
RPUNMLTLJILFFCJ66DA,上德段,408.37,都市：住
RPUNMLTLJILFFCJ66DA,上德段,343.89,都市：住
RPSNMLKMJILFFCJ28DA,新城段新城小段,95.00,非都市：山坡地保育區 ; 非都市編定：交通用地
RPOPMLRJJILFFBJ38DA,下寮段,4.83,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLRJJILFFBJ38DA,下寮段,20.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLRJJILFFBJ38DA,下寮段,24.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLRJJILFFBJ38DA,下寮段,202.13,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLRJJILFFBJ38DA,下寮段,.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPROMLPKJILFFDJ58CA,中義段,2821.74,都市：農
RPUNMLKMJILFFCJ38CA,敦睦段,5.72,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLKMJILFFCJ38CA,敦睦段,9.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLKMJILFFCJ38CA,敦睦段,59.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLSKJILFFDJ09CA,光華段,26.81,都市：住
RPUNMLSKJILFFDJ09CA,光華段,1.42,都市：住
RPUNMLSKJILFFDJ09CA,光華段,62.90,都市：住
RPSNMLRKJILFFDJ78CA,長嶺段,31.78,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLRKJILFFDJ78CA,長嶺段,3.79,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLTJJILFFDJ58CA,湖南段,51.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRKJILFFDJ48CA,長嶺段,30.95,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLRKJILFFDJ48CA,長嶺段,3.69,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLRKJILFFDJ68CA,長嶺段,3.79,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLRKJILFFDJ68CA,長嶺段,31.78,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLRKJILFFDJ88CA,長嶺段,22.75,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLRKJILFFDJ88CA,長嶺段,2.74,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLRKJILFFDJ58CA,長嶺段,30.95,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLRKJILFFDJ58CA,長嶺段,3.69,非都市：特定農業區 ; 非都市編定：甲種建築用地
