編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLPKJILFFAM88CA,嘉和段,400.00,都市：住
RPWNMLPKJILFFAM98CA,新北段,136.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNJJILFFAM28CA,福山段,880.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOJJILFFAM08CA,福山段,460.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLNJJILFFAM28CA,福山段,880.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLNJJILFFAM28CA,福山段,880.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOJJILFFAM08CA,福山段,460.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOJJILFFAM08CA,福山段,460.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLNJJILFFAM48CA,南投段,16.72,都市：住
RPQOMLQKJILFFAM58CA,田寮段,21.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLQKJILFFAM58CA,田寮段,66.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLQKJILFFAM58CA,田寮段,1.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLQKJILFFAM48CA,田寮段,88.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLQKJILFFAM48CA,田寮段,21.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLQKJILFFAM48CA,田寮段,1.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNJJILFFCM88CA,墘溝段,2528.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLNJJILFFCM88CA,墘溝段,183.11,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLNJJILFFCM78CA,墘溝段,2506.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLNJJILFFCM78CA,墘溝段,183.11,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLKKJILFFAM97CA,包尾段,2.00,都市：住
RPRNMLKKJILFFAM97CA,包尾段,170.00,都市：住
RPUNMLPLJILFFBM98CA,新光段,2221.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLQKJILFFBM78CA,建興段,217.01,都市：住
RPRNMLMJJILFFCM28CA,八德段,27.23,都市：住
RPPNMLQJJILFFDM58CA,德興段,3023.85,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMJJILFFCM38CA,埔里段北門小段,118.00,都市：住
RPQNMLOJJILFFDM48CA,前山段,1140.04,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNJJILFFCM38DA,溪南段,550.15,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLLJJILFFDM38CA,竹圍子段小段,150.00,都市：住
RPPNMLOJJILFFCM38DA,四角城段,508.74,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOJJILFFCM68DA,眉溪段,1142.17,非都市：森林區 ; 非都市編定：農牧用地
RPSNMLLJJILFFAM18DA,新南段,29.14,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMLJILFFEM48CA,北埔段,126.51,都市：住
RPSNMLKKJILFFCM28CA,西塔山段,331.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSKJILFFCM88CA,內埔段,4369.54,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLOKJILFFCM78CA,竹圍段,83.71,都市：農
RPTNMLOKJILFFCM78CA,竹圍段,648.30,都市：農
RPTNMLOKJILFFCM78CA,竹圍段,648.30,都市：農
RPTNMLOKJILFFCM78CA,竹圍段,83.71,都市：農
RPTNMLNJJILFFAM38CA,田寮段,439.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLQKJILFFDM88CA,隆鳳段,1093.94,都市：農
RPQNMLOJJILFFAM18CA,南投段,6.28,都市：商
RPROMLLKJILFFAM18CA,三塊厝段,94.00,都市：住
RPVNMLNLJILFFCM98CA,眉原段,1000.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLRKJILFFCM56CA,大雁段,2625.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLLJKILFFCM48CA,柑子林段,120.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLRJJILFFCM68CA,紅瓦厝段,364.70,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLRJJILFFCM98CA,育英段,87.18,都市：住
RPRNMLRJJILFFCM78CA,育英段,105.48,都市：住
RPXNMLQKJILFFAM56CA,田寮段,75.61,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLQKJILFFAM56CA,田寮段,21.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLQKJILFFAM56CA,田寮段,1.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLRJJILFFCM88CA,育英段,98.41,都市：住
RPSNMLLJKILFFAM18CA,大崗段,79.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPQNMLOJJILFFCM38CA,忠貞段,16.14,都市：住
RPVNMLKKJILFFCM58CA,四角城段,10.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLKKJILFFCM58CA,四角城段,131.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOKJILFFCM88CA,大雁段,6481.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPRNMLOJJILFFDM58CA,平正段,258.61,都市：農
RPPNMLTJJILFFBM68CA,平西段,388.24,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJILFFBM68CA,平西段,923.25,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJILFFBM68CA,平西段,651.53,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJILFFBM68CA,平西段,318.25,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJILFFBM68CA,平西段,1224.21,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLOJJILFFDM68CA,菩提段,21.29,都市：住
RPRNMLOKJILFFBM48CA,北投段,28.97,非都市：特定農業區 ; 非都市編定：特定目的事業用地
RPPNMLRJJILFFEM88DA,同富段,70.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRJJILFFEM88DA,同富段,73.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLKLJILFFCM28CA,大坪頂段,230.60,非都市：山坡地保育區 ; 非都市編定：林業用地
RPPNMLKLJILFFCM08CA,忠心段,1.42,都市：其他
RPPNMLKLJILFFCM08CA,忠心段,95.86,都市：住
RPPNMLSJJILFFCM68CA,忠言段,32.70,都市：商
RPSNMLKKJILFFBM28DA,北投埔段,44.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLTJJILFFCM98CA,北澤段,94.06,都市：住
RPRNMLTJJILFFCM98CA,北澤段,15.69,都市：其他
RPRNMLLLJILFFDM48CA,埔頭段,2119.00,都市：住
RPRNMLLLJILFFDM48CA,埔頭段,206.00,都市：住
RPRNMLLLJILFFDM48CA,埔頭段,859.00,都市：住
RPRNMLQKJILFFCM78CA,榮光段,89.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOJJILFFBM38CA,新南坪段,52940.99,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKKHNFFCM58DA,東潤段,91.81,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLRJJILFFDM68CA,初鄉段,1232.00,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPSNMLTLJILFFAM09CA,三塊厝段,222.00,都市：住
RPOOMLSLJILFFBM78CA,頂園段,87.87,都市：住
RPOOMLSLJILFFBM78CA,頂園段,7.80,都市：住
RPOOMLSLJILFFBM78CA,頂園段,7.80,都市：住
RPOOMLSLJILFFBM78CA,頂園段,7.80,都市：住
RPVNMLRJJILFFCM56CA,水長流段,8610.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLRKJILFFBM98DA,新雙冬段,397.59,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLRJJILFFCM68DA,桃米坑段,3311.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLRJJILFFAM38CA,茄苳腳段,72.00,都市：住
RPVNMLMJKILFFCM78CA,忠良段,116.65,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLMJKILFFCM58CA,忠良段,105.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLOKJILFFAM68CA,西施厝坪段西施厝坪小段,3085.56,都市：農
RPQNMLMJKILFFAM08CA,先驅段,3910.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLLKJILFFAM48CA,濁水段,120.10,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLSJJILFFAM58CA,南勢段,1316.29,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSJJILFFAM48CA,後寮段,3220.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLSJJILFFAM48CA,後寮段,286.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTJJILFFAM58CA,先驅段,5711.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTJJILFFAM58CA,先驅段,5711.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTJJILFFAM58CA,先驅段,85.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
