編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLTLJILFFAP76EB,水碓東段,112.59,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLTLJILFFAP76EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWNMLTLJILFFAP47EB,水碓東段,122.21,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWNMLTLJILFFAP47EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPOMLTLJILFFAP86EB,水碓東段,106.74,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPOMLTLJILFFAP86EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLTLJILFFAP57EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLTLJILFFAP57EB,水碓東段,108.95,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXNMLTLJILFFAP57EB,水碓東段,112.48,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXNMLTLJILFFAP57EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLKMJILFFAP98EB,水碓東段,181.65,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLKMJILFFAP98EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTOMLKMJILFFAP09EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTOMLKMJILFFAP09EB,水碓東段,105.07,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVOMLKMJILFFAP66EB,水碓東段,110.62,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVOMLKMJILFFAP66EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXOMLKMJILFFAP86EB,水碓東段,119.98,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXOMLKMJILFFAP86EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUNMLKMJILFFAP09EB,水碓東段,118.07,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUNMLKMJILFFAP09EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLKMJILFFAP76EB,水碓東段,8.25,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLKMJILFFAP76EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLKMJILFFAP76EB,水碓東段,106.23,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUOMLKMJILFFAP56EB,水碓東段,108.65,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUOMLKMJILFFAP56EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVNMLKMJILFFAP56EB,水碓東段,116.14,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVNMLKMJILFFAP56EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLNJJHMFFAP58EB,光明段,92.61,非都市：工業區 ; 非都市編定：丁種建築用地
RPPOMLNJJHMFFAP68EB,光明段,95.38,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLNJJHMFFAP09EB,光明段,94.15,非都市：工業區 ; 非都市編定：丁種建築用地
RPWNMLNJJHMFFAP66EB,光明段,93.62,非都市：工業區 ; 非都市編定：丁種建築用地
RPPNMLNJJHMFFAP58EB,光明段,95.37,非都市：工業區 ; 非都市編定：丁種建築用地
RPRNMLNJJHMFFAP78EB,光明段,94.15,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLNJJHMFFAP88EB,光明段,94.15,非都市：工業區 ; 非都市編定：丁種建築用地
RPXNMLNJJHMFFAP76EB,光明段,108.14,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLOJJHMFFAP56EB,光明段,84.78,非都市：工業區 ; 非都市編定：丁種建築用地
RPQNMLOJJHMFFAP78EB,光明段,98.44,非都市：工業區 ; 非都市編定：丁種建築用地
RPRNMLOJJHMFFAP88EB,光明段,96.25,非都市：工業區 ; 非都市編定：丁種建築用地
RPSOMLOJJHMFFAP09EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPOPMLOJJHMFFAP78EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPVNMLOJJHMFFAP66EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPROMLOJJHMFFAP98EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPQOMLOJJHMFFAP88EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPTOMLOJJHMFFAP56EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPXOMLOJJHMFFAP96EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPRPMLOJJHMFFAP09EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPUPMLOJJHMFFAP76EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPPQMLOJJHMFFAP98EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPWPMLOJJHMFFAP96EB,光明段,88.72,非都市：工業區 ; 非都市編定：丁種建築用地
RPVPMLOJJHMFFAP86EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPTPMLOJJHMFFAP66EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLPJJHMFFAP66EB,光明段,99.82,非都市：工業區 ; 非都市編定：丁種建築用地
RPWNMLPJJHMFFAP86EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPVNMLKKJHMFFAP98EB,光明段,85.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPVNMLPJJHMFFAP76EB,光明段,102.60,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLKKJHMFFAP88EB,光明段,94.15,非都市：工業區 ; 非都市編定：丁種建築用地
RPPNMLLKJHMFFAP48EB,光明段,94.15,非都市：工業區 ; 非都市編定：丁種建築用地
RPQNMLLKJHMFFAP58EB,光明段,94.15,非都市：工業區 ; 非都市編定：丁種建築用地
