鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡91~120號,11.6,其他,,,1050912,土地1建物1車位0,一層,三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1031020,23.06,1,1,1,有,無,1650000,71552,,0.0,0,,RPRNMLNJJILFFAW56CA
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡91~120號,17.77,其他,,,1050912,土地1建物1車位0,二層,三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1031016,31.790000000000003,1,1,1,有,無,2250000,70777,,0.0,0,,SPRNMLNJJILFFAW66CA
金城鎮,房地(土地+建物),金門縣金城鎮珠沙里小西門1~30號,62.27,其他,,,1051024,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0770701,48.26,3,2,1,有,無,1750000,36262,,0.0,0,,RPVNMLMJJILFFAW96DA
金寧鄉,土地,長寮段61~90地號,280.28,其他,,,1051027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3074307,10969,,0.0,0,,RPROMLNJJILFFAW66CA
金城鎮,土地,城南段661~690地號,279.57,其他,,,1051024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17000000,60808,,0.0,0,,RPPNMLNJJILFFAW98CA
金城鎮,土地,前山前段1~30地號,201.0,住,,,1050920,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,17910,,0.0,0,,RPTNMLOJJILFFAW86CA
烈嶼鄉,土地,西方劃測段331~360地號,1590.01,其他,,,1051007,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6114036,3845,,0.0,0,,RPQNMLSJJILFFAW96CA
金沙鎮,土地,汶沙段241~270地號,609.6,其他,,,1051025,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35200000,57743,,0.0,0,含未登記建物乙棟。,RPTNMLSLJILFFAW57DA
金城鎮,土地,東紅山段961~990地號,580.21,農,,,1051028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,2758,,0.0,0,,RPPNMLPKJILFFAW76DA
金寧鄉,土地,湖尾段811~840地號,1061.67,農,,,1051024,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1240000,1168,,0.0,0,沒有通路之農業用地,RPRNMLKKJILFFAW98CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,12.17,住,,,1050921,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041125,66.08,1,2,1,有,有,4570000,69159,,0.0,0,,RPTNMLQKJILFFAW17CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村511~540號,42.43,住,,,1051025,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1041230,71.66,2,2,2,有,無,3500000,48842,,0.0,0,,RPTNMLLLJILFFAW76CA
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下91~120號,55.5,其他,,,1051018,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0300118,40.66,4,1,1,有,無,780000,19183,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLKKJILFFAW09CA
金寧鄉,土地,寧湖一劃段31~60地號,1576.59,農,,,1051024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,11417,,0.0,0,,RPTNMLKKJILFFAW56CA
金沙鎮,土地,東店段151~180地號,239.7,其他,,,1050929,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,958081,3997,,0.0,0,水廠價購,RPUNMLKKJILFFAW66CA
金寧鄉,土地,寧安二劃段331~360地號,1466.67,農,,,1051003,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7340000,5005,,0.0,0,,RPWNMLKKJILFFAW86CA
金沙鎮,土地,北九劃段1381~1410地號,279.8,住,,,1051104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7150000,25554,,0.0,0,,RPQNMLKKJILFFAW88CA
金湖鎮,房地(土地+建物),金門縣金湖鎮新塘1~30號,128.24,住,,,1050929,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050823,182.83,5,1,4,有,無,8500000,46491,,0.0,0,,RPRNMLLJKILFFAW56DA
金湖鎮,房地(土地+建物),金門縣金湖鎮新塘1~30號,256.48,住,,,1050929,土地0建物2車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050823,365.66,5,1,4,有,無,16000000,43756,,0.0,0,交易總價含土地價格，本案為原地土配偶向建商購買,RPUNMLLJKILFFAW86DA
金寧鄉,土地,鎮西段361~390地號,191.86,其他,,,1051102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2562000,13353,,0.0,0,,RPPNMLSLJILFFAW17DA
金湖鎮,土地,中五劃段751~780地號,573.0,其他,,,1051024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1950000,3403,,0.0,0,"買方有2人,持分各1/2,其中1人為二親等之間買賣",RPRNMLNLJILFFAW86DA
金城鎮,土地,祥和段61~90地號,204.8,農,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1228800,6000,,0.0,0,,RPQNMLQKJILFFAW86CA
金城鎮,土地,祥和段61~90地號,170.03,其他,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1020180,6000,,0.0,0,,RPRNMLQKJILFFAW96CA
金城鎮,土地,祥和段61~90地號,273.92,農,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1643520,6000,,0.0,0,,RPSNMLQKJILFFAW07CA
金寧鄉,土地,北二三劃測段481~510地號,500.01,農,,,1051107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,4800,,0.0,0,,RPPNMLQKJILFFAW76CA
金沙鎮,土地,后宅測段31~60地號,526.54,農,,,1051108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,737156,1400,,0.0,0,國有地購回,RPVNMLLLJILFFAW96CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,19.93,住,,,1051012,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041125,110.27,2,2,2,有,無,6150000,55772,,0.0,0,,RPWNMLPLJILFFAW47CA
金沙鎮,土地,后宅測段61~90地號,227.45,其他,,,1051031,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,578329,2543,,0.0,0,,RPRNMLRKJILFFAW07CA
金湖鎮,土地,湖前段841~870地號,200.14,其他,,,1051103,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3236634,16172,,0.0,0,,RPTNMLRKJILFFAW27CA
金寧鄉,土地,寧安四劃段361~390地號,1047.0,農,,,1051110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4367500,4171,,0.0,0,,RPQNMLMJKILFFAW56DA
金湖鎮,土地,夏興段1291~1320地號,16.85,其他,,,1051115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,4748,,0.0,0,,RPWNMLLLJILFFAW17DA
金寧鄉,土地,寧湖三劃段211~240地號,373.0,農,,,1051019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4849000,13000,,0.0,0,,RPQNMLLLJILFFAW09CA
金寧鄉,土地,長寮段721~750地號,699.98,農,,,1051019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9100000,13000,,0.0,0,,RPRNMLLLJILFFAW56CA
金寧鄉,土地,安西劃段661~690地號,382.72,農,,,1051019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4975360,13000,,0.0,0,,RPSNMLLLJILFFAW66CA
金寧鄉,房地(土地+建物),金門縣金寧鄉頂埔下1~30號,16.76,住,,,1051028,土地1建物1車位0,二層,三層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050126,35.12,1,1,1,有,無,2400000,68337,,0.0,0,,RPUNMLLLJILFFAW86CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城61~90號,37.6,住,,,1051111,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050509,63.26,2,2,2,有,無,1350000,21340,,0.0,0,其他特殊關係間之交易。,RPQNMLNKKILFFAW66CA
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下1~30號,53.79,其他,,,1051018,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050401,90.9,3,2,2,有,無,5700000,62706,,0.0,0,,RPQNMLSKJILFFAW07CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城1~30號,36.33,住,,,1051026,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050119,60.94,2,1,2,有,無,4200000,68932,,0.0,0,,RPXNMLPLJILFFAW57CA
金寧鄉,房地(土地+建物),金門縣金寧鄉上后垵31~60號,371.39,農,,,1051006,土地1建物1車位0,一層，二層，屋頂突出物,二層,農舍,農舍,鋼筋混凝土造,0981016,274.69,7,2,4,有,無,14000000,,,0.0,0,基地內加蓋3房2衛1廳,RPXNMLLLJILFFAW17CA
烈嶼鄉,土地,烈濱劃測段151~180地號,600.0,農,,,1051111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,2800,,0.0,0,,RPQOMLLJKILFFAW56DA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅31~60號,52.45,其他,,,1051101,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050419,98.47,3,2,2,有,無,4650000,47218,,0.0,0,,RPVNMLNLJILFFAW27DA
金城鎮,房地(土地+建物),金門縣金城鎮金門城1~30號,36.33,住,,,1051103,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050119,66.2,2,1,2,有,無,4300000,64955,,0.0,0,,RPQNMLNLJILFFAW66CA
金寧鄉,土地,東洲段1081~1110地號,1837.42,住,,,1051004,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,4354,,0.0,0,,RPPNMLOLJILFFAW66CA
金湖鎮,土地,太湖劃測段901~930地號,1000.13,其他,,,1051114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6730000,6729,,0.0,0,"土地增值稅1,643,127元由買方負擔",RPPNMLKMJILFFAW98CA
金寧鄉,土地,寧安四劃段391~420地號,587.0,農,,,1051111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,767,,0.0,0,,RPPNMLQKKILFFAW86CA
金沙鎮,土地,官嶼劃段391~420地號,496.0,農,,,1051110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,2621,,0.0,0,,RPQNMLOLJILFFAW86DA
金寧鄉,土地,后盤山段241~270地號,2942.31,農,,,1051108,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3250000,1105,,0.0,0,,RPUNMLQJKILFFAW27CA
金寧鄉,土地,后盤山段181~210地號,3070.75,農,,,1051108,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3250000,1058,,0.0,0,,RPVNMLQJKILFFAW37CA
金沙鎮,土地,沙宅劃段31~60地號,1000.0,農,,,1051018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2880000,2880,,0.0,0,,RPQNMLRJKILFFAW96CA
金寧鄉,土地,寧湖三劃段361~390地號,1460.0,農,,,1050829,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10950000,7500,,0.0,0,,RPPNMLPJKILFFAW66CA
金寧鄉,土地,北二三劃測段331~360地號,1329.81,農,,,1051117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11200000,8422,,0.0,0,,RPPNMLPLJILFFAW76CA
金沙鎮,房地(土地+建物),金門縣金沙鎮陽翟301~330號,99.39,其他,,,1041112,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040918,169.01,5,2,5,有,無,6800000,40234,,0.0,0,,RPUNMLPLJILFFAW27CA
金沙鎮,房地(土地+建物),金門縣金沙鎮陽翟301~330號,111.28,其他,,,1041118,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040918,171.82,5,2,5,有,無,7200000,41904,,0.0,0,,RPVNMLPLJILFFAW37CA
金沙鎮,土地,西園測段1~30地號,1728.24,其他,,,1051123,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4829000,2794,,0.0,0,,RPQNMLSLJILFFAW17CA
