鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
宜蘭市,建物,宜蘭縣宜蘭市農權路157巷1~30號,0.0,住,,,1060206,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0700728,19.83,1,0,1,有,無,有,5000,252,,0.0,0,租賃一間小套房約6坪,RPQOMLRJKHMFFBG38CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮陽明路1~30號,73.0,住,,,1060120,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0821129,272.58,4,2,5,有,無,無,20000,73,,0.0,0,,RPVNMLRJKHMFFAG68CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民族路541~570號,172.0,住,,,1060208,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041231,357.7,0,0,0,無,無,無,35000,98,,0.0,0,,RPUOMLKKKHMFFBG18CC
宜蘭市,建物,宜蘭縣宜蘭市擺厘路9巷1弄1~30號,0.0,住,,,1060201,土地0建物1車位0,五層,5,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1031218,48.82,1,0,1,有,無,無,6200,127,,0.0,0,,RPVOMLKKKHMFFBG28CC
宜蘭市,建物,宜蘭縣宜蘭市民權新路260巷1~30號,0.0,住,,,1060209,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840310,95.16,3,2,2,有,有,有,15000,158,,0.0,0,,RPTNMLPKKHMFFBG48CC
宜蘭市,建物,宜蘭縣宜蘭市泰山路31~60號,87.31,住,,,1060124,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0950529,209.16,3,2,4,有,無,無,31786,152,,0.0,0,,RPQOMLSKKHMFFBG58CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市東港路55巷4弄1~30號,100.48,住,,,1060220,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0770505,139.52,6,1,2,有,無,有,12000,86,,0.0,0,,RPRNMLMLKHMFFBG08CC
宜蘭市,建物,宜蘭縣宜蘭市東津路1~30號,0.0,,特定農業區,甲種建築用地,1060301,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0890921,176.15,0,0,0,無,無,無,13000,74,,0.0,0,,RPVNMLMJLHMFFBG38CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮天祥路31~60號,32.96,住,,,1060301,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810702,100.15,3,2,1,有,無,有,15000,150,,0.0,0,,RPSOMLQJLHMFFAG48CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市西後街121~150號,46.37,商,,,1060314,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,,123.59,0,0,0,無,無,無,11000,89,,0.0,0,,RPPOMLPKLHMFFBG28CC
羅東鎮,建物,宜蘭縣羅東鎮南門路1~30號,0.0,住,,,1060311,土地0建物1車位0,一層,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,1021212,49.65,0,0,1,有,無,無,40000,806,,0.0,0,,RPUNMLQKLHMFFAG68CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南寧路1~30號,77.0,住,,,1060315,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0650816,172.98,0,0,1,有,無,有,7500,43,,0.0,0,,RPVOMLQKLHMFFAG88CC
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉五路168巷1~30號,38.21,,一般農業區,甲種建築用地,1060218,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960206,106.38,2,2,2,有,無,有,9000,85,,0.0,0,,RPSNMLRKLHMFFAG58CC
羅東鎮,建物,宜蘭縣羅東鎮純精路二段91~120號,0.0,住,,,1060317,土地0建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0670815,63.0,0,0,1,有,無,無,15000,238,,0.0,0,,RPSOMLLLLHMFFAG18CC
宜蘭市,建物,宜蘭縣宜蘭市復興路一段61~90號,0.0,住,,,1060312,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720511,88.78,3,2,2,有,無,無,13000,146,,0.0,0,,RPUOMLLLLHMFFBG48CC
宜蘭市,建物,宜蘭縣宜蘭市公園路421~450號,0.0,商,,,1060321,土地0建物1車位1,一層,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050130,60.95,0,0,1,有,有,有,25000,410,坡道平面,0.0,0,租金含車位,RPXPMLMLLHMFFBG98CC
宜蘭市,建物,宜蘭縣宜蘭市嵐峰路三段102巷1~30號,0.0,住,,,1060320,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840911,79.09,3,1,2,有,有,有,11000,139,,0.0,0,,RPWPMLMLLHMFFBG98DC
員山鄉,房地(土地+建物),宜蘭縣員山鄉員山路一段181~210號,195.59,住,,,1060316,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,見其他登記事項,0650810,225.51,2,2,2,有,無,無,30000,133,,0.0,0,,RPSOMLNLLHMFFBG68EC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮光榮路391~420號,99.3,住,,,1060321,土地1建物1車位0,二層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0940616,66.52,1,0,1,有,無,無,18000,271,,0.0,0,,RPWNMLNLLHMFFAG68CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市泰山路211~240號,152.46,住,,,1060311,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1041208,280.09,0,0,0,無,無,無,65000,232,,0.0,0,,RPSOMLNLLHMFFBG48CC
