編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLRJKHMFFAI68DC,19,116.61,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPPNMLPLKHMFFAI38DC,19,84.41,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLLJLHMFFAI58CC,40,239.75,住商用,鋼筋混凝土造,66年7月5日,四層,
RPUNMLKLKHMFFAI38DC,26,126.25,見其他登記事項,鋼筋混凝土造,80年4月26日,五層,
RPOPMLTJLHMFFAI78DC,19,147.54,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLOJLHMFFAI98DC,33,87.94,住家用,鋼筋混凝土造,73年6月23日,五層,
RPPPMLTJLHMFFAI88DC,19,124.74,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPVOMLNKLHMFFAI88DC,1,16.72,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPUOMLNKLHMFFAI78DC,19,124.73,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPPNMLOJKHMFFAI08DC,19,114.92,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPWNMLPKLHMFFAI09DC,19,147.54,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPQNMLOLLHMFFAI38CC,27,310.40,住家用,鋼筋混凝土造,79年8月9日,四層,
RPOOMLQKLHMFFAI38CC,21,70.58,住家用,鋼筋混凝土造,84年10月4日,十一層,
RPOOMLQKLHMFFAI38CC,21,14.35,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPOOMLQKLHMFFAI38CC,21,7.78,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPXNMLQKLHMFFAI56CC,26,82.08,住商用,鋼筋混凝土造,80年5月18日,七層,
RPXNMLQKLHMFFAI56CC,26,5.83,共有部份,鋼筋混凝土造,80年5月18日,七層,
RPTNMLRLLHMFFAI98CC,17,197.71,見其他登記事項,見其他登記事項,89年5月15日,二層,
RPQOMLQKLHMFFAI68DC,19,115.37,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPVNMLRLLHMFFAI66DC,1,26.45,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPPNMLSLLHMFFAI78DC,19,112.72,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPRNMLTLLHMFFAI09DC,37,165.90,住商用,鋼筋混凝土加強磚造,69年7月8日,三層,
RPRNMLTLLHMFFAI09DC,37,5.71,住商用,鋼筋混凝土加強磚造,69年7月8日,三層,
RPQOMLKMLHMFFAI28DC,19,79.56,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPSNMLTLLHMFFAI09CC,24,76.10,住家用,鋼筋混凝土造,82年6月18日,十二層,
RPWNMLPJMHMFFAI09DC,19,87.43,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPRNMLQJMHMFFAI68DC,1,26.45,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPTNMLRKMHMFFAI98CC,45,93.85,住商用,鋼筋混凝土造,60年11月12日,四層,
RPPOMLKMLHMFFAI08CC,12,115.40,住家用,鋼筋混凝土造,93年11月1日,十四層,
RPPOMLKMLHMFFAI08CC,12,73.24,共有部份,鋼筋混凝土造,93年11月1日,十四層,
RPUNMLPJMHMFFAI88DC,19,79.56,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPSNMLMKMHMFFAI48DC,19,124.32,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPQNMLMKMHMFFAI28DC,19,87.43,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPQNMLTKMHMFFAI98DC,1,39.75,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPSNMLLLMHMFFAI38CC,32,91.96,住商用,鋼筋混凝土造,74年5月23日,三層,
RPTNMLOLMHMFFAI88DC,1,30.00,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPPNMLOLMHMFFAI38CC,39,90.04,住商用,鋼筋混凝土加強磚造,67年7月17日,二層,
