編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOQMLLMNHMFFBB77CB,陳平段,18.35,都市：住
RPOQMLLMNHMFFBB77CB,仁德段,.07,都市：住
RPOQMLLMNHMFFBB77CB,仁德段,.27,都市：住
RPTQMLLMNHMFFBB28CB,陳平段,18.35,都市：住
RPTQMLLMNHMFFBB28CB,仁德段,.07,都市：住
RPTQMLLMNHMFFBB28CB,仁德段,.27,都市：住
RPUQMLLMNHMFFBB38CB,陳平段,18.35,都市：住
RPUQMLLMNHMFFBB38CB,仁德段,.07,都市：住
RPUQMLLMNHMFFBB38CB,仁德段,.27,都市：住
RPRQMLLMNHMFFBB08CB,陳平段,18.35,都市：住
RPRQMLLMNHMFFBB08CB,仁德段,.07,都市：住
RPRQMLLMNHMFFBB08CB,仁德段,.27,都市：住
RPWPMLLMNHMFFBB48CB,陳平段,18.35,都市：住
RPWPMLLMNHMFFBB48CB,仁德段,.07,都市：住
RPWPMLLMNHMFFBB48CB,仁德段,.27,都市：住
RPXPMLLMNHMFFBB58CB,陳平段,18.35,都市：住
RPXPMLLMNHMFFBB58CB,仁德段,.07,都市：住
RPXPMLLMNHMFFBB58CB,仁德段,.27,都市：住
RPPQMLLMNHMFFBB87CB,陳平段,18.35,都市：住
RPPQMLLMNHMFFBB87CB,仁德段,.07,都市：住
RPPQMLLMNHMFFBB87CB,仁德段,.27,都市：住
RPSQMLLMNHMFFBB18CB,陳平段,18.35,都市：住
RPSQMLLMNHMFFBB18CB,仁德段,.07,都市：住
RPSQMLLMNHMFFBB18CB,仁德段,.27,都市：住
RPVQMLLMNHMFFBB48CB,陳平段,18.35,都市：住
RPVQMLLMNHMFFBB48CB,仁德段,.07,都市：住
RPVQMLLMNHMFFBB48CB,仁德段,.27,都市：住
RPXQMLLMNHMFFBB68CB,陳平段,18.35,都市：住
RPXQMLLMNHMFFBB68CB,仁德段,.07,都市：住
RPXQMLLMNHMFFBB68CB,仁德段,.27,都市：住
