編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPROMLLKNHMFFHH88CB,坡道平面,1100000,34.04
RPXNMLLKNHMFFHH76CB,坡道平面,1200000,36.25
RPPOMLLKNHMFFHH68CB,坡道平面,1100000,34.04
RPXNMLRKNHMFFHH37CB,坡道平面,1200000,36.25
RPTNMLRKNHMFFHH96CB,坡道平面,1100000,34.04
RPVNMLRKNHMFFHH17CB,坡道平面,1100000,34.04
RPOOMLRKNHMFFHH56CB,坡道平面,1200000,36.25
RPUNMLRKNHMFFHH07CB,坡道平面,1200000,36.25
RPROMLRKNHMFFHH86CB,坡道平面,1200000,36.25
RPPOMLRKNHMFFHH66CB,坡道平面,1100000,34.04
RPQOMLRKNHMFFHH76CB,坡道平面,1300000,36.25
RPSOMLRKNHMFFHH96CB,坡道平面,1200000,36.25
RPTOMLRKNHMFFHH07CB,坡道平面,1200000,36.25
RPUOMLRKNHMFFHH17CB,坡道平面,1200000,36.25
RPWOMLRKNHMFFHH37CB,坡道平面,1200000,36.25
RPVOMLRKNHMFFHH27CB,坡道平面,1100000,34.04
RPXOMLRKNHMFFHH47CB,坡道平面,1200000,36.25
RPOPMLRKNHMFFHH66CB,坡道平面,1100000,34.04
RPUPMLRKNHMFFHH27CB,坡道平面,1200000,36.25
RPTPMLRKNHMFFHH17CB,坡道平面,1200000,36.25
RPWPMLRKNHMFFHH47CB,坡道平面,1300000,36.25
RPRPMLRKNHMFFHH96CB,坡道平面,1100000,34.04
RPPPMLRKNHMFFHH76CB,坡道平面,1100000,34.04
RPXPMLRKNHMFFHH57CB,坡道平面,1200000,36.25
RPPQMLRKNHMFFHH86CB,坡道平面,1100000,34.04
RPOQMLRKNHMFFHH76CB,坡道平面,1300000,36.25
RPTQMLRKNHMFFHH27CB,坡道平面,1100000,34.04
RPWQMLRKNHMFFHH57CB,坡道平面,970000,36.25
RPWQMLRKNHMFFHH57CB,坡道平面,970000,36.25
RPRQMLRKNHMFFHH07CB,坡道平面,1200000,36.25
RPSQMLRKNHMFFHH17CB,坡道平面,1300000,36.25
RPVQMLRKNHMFFHH47CB,坡道平面,1070000,36.25
RPVQMLRKNHMFFHH47CB,坡道平面,1070000,36.25
RPUQMLRKNHMFFHH37CB,坡道平面,1100000,34.04
RPXQMLRKNHMFFHH67CB,坡道平面,970000,36.25
RPXQMLRKNHMFFHH67CB,坡道平面,970000,36.25
RPORMLRKNHMFFHH86CB,坡道平面,1070000,36.25
RPQRMLRKNHMFFHH07CB,坡道平面,1300000,36.25
RPQRMLRKNHMFFHH07CB,坡道平面,1300000,36.25
RPSQMLSKNHMFFBH66CB,坡道平面,1500000,34.53
RPUQMLSKNHMFFBH86CB,坡道平面,0,
RPRRMLSKNHMFFBH66CB,坡道平面,1500000,34.53
RPVQMLSKNHMFFBH96CB,坡道平面,0,
RPQRMLSKNHMFFBH56CB,坡道平面,1400000,34.54
RPTQMLSKNHMFFBH76CB,坡道平面,1600000,34.53
RPORMLSKNHMFFBH98CB,坡道平面,1400000,34.53
RPWQMLSKNHMFFBH07CB,坡道平面,0,
RPPRMLSKNHMFFBH09CB,坡道平面,1350000,32.41
RPXQMLSKNHMFFBH17CB,坡道平面,1500000,34.53
RPURMLSKNHMFFBH96CB,坡道平面,1500000,34.53
RPTRMLSKNHMFFBH86CB,坡道平面,1400000,34.53
RPSRMLSKNHMFFBH76CB,坡道平面,1500000,34.53
RPOSMLSKNHMFFBH09CB,坡道平面,1500000,34.53
RPWRMLSKNHMFFBH17CB,坡道平面,1600000,34.53
RPSQMLTJOHMFFBH96EB,坡道平面,1400000,37.52
RPXRMLSKNHMFFBH27CB,坡道平面,1400000,34.53
RPTQMLTJOHMFFBH07EB,坡道平面,1150000,37.52
RPPOMLLLOHMFFEH58CB,坡道平面,1500000,43.56
RPOOMLLLOHMFFEH48CB,坡道平面,1500000,43.56
RPVOMLLLOHMFFEH56CB,坡道平面,1350000,41.49
RPROMLLLOHMFFEH78CB,坡道平面,1600000,43.56
RPQOMLLLOHMFFEH68CB,坡道平面,1350000,43.56
RPSOMLLLOHMFFEH88CB,坡道平面,1400000,43.56
RPXNMLLLOHMFFEH66CB,坡道平面,1350000,43.56
RPUOMLLLOHMFFEH09CB,坡道平面,1500000,43.56
RPTOMLLLOHMFFEH98CB,坡道平面,1500000,43.56
RPWOMLLLOHMFFEH66CB,坡道平面,1600000,43.56
RPXOMLLLOHMFFEH76CB,坡道平面,1350000,43.56
RPWNMLLLOHMFFEH56CB,坡道平面,1350000,43.56
RPPPMLLLOHMFFEH68CB,坡道平面,1500000,43.56
RPQPMLLLOHMFFEH78CB,坡道平面,1500000,43.56
RPSPMLLLOHMFFEH98CB,坡道平面,1350000,43.56
RPOPMLLLOHMFFEH58CB,坡道平面,0,
RPTPMLLLOHMFFEH09CB,坡道平面,1500000,43.56
RPUPMLLLOHMFFEH56CB,坡道平面,1300000,41.49
RPVPMLLLOHMFFEH66CB,坡道平面,1400000,43.56
RPWPMLLLOHMFFEH76CB,坡道平面,1350000,43.56
RPXPMLLLOHMFFEH86CB,坡道平面,1350000,43.56
RPQQMLLLOHMFFEH88CB,坡道平面,1350000,43.56
RPPQMLLLOHMFFEH78CB,坡道平面,1500000,43.56
RPOQMLLLOHMFFEH68CB,坡道平面,1500000,43.56
RPRQMLLLOHMFFEH98CB,坡道平面,1350000,43.56
RPUQMLLLOHMFFEH66CB,坡道平面,1350000,41.49
RPORMLLLOHMFFEH78CB,坡道平面,1400000,43.56
RPPRMLLLOHMFFEH88CB,坡道平面,1500000,43.56
RPXQMLLLOHMFFEH96CB,坡道平面,1350000,43.56
RPSQMLLLOHMFFEH09CB,坡道平面,1350000,43.56
RPTQMLLLOHMFFEH56CB,坡道平面,1350000,41.49
RPQRMLLLOHMFFEH98CB,坡道平面,1350000,43.56
RPWQMLLLOHMFFEH86CB,坡道平面,1350000,43.56
RPVQMLLLOHMFFEH76CB,坡道平面,1450000,41.49
RPRRMLLLOHMFFEH09CB,坡道平面,1450000,41.49
RPSRMLLLOHMFFEH56CB,坡道平面,1350000,43.56
RPTRMLLLOHMFFEH66CB,坡道平面,1600000,43.56
RPURMLLLOHMFFEH76CB,坡道平面,1550000,41.49
RPURMLLLOHMFFEH76CB,坡道平面,1550000,41.49
RPOSMLLLOHMFFEH88CB,坡道平面,1350000,43.56
RPXRMLLLOHMFFEH07CB,坡道平面,1500000,43.56
RPVRMLLLOHMFFEH86CB,坡道平面,1500000,43.56
RPPSMLLLOHMFFEH98CB,坡道平面,1500000,43.56
RPQSMLLLOHMFFEH09CB,坡道平面,1350000,43.56
RPWRMLLLOHMFFEH96CB,坡道平面,1350000,43.56
RPRSMLLLOHMFFEH56CB,坡道平面,1350000,43.56
RPTSMLLLOHMFFEH76CB,坡道平面,0,
RPSSMLLLOHMFFEH66CB,坡道平面,1500000,43.56
RPXSMLLLOHMFFEH17CB,坡道平面,1500000,43.56
RPUSMLLLOHMFFEH86CB,坡道平面,1400000,43.56
RPWSMLLLOHMFFEH07CB,坡道平面,1350000,43.56
RPVSMLLLOHMFFEH96CB,坡道平面,1300000,41.49
RPOTMLLLOHMFFEH98CB,坡道平面,1350000,43.56
RPSNMLNJPHMFFEH88CB,坡道平面,1500000,43.56
RPTNMLNJPHMFFEH98CB,坡道平面,1600000,43.56
RPTOMLPJPHMFFEH76DB,坡道平面,0,
RPSNMLQJPHMFFEH66DB,坡道平面,0,
RPROMLQJPHMFFEH66DB,坡道平面,0,
RPQOMLQJPHMFFEH56DB,坡道平面,0,
RPPOMLQJPHMFFEH09DB,坡道平面,0,
RPSOMLQJPHMFFEH76DB,坡道平面,0,
RPTOMLQJPHMFFEH86DB,坡道平面,0,
RPWOMLQJPHMFFEH17DB,坡道平面,0,
RPXOMLQJPHMFFEH27DB,坡道平面,0,
RPOPMLQJPHMFFEH09DB,坡道平面,0,
RPPPMLQJPHMFFEH56DB,坡道平面,0,
RPRNMLNKPHMFFEH98DB,坡道平面,0,
RPVOMLNKPHMFFEH86DB,坡道平面,0,
RPVNMLNKPHMFFEH76DB,坡道平面,0,
RPOPMLNKPHMFFEH88DB,坡道平面,0,
RPQWMLQLOHMFFFH47CB,坡道平面,0,
RPXONLQLOHMFFFH47CB,坡道平面,0,
RPPOMLQLPHMFFFH66CB,坡道平面,1200000,22.15
RPOOMLQLPHMFFFH56CB,坡道平面,1100000,20.14
RPSOMLQLPHMFFFH96CB,坡道平面,1150000,22.15
RPTOMLQLPHMFFFH07CB,坡道平面,1200000,22.15
RPVNMLQLPHMFFFH17CB,坡道平面,1250000,22.15
RPVOMLQLPHMFFFH27CB,坡道平面,1250000,22.15
RPQOMLQLPHMFFFH76CB,坡道平面,1200000,22.15
RPXNMLQLPHMFFFH37CB,坡道平面,1200000,22.15
RPROMLQLPHMFFFH86CB,坡道平面,1150000,22.15
RPWOMLQLPHMFFFH37CB,坡道平面,1100000,20.14
RPXOMLQLPHMFFFH47CB,坡道平面,1150000,22.15
RPOPMLQLPHMFFFH66CB,坡道平面,1200000,22.15
RPUNMLQLPHMFFFH07CB,坡道平面,1200000,22.15
RPWNMLQLPHMFFFH27CB,坡道平面,1150000,22.15
RPUOMLQLPHMFFFH17CB,坡道平面,1200000,22.15
RPQPMLQLPHMFFFH86CB,坡道平面,1200000,22.15
RPSPMLQLPHMFFFH07CB,坡道平面,1100000,20.14
RPUPMLQLPHMFFFH27CB,坡道平面,1250000,22.15
RPWPMLQLPHMFFFH47CB,坡道平面,1100000,20.14
RPVPMLQLPHMFFFH37CB,坡道平面,1250000,22.15
RPPPMLQLPHMFFFH76CB,坡道平面,1150000,22.15
RPTPMLQLPHMFFFH17CB,坡道平面,1200000,22.15
RPRPMLQLPHMFFFH96CB,坡道平面,1250000,22.15
RPOQMLQLPHMFFFH76CB,坡道平面,1250000,22.15
RPPQMLQLPHMFFFH86CB,坡道平面,1150000,20.14
RPVQMLQLPHMFFFH47CB,坡道平面,1150000,20.14
RPORMLQLPHMFFFH86CB,坡道平面,1150000,22.15
RPWQMLQLPHMFFFH57CB,坡道平面,1200000,22.15
RPUQMLQLPHMFFFH37CB,坡道平面,1150000,22.15
RPXQMLQLPHMFFFH67CB,坡道平面,1100000,20.14
RPPRMLQLPHMFFFH96CB,坡道平面,1100000,20.14
RPVRMLQLPHMFFFH57CB,坡道平面,1200000,22.15
RPRRMLQLPHMFFFH17CB,坡道平面,1150000,22.15
RPURMLQLPHMFFFH47CB,坡道平面,1150000,22.15
RPQRMLQLPHMFFFH07CB,坡道平面,1150000,22.15
RPSRMLQLPHMFFFH27CB,坡道平面,1200000,22.15
RPQQMLQLPHMFFFH96CB,坡道平面,1200000,22.15
RPTQMLQLPHMFFFH27CB,坡道平面,1250000,22.15
RPXRMLQLPHMFFFH77CB,坡道平面,1250000,22.15
RPTRMLQLPHMFFFH37CB,坡道平面,1150000,22.15
RPRQMLQLPHMFFFH07CB,坡道平面,1200000,22.15
RPSQMLQLPHMFFFH17CB,坡道平面,1200000,22.15
RPQSMLQLPHMFFFH17CB,坡道平面,1200000,22.15
RPOSMLQLPHMFFFH96CB,坡道平面,1100000,20.14
RPPSMLQLPHMFFFH07CB,坡道平面,1150000,22.15
RPWRMLQLPHMFFFH67CB,坡道平面,1150000,22.15
RPSSMLQLPHMFFFH37CB,坡道平面,1100000,20.14
RPRSMLQLPHMFFFH27CB,坡道平面,1250000,22.15
RPUSMLQLPHMFFFH57CB,坡道平面,1150000,22.15
RPVSMLQLPHMFFFH67CB,坡道平面,1200000,22.15
RPTSMLQLPHMFFFH47CB,坡道平面,1100000,20.14
RPQTMLQLPHMFFFH27CB,坡道平面,1150000,22.15
RPXSMLQLPHMFFFH87CB,坡道平面,1100000,20.14
RPRTMLQLPHMFFFH37CB,坡道平面,1200000,22.15
RPWSMLQLPHMFFFH77CB,坡道平面,1150000,22.15
RPPTMLQLPHMFFFH17CB,坡道平面,1200000,22.15
RPSTMLQLPHMFFFH47CB,坡道平面,1250000,22.15
RPTTMLQLPHMFFFH57CB,坡道平面,1150000,22.15
RPWTMLQLPHMFFFH87CB,坡道平面,1200000,22.15
RPUTMLQLPHMFFFH67CB,坡道平面,1100000,20.14
RPVTMLQLPHMFFFH77CB,坡道平面,1250000,22.15
RPXTMLQLPHMFFFH97CB,坡道平面,1200000,22.15
RPOUMLQLPHMFFFH17CB,坡道平面,1250000,22.15
RPPUMLQLPHMFFFH27CB,坡道平面,1200000,22.15
RPSUMLQLPHMFFFH57CB,坡道平面,1150000,22.15
RPTUMLQLPHMFFFH67CB,坡道平面,1250000,22.15
RPRUMLQLPHMFFFH47CB,坡道平面,1200000,20.14
RPQUMLQLPHMFFFH37CB,坡道平面,1150000,22.15
RPUUMLQLPHMFFFH77CB,坡道平面,1150000,22.15
RPVUMLQLPHMFFFH87CB,坡道平面,1100000,20.14
RPWUMLQLPHMFFFH97CB,坡道平面,1250000,22.15
RPXUMLQLPHMFFFH08CB,坡道平面,1100000,20.14
RPOVMLQLPHMFFFH27CB,坡道平面,1200000,22.15
RPQVMLQLPHMFFFH47CB,坡道平面,1200000,22.15
RPPVMLQLPHMFFFH37CB,坡道平面,1200000,22.15
RPRVMLQLPHMFFFH57CB,坡道平面,1100000,20.14
RPUVMLQLPHMFFFH87CB,坡道平面,1200000,22.15
RPVVMLQLPHMFFFH97CB,坡道平面,1200000,22.15
RPTVMLQLPHMFFFH77CB,坡道平面,1200000,22.15
RPSVMLQLPHMFFFH67CB,坡道平面,1100000,20.14
RPXVMLQLPHMFFFH18CB,坡道平面,1150000,22.15
RPWVMLQLPHMFFFH08CB,坡道平面,1150000,22.15
RPPWMLQLPHMFFFH47CB,坡道平面,1200000,22.15
RPQWMLQLPHMFFFH57CB,坡道平面,1100000,20.14
RPOWMLQLPHMFFFH37CB,坡道平面,1200000,20.14
RPRWMLQLPHMFFFH67CB,坡道平面,1200000,20.14
RPSWMLQLPHMFFFH77CB,坡道平面,1150000,22.15
RPTWMLQLPHMFFFH87CB,坡道平面,1200000,22.15
RPWWMLQLPHMFFFH18CB,坡道平面,1200000,22.15
