編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLMJNHMFFBJ28CA,9,32.25,商業用,鋼筋混凝土造,97年6月6日,十層,十層
RPPPMLMJNHMFFBJ28CA,9,13.88,共用部分,鋼筋混凝土造,97年6月6日,十層,
RPPPMLMJNHMFFBJ28CA,9,6.40,共用部分,鋼筋混凝土造,97年6月6日,十層,
RPPPMLMJNHMFFBJ28CA,9,5.88,共用部分,鋼筋混凝土造,97年6月6日,十層,
RPROMLOJNHMFFBJ58CA,3,128.54,住家用,鋼筋混凝土造,103年10月9日,十九層,十六層
RPROMLOJNHMFFBJ58CA,3,123.41,見其他登記事項,鋼筋混凝土造,103年10月9日,十九層,
RPROMLOJNHMFFBJ58CA,3,.00,見其他登記事項,鋼筋混凝土造,103年10月9日,十九層,
RPROMLOJNHMFFBJ58CA,3,.65,商業用,鋼筋混凝土造,103年10月9日,十九層,
RPROMLOJNHMFFBJ58CA,3,.00,見其他登記事項,鋼筋混凝土造,103年10月9日,十九層,
RPROMLOJNHMFFBJ58CA,3,.61,商業用,鋼筋混凝土造,103年10月9日,十九層,
RPSNMLKKNHMFFBJ28CA,3,158.45,住家用,鋼筋混凝土造,102年11月26日,二十層,十層
RPSNMLKKNHMFFBJ28CA,3,103.08,見其他登記事項,鋼筋混凝土造,102年11月26日,二十層,
RPSNMLKKNHMFFBJ28CA,3,20.12,見其他登記事項,鋼筋混凝土造,102年11月26日,二十層,
RPPOMLOJNHMFFBJ38CA,16,138.41,住家用,鋼筋混凝土造,89年11月23日,四層,一層 二層 三層 四層
RPSPMLNJNHMFFBJ68CA,13,91.88,住家用,鋼筋混凝土造,93年6月1日,十層,三層
RPSPMLNJNHMFFBJ68CA,13,12.58,共用部分,鋼筋混凝土造,93年6月1日,十層,
RPSPMLNJNHMFFBJ68CA,13,20.18,共用部分,鋼筋混凝土造,93年6月1日,十層,
RPSPMLNJNHMFFBJ68CA,13,.06,見其他登記事項,鋼筋混凝土造,93年6月1日,十層,
RPSPMLNJNHMFFBJ68CA,13,.01,共用部分,鋼筋混凝土造,93年6月1日,十層,
RPSPMLNJNHMFFBJ68CA,13,24.81,共用部分,鋼筋混凝土造,93年6月1日,十層,
RPQNMLNJNHMFFBJ28CA,13,254.15,住家用,見其他登記事項,93年4月2日,二層,一層 二層
RPUOMLNJNHMFFBJ78CA,1,133.96,住家用,鋼筋混凝土造,104年11月2日,二十七層,二十層
RPUOMLNJNHMFFBJ78CA,1,98.24,見其他登記事項,鋼筋混凝土造,104年11月2日,二十七層,
RPWNMLPJNHMFFBJ09CA,4,255.87,住家用,鋼筋混凝土造,102年5月15日,二十四層,十一層
RPWNMLPJNHMFFBJ09CA,4,115.16,見其他登記事項,鋼筋混凝土造,102年5月15日,二十四層,
RPWNMLPJNHMFFBJ09CA,4,53.84,見其他登記事項,鋼筋混凝土造,102年5月15日,二十四層,
RPPOMLRKNHMFFBJ78CA,2,.04,住家用,鋼筋混凝土造,104年4月17日,二十九層,
RPPOMLRKNHMFFBJ78CA,2,29.75,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPPOMLRKNHMFFBJ78CA,2,103.80,住家用,鋼筋混凝土造,104年4月17日,二十九層,二十七層
RPPOMLRKNHMFFBJ78CA,2,.00,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPPOMLRKNHMFFBJ78CA,2,23.40,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPPOMLRKNHMFFBJ78CA,2,18.05,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPPOMLRKNHMFFBJ78CA,2,6.40,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPOPMLPKNHMFFBJ58CA,12,214.98,住家用,鋼筋混凝土造,94年5月23日,四層,一層 二層 三層 四層 屋頂突出物
RPWNMLKKNHMFFCJ78CA,25,83.98,住家用,鋼筋混凝土造,80年11月5日,五層,五層
RPWNMLKKNHMFFCJ78CA,,27.01,共用部分,鋼筋混凝土造,,五層,
