編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSNMLSJNHMFFDK66CA,一樓平面,700000,
RPSNMLNJNHMFFFK98CA,升降機械,0,
RPPNMLOJNHMFFFK78CA,坡道機械,0,
RPUNMLSJNHMFFDK86CA,坡道平面,1000000,16.85
RPXNMLLKNHMFFBK98CA,一樓平面,0,
RPOOMLLKNHMFFBK18CA,一樓平面,0,
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.43
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPSNMLTKNHMFFFK07CA,坡道平面,0,13.70
RPQNMLRLNHMFFDK56CA,其他,0,
RPSNMLRLNHMFFDK76CA,其他,0,
RPROMLPJNHMFFFK56CA,坡道平面,800000,28.48
RPSOMLPJNHMFFFK66CA,坡道平面,650000,28.48
RPXOMLPJNHMFFFK17CA,坡道平面,800000,28.48
RPOPMLPJNHMFFFK98CA,坡道平面,750000,28.48
RPTOMLPJNHMFFFK76CA,坡道平面,800000,28.48
RPUOMLPJNHMFFFK86CA,坡道平面,800000,28.48
RPWOMLPJNHMFFFK07CA,坡道平面,800000,28.48
RPVOMLPJNHMFFFK96CA,坡道平面,700000,28.48
RPQNMLKKNHMFFFK58CA,坡道機械,0,
RPPNMLPJNHMFFBK48CA,坡道平面,300000,
RPQNMLPJNHMFFBK58CA,坡道平面,400000,
RPWOMLQLNHMFFDK17CA,坡道平面,900000,
RPQNMLTJNHMFFFK76CA,坡道機械,0,9.96
RPSNMLPKNHMFFFK66CA,坡道機械,0,
RPRNMLPKNHMFFFK56CA,坡道機械,0,
RPTNMLPKNHMFFFK76CA,坡道機械,0,
RPXNMLSKNHMFFFK47CA,坡道平面,700000,26.43
RPPNMLKMNHMFFDK48CA,坡道平面,1000000,16.85
RPTNMLTJNHMFFBK66CA,坡道機械,0,
RPOOMLNJOHMFFDK58CA,坡道平面,1000000,26.44
RPXNMLNJOHMFFDK76CA,坡道平面,900000,26.44
RPSRMLQJOHMFFDK96CA,坡道平面,0,
RPPNMLKKNHMFFDK28CA,一樓平面,0,
RPQOMLMKNHMFFFK88CA,坡道平面,450000,16.66
RPUNMLQKNHMFFFK96CA,一樓平面,0,
RPRNMLMKNHMFFDK68CA,坡道平面,850000,26.42
RPPNMLMKNHMFFFK68CA,坡道平面,0,20.00
RPQNMLLKNHMFFFK68CA,坡道機械,0,
RPXNMLSKNHMFFBK07CA,坡道平面,0,
RPUNMLPLNHMFFBK56CA,坡道平面,0,
RPQNMLMKNHMFFFK78CA,坡道平面,650000,29.84
RPRNMLMKNHMFFFK88CA,坡道平面,650000,29.84
RPOOMLMKNHMFFDK48CA,坡道平面,0,
RPSNMLMKNHMFFFK98CA,坡道平面,650000,28.48
RPUNMLMKNHMFFFK56CA,坡道平面,750000,28.48
RPWNMLMKNHMFFFK76CA,坡道平面,800000,28.48
RPXNMLMKNHMFFFK86CA,坡道平面,750000,27.34
RPOOMLMKNHMFFFK68CA,坡道平面,650000,28.48
RPRNMLLMNHMFFFK98CA,坡道平面,850000,41.12
RPRNMLMKOHMFFDK78CA,一樓平面,0,
RPVNMLOLNHMFFDK76CA,坡道平面,700000,45.79
RPUNMLOLNHMFFDK66CA,坡道平面,1050000,47.23
RPSNMLOLNHMFFDK09CA,坡道平面,0,47.23
RPSNMLOLNHMFFDK09CA,坡道平面,0,47.23
RPTNMLOLNHMFFDK56CA,坡道平面,1000000,47.23
RPROMLQJOHMFFDK56CA,坡道平面,0,
RPXNMLQJOHMFFDK07CA,坡道平面,0,
RPWNMLQJOHMFFDK96CA,坡道平面,0,
RPQOMLQJOHMFFDK09CA,坡道平面,0,
RPOOMLQJOHMFFDK88CA,坡道平面,0,
RPUNMLQJOHMFFDK76CA,坡道平面,0,
RPTNMLQJOHMFFDK66CA,坡道平面,0,
RPPOMLQJOHMFFDK98CA,坡道平面,0,
RPVNMLQJOHMFFDK86CA,坡道平面,0,
RPSNMLQJOHMFFDK56CA,坡道平面,0,
RPXOMLQLNHMFFDK27CA,坡道機械,450000,
RPTOMLQJOHMFFDK76CA,坡道平面,0,
RPPPMLQJOHMFFDK09CA,坡道平面,0,
RPOPMLQJOHMFFDK98CA,坡道平面,0,
RPUOMLQJOHMFFDK86CA,坡道平面,0,
RPVOMLQJOHMFFDK96CA,坡道平面,0,
RPWOMLQJOHMFFDK07CA,坡道平面,0,
RPQOMLQKNHMFFDK09CA,坡道平面,0,
RPXNMLQKNHMFFFK27CA,坡道平面,0,
RPRNMLSKNHMFFFK86CA,坡道平面,0,
RPOPMLQLNHMFFDK09CA,坡道機械,450000,
RPSNMLMLNHMFFDK88CA,其他,0,
RPSPMLQJOHMFFDK76CA,坡道平面,0,
RPTPMLQJOHMFFDK86CA,坡道平面,0,
RPRPMLQJOHMFFDK66CA,坡道平面,0,
RPWPMLQJOHMFFDK17CA,坡道平面,0,
RPXPMLQJOHMFFDK27CA,坡道平面,0,
RPSQMLQJOHMFFDK86CA,坡道平面,0,
RPQQMLQJOHMFFDK66CA,坡道平面,0,
RPOQMLQJOHMFFDK09CA,坡道平面,0,
RPUPMLQJOHMFFDK96CA,坡道平面,0,
RPTQMLQJOHMFFDK96CA,坡道平面,0,
RPPQMLQJOHMFFDK56CA,坡道平面,0,
RPPNMLOLNHMFFDK78CA,升降機械,0,
RPVNMLRKNHMFFFK17CA,坡道機械,0,
RPQNMLMLNHMFFDK68CA,一樓平面,0,
RPWNMLTKNHMFFDK27CA,坡道機械,500000,6.62
RPTNMLNLNHMFFFK66CA,坡道平面,700000,29.84
RPVNMLNLNHMFFFK86CA,坡道平面,750000,28.48
RPWNMLNLNHMFFFK96CA,坡道平面,750000,28.48
RPXNMLNLNHMFFFK07CA,坡道平面,800000,28.48
RPPOMLNLNHMFFFK98CA,坡道平面,650000,28.48
RPQOMLNLNHMFFFK09CA,坡道平面,650000,28.48
RPROMLNLNHMFFFK56CA,坡道平面,700000,28.48
RPSOMLNLNHMFFFK66CA,坡道平面,700000,28.48
RPUOMLNLNHMFFFK86CA,坡道平面,800000,28.48
RPSNMLOLNHMFFFK66CA,坡道平面,0,
RPRNMLMJOHMFFFK88CA,坡道平面,650000,29.84
RPQOMLRJOHMFFFK76CA,坡道平面,1900000,30.12
RPQOMLRJOHMFFFK76CA,坡道平面,0,30.12
RPOOMLRJOHMFFFK56CA,坡道平面,900000,30.12
RPXNMLRJOHMFFFK37CA,坡道平面,900000,30.12
RPPOMLRJOHMFFFK66CA,坡道平面,900000,30.12
RPXNMLMLNHMFFDK76CA,一樓平面,0,
RPVOMLQLNHMFFDK07CA,坡道機械,0,
RPQOMLNJOHMFFDK78CA,其他,0,
RPSNMLPKOHMFFBK98CA,一樓平面,0,
RPOOMLRJOHMFFDK98CA,坡道平面,1000000,28.25
RPPNMLOLNHMFFFK98CA,坡道機械,0,
RPPNMLQLNHMFFFK56CA,坡道機械,0,
RPVNMLLLOHMFFDK56CA,坡道平面,0,
RPPNMLTKOHMFFFK86CA,坡道平面,600000,28.29
RPTNMLQLNHMFFDK76CA,坡道機械,0,7.30
RPPNMLMJOHMFFDK48CA,一樓平面,0,
RPPNMLQLNHMFFDK98CA,一樓平面,0,
RPUOMLSJOHMFFDK07CA,坡道平面,0,32.12
RPUOMLSJOHMFFDK07CA,坡道平面,0,32.12
SPUOMLSJOHMFFDK17CA,坡道平面,0,32.12
SPUOMLSJOHMFFDK17CA,坡道平面,0,32.12
TPUOMLSJOHMFFDK27CA,坡道平面,0,35.07
TPUOMLSJOHMFFDK27CA,坡道平面,0,32.12
RPXPMLQKOHMFFDK37CA,一樓平面,0,14.56
RPVPMLQKOHMFFDK17CA,一樓平面,0,14.56
RPUPMLQKOHMFFDK07CA,一樓平面,0,14.56
RPTPMLQKOHMFFDK96CA,一樓平面,0,14.56
RPWPMLQKOHMFFDK27CA,一樓平面,0,14.56
RPQOMLLMNHMFFDK78CA,坡道平面,0,
RPUNMLMJOHMFFBK78CA,坡道平面,400000,
RPVNMLMJOHMFFBK88CA,坡道平面,400000,
RPOOMLLJOHMFFDK38CA,坡道平面,0,
RPORMLQJOHMFFDK56CA,坡道平面,0,
RPXQMLQJOHMFFDK37CA,坡道平面,0,
RPVOMLSJOHMFFDK17CA,坡道平面,0,32.12
RPVOMLSJOHMFFDK17CA,坡道平面,0,32.12
RPWOMLSJOHMFFDK27CA,坡道平面,0,32.12
RPWOMLSJOHMFFDK27CA,坡道平面,0,32.12
RPXNMLRJOHMFFDK17CA,坡道平面,1000000,28.25
RPSNMLMJOHMFFFK98CA,坡道平面,800000,29.84
RPTNMLMJOHMFFFK09CA,坡道平面,750000,28.76
RPVNMLMJOHMFFFK66CA,坡道平面,750000,28.48
RPUNMLMJOHMFFFK56CA,坡道平面,750000,28.48
RPSNMLNJOHMFFFK09CA,坡道機械,0,16.66
RPPOMLMJOHMFFFK78CA,坡道平面,800000,28.48
RPOOMLMJOHMFFFK68CA,坡道平面,800000,28.48
RPXNMLMJOHMFFFK86CA,坡道平面,800000,28.48
RPTOMLMJOHMFFFK56CA,坡道機械,0,
RPQOMLMJOHMFFFK88CA,坡道平面,0,28.48
RPQNMLMJOHMFFFK78CA,坡道平面,0,
RPRNMLRJOHMFFFK76CA,坡道平面,1800000,30.12
RPRNMLRJOHMFFFK76CA,坡道平面,0,30.12
RPVNMLRJOHMFFFK17CA,坡道平面,1800000,30.12
RPVNMLRJOHMFFFK17CA,坡道平面,0,30.12
RPWNMLRJOHMFFFK27CA,坡道平面,1800000,30.12
RPWNMLRJOHMFFFK27CA,坡道平面,0,30.12
RPUNMLSJOHMFFDK96CA,坡道平面,900000,47.23
RPSNMLSJOHMFFDK76CA,坡道平面,1050000,47.23
RPVNMLSJOHMFFDK07CA,坡道平面,900000,47.23
RPTNMLSJOHMFFDK86CA,坡道平面,1050000,47.23
RPQOMLPKOHMFFBK88CA,一樓平面,0,
RPTOMLPKOHMFFBK56CA,一樓平面,0,
RPSOMLPKOHMFFBK09CA,一樓平面,0,
RPOOMLSJOHMFFDK09CA,坡道機械,0,
RPWNMLSJOHMFFDK17CA,坡道機械,0,
RPRNMLSJOHMFFDK66CA,坡道平面,0,
RPQOMLRJOHMFFDK56CA,坡道平面,950000,21.00
RPWNMLKMOHMFFDK66CA,坡道平面,950000,21.00
RPOQMLQKOHMFFDK56CA,其他,600000,
RPPQMLQKOHMFFDK66CA,其他,600000,
RPRSMLQJOHMFFDK96CA,坡道平面,900000,21.02
RPSSMLQJOHMFFDK07CA,坡道平面,0,21.02
RPVSMLQJOHMFFDK37CA,坡道平面,900000,21.02
RPTSMLQJOHMFFDK17CA,坡道平面,0,21.02
RPVNMLRJOHMFFDK96CA,坡道平面,900000,21.02
RPSNMLOJRHMFFDK66CA,坡道平面,0,21.00
RPXOMLSJOHMFFDK37CA,坡道平面,900000,32.12
RPXNMLLLOHMFFBK56CA,坡道平面,0,12.38
RPQNMLTJOHMFFDK66CA,坡道平面,0,
RPQNMLPKOHMFFBK88DA,一樓平面,0,
RPTNMLNKOHMFFFK66CA,一樓平面,0,
RPRNMLTJOHMFFFK96CA,坡道機械,0,9.96
RPPNMLSJOHMFFBK88CA,坡道平面,0,
RPPNMLTJOHMFFDK56CA,坡道平面,0,
RPPNMLSJOHMFFDK09CA,一樓平面,0,
RPSNMLTJOHMFFDK86CA,一樓平面,0,
RPQNMLQLOHMFFFK76CA,坡道平面,1000000,26.43
RPWOMLOJPHMFFDK96CA,一樓平面,1000000,20.00
RPSPMLOJPHMFFDK66CA,一樓平面,1000000,20.00
RPROMLPJPHMFFDK56CA,坡道平面,1000000,20.00
RPPPMLOJPHMFFDK98CA,一樓平面,1000000,20.00
RPXOMLOJPHMFFDK07CA,坡道平面,1000000,20.00
RPRPMLOJPHMFFDK56CA,坡道平面,1000000,20.00
RPOPMLOJPHMFFDK88CA,坡道平面,1000000,20.00
RPXNMLSKPHMFFDK47CA,坡道機械,450000,12.06
RPRNMLOKOHMFFDK98CA,一樓平面,700000,
RPRNMLSLOHMFFDK86CA,坡道平面,1100000,48.24
RPSNMLSLOHMFFDK96CA,坡道平面,1100000,48.24
RPVNMLNKOHMFFFK86CA,坡道平面,0,
RPUNMLNKOHMFFFK76CA,坡道平面,0,
RPRNMLNKOHMFFFK09CA,坡道平面,0,
RPPNMLNKOHMFFFK88CA,坡道平面,0,
RPPNMLNKOHMFFFK88CA,坡道機械,0,
RPPNMLPKOHMFFDK88CA,坡道機械,0,
RPUNMLKLOHMFFDK98CA,坡道平面,0,
RPUNMLKLOHMFFDK98CA,坡道平面,0,
RPPNMLNJPHMFFBK48CA,升降平面,0,
RPPNMLMLJIMFFFK48CA,坡道平面,0,
RPWOMLQKOHMFFDK17CA,坡道平面,0,
RPTOMLQKOHMFFDK86CA,坡道平面,0,
RPQNMLQKOHMFFDK09CA,坡道平面,0,28.93
RPUOMLQKOHMFFDK96CA,坡道平面,0,
RPRNMLLKPHMFFBK58CA,坡道平面,0,
RPVPMLKLOHMFFDK66CA,一樓平面,0,14.71
RPSNMLSKPHMFFFK17CA,坡道機械,620000,16.66
RPTNMLSKPHMFFFK27CA,坡道機械,620000,16.66
RPUNMLSKPHMFFFK37CA,坡道平面,800000,25.06
RPQOMLSLOHMFFDK86CA,坡道機械,0,
RPPNMLLLOHMFFBK38CA,升降機械,0,6.57
RPVNMLKLOHMFFFK66CA,一樓平面,0,
RPQNMLLLOHMFFFK88CA,一樓平面,0,
RPSNMLMLOHMFFBK78CA,一樓平面,0,
RPPNMLNLOHMFFDK78CA,坡道機械,450000,21.00
RPSNMLQLOHMFFDK76CA,一樓平面,0,
RPQNMLNLOHMFFDK88CA,坡道機械,0,
RPVNMLSKPHMFFFK47CA,坡道平面,900000,28.42
RPTNMLMLOHMFFFK66CA,坡道平面,900000,26.68
RPUNMLQLOHMFFFK17CA,坡道平面,800000,28.48
RPTNMLQLOHMFFFK07CA,坡道平面,700000,29.84
RPWNMLQLOHMFFFK37CA,坡道平面,700000,28.48
RPVNMLQLOHMFFFK27CA,坡道平面,650000,28.48
RPSNMLMLOHMFFFK56CA,坡道平面,900000,26.68
RPTNMLOJPHMFFFK76CA,坡道平面,0,
RPSNMLMLOHMFFDK98CA,坡道機械,500000,6.62
RPQNMLPJPHMFFDK98CA,坡道平面,1000000,28.25
RPRRMLNJPHMFFDK66CA,坡道平面,570000,28.25
RPVNMLSLOHMFFDK27CA,坡道平面,950000,47.23
RPWNMLSLOHMFFDK37CA,坡道平面,950000,47.23
RPUNMLSLOHMFFDK17CA,坡道平面,900000,47.23
RPTNMLSLOHMFFDK07CA,坡道平面,950000,47.23
RPURMLNJPHMFFDK96CA,坡道平面,850000,28.25
RPVRMLNJPHMFFDK07CA,坡道平面,1850000,28.25
RPVRMLNJPHMFFDK07CA,坡道平面,0,28.25
RPPOMLOLPHMFFDK09CA,坡道平面,0,28.25
RPPOMLOLPHMFFDK09CA,坡道平面,0,24.72
RPPOMLNJPHMFFDK78CA,坡道平面,900000,24.72
RPRNMLQLOHMFFFK86CA,坡道平面,0,
RPPUMLKMOHMFFFK86CA,升降機械,0,5.17
RPQUMLKMOHMFFFK96CA,升降機械,0,5.17
RPPNMLNJPHMFFFK88CA,坡道機械,0,9.96
RPUPMLTLOHMFFFK67CA,坡道平面,950000,41.12
RPXRMLNJPHMFFDK27CA,坡道平面,1100000,28.25
RPUOMLNJPHMFFDK66CA,坡道平面,850000,24.72
RPWRMLNJPHMFFDK17CA,坡道平面,1000000,28.25
RPWNMLNJPHMFFBK56CA,坡道平面,0,
RPUNMLRKPHMFFDK07CA,坡道平面,900000,
RPSOMLPLPHMFFBK66CA,一樓平面,0,13.04
RPXOMLNJPHMFFDK96CA,坡道平面,900000,21.02
RPVOMLNJPHMFFDK76CA,坡道平面,1000000,21.02
RPWOMLNJPHMFFDK86CA,坡道平面,900000,22.82
RPOPMLNJPHMFFDK78CA,坡道平面,900000,21.02
RPPPMLNJPHMFFDK88CA,坡道機械,900000,21.02
RPWNMLSLOHMFFFK57CA,坡道平面,0,20.00
RPUOMLSLOHMFFFK47CA,坡道平面,800000,28.48
RPVOMLSLOHMFFFK57CA,坡道平面,800000,28.48
RPVOMLSLOHMFFFK57CA,坡道平面,800000,28.48
RPRPMLSLOHMFFFK27CA,坡道平面,550000,27.34
RPQPMLSLOHMFFFK17CA,坡道平面,800000,28.48
RPUPMLSLOHMFFFK57CA,坡道平面,800000,28.48
RPSNMLRLOHMFFFK07CA,坡道平面,700000,29.84
RPRNMLRLOHMFFFK96CA,坡道平面,800000,29.84
RPTNMLRLOHMFFFK17CA,坡道平面,650000,29.84
RPVNMLRLOHMFFFK37CA,坡道平面,650000,28.48
RPWNMLRLOHMFFFK47CA,坡道平面,800000,28.48
RPXNMLLKQHMFFDK86CA,坡道機械,0,
RPVNMLLKQHMFFDK66CA,坡道平面,0,19.31
RPUNMLLKQHMFFDK56CA,坡道平面,0,21.00
RPRNMLLKQHMFFDK88CA,坡道平面,0,21.00
RPSNMLLKQHMFFDK98CA,坡道平面,0,21.00
RPWPMLSLOHMFFFK77CA,坡道平面,0,30.91
RPRPMLNJPHMFFDK09CA,坡道機械,900000,21.02
RPWNMLPJPHMFFDK96CA,坡道平面,0,
RPVNMLPJPHMFFDK86CA,坡道平面,0,
RPQNMLOJPHMFFDK88CA,坡道平面,800000,24.72
RPPNMLOJPHMFFDK78CA,坡道平面,850000,28.25
RPRNMLOJPHMFFDK98CA,坡道平面,900000,24.72
RPTNMLOJPHMFFDK56CA,坡道平面,800000,24.72
