編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPRNMLMJNHMFFCQ09CA,一樓平面,0,
RPUNMLNJNHMFFCQ86CA,坡道平面,0,
RPVNMLNJNHMFFCQ96CA,坡道平面,230000,
RPUNMLTKNHMFFCQ57CA,坡道平面,0,
RPWOMLLJOHMFFCQ07CA,坡道機械,0,
RPOOMLSKNHMFFCQ96CA,其他,0,
RPUNMLNLNHMFFDQ17CA,坡道機械,0,
RPRNMLPLNHMFFBQ86CA,坡道機械,0,
RPRNMLQLNHMFFCQ07CA,其他,0,
RPRNMLPJOHMFFEQ07CA,坡道平面,0,
RPXNMLLLOHMFFDQ37CA,坡道平面,800000,29.87
RPVNMLLLOHMFFDQ17CA,坡道平面,760000,29.87
RPOOMLLLOHMFFDQ56CA,坡道平面,710000,29.87
RPOPMLLLOHMFFDQ66CA,坡道平面,690000,29.87
RPRPMLLLOHMFFDQ96CA,坡道平面,780000,29.87
RPQPMLLLOHMFFDQ86CA,坡道平面,720000,29.87
RPRQMLLLOHMFFDQ07CA,坡道平面,720000,29.87
RPSPMLLLOHMFFDQ07CA,坡道平面,740000,29.87
RPTPMLLLOHMFFDQ17CA,坡道平面,760000,29.87
RPWQMLLLOHMFFDQ57CA,坡道平面,780000,29.87
RPSOMLNLOHMFFDQ17CA,坡道平面,690000,29.87
RPPOMLNLOHMFFDQ86CA,坡道平面,740000,29.87
RPVOMLNLOHMFFDQ47CA,坡道平面,0,29.87
RPVOMLNLOHMFFDQ47CA,坡道平面,0,29.86
RPWNMLNLOHMFFDQ47CA,坡道平面,770000,29.87
RPQOMLNLOHMFFDQ96CA,坡道平面,790000,29.87
RPXNMLNLOHMFFDQ57CA,坡道平面,740000,29.87
RPUOMLNLOHMFFDQ37CA,坡道平面,780000,29.87
RPOOMLNLOHMFFDQ76CA,坡道平面,740000,29.87
RPTOMLNLOHMFFDQ27CA,坡道平面,750000,29.87
RPWOMLNLOHMFFDQ57CA,坡道平面,740000,29.87
RPOPMLNLOHMFFDQ86CA,坡道平面,750000,29.87
RPXOMLNLOHMFFDQ67CA,坡道平面,0,29.87
RPXOMLNLOHMFFDQ67CA,坡道平面,0,29.86
RPQPMLNLOHMFFDQ07CA,坡道平面,780000,29.87
RPPPMLNLOHMFFDQ96CA,坡道平面,710000,29.87
RPXPMLNLOHMFFDQ77CA,坡道平面,670000,29.87
RPVPMLNLOHMFFDQ57CA,坡道平面,0,29.87
RPVPMLNLOHMFFDQ57CA,坡道平面,0,29.86
RPWPMLNLOHMFFDQ67CA,坡道平面,770000,29.87
RPRPMLNLOHMFFDQ17CA,坡道平面,740000,29.87
RPUPMLNLOHMFFDQ47CA,坡道平面,760000,29.87
RPTPMLNLOHMFFDQ37CA,坡道平面,740000,29.87
RPOQMLNLOHMFFDQ96CA,坡道平面,730000,29.87
RPPQMLNLOHMFFDQ07CA,坡道平面,710000,29.87
RPSOMLMLOHMFFDQ07CA,坡道平面,670000,29.87
RPVOMLMLOHMFFDQ37CA,坡道平面,800000,29.87
RPXOMLMLOHMFFDQ57CA,坡道平面,790000,29.87
RPUNMLTLOHMFFDQ87CA,坡道平面,660000,29.87
RPWOMLMLOHMFFDQ47CA,坡道平面,760000,29.87
RPQRMLNLOHMFFDQ27CA,坡道平面,730000,29.87
RPXQMLNLOHMFFDQ87CA,坡道平面,710000,29.87
RPUPMLMLOHMFFDQ37CA,坡道平面,720000,29.87
RPVPMLMLOHMFFDQ47CA,坡道平面,770000,29.87
RPPQMLMLOHMFFDQ96CA,坡道平面,790000,29.87
RPRQMLMLOHMFFDQ17CA,坡道平面,630000,29.87
RPSNMLNLOHMFFDQ07CA,坡道平面,810000,29.87
RPSQMLNLOHMFFDQ37CA,坡道平面,690000,29.87
RPWQMLNLOHMFFDQ77CA,坡道平面,710000,29.87
RPRPMLMLOHMFFDQ07CA,坡道平面,600000,29.87
RPSQMLMLOHMFFDQ27CA,坡道平面,770000,29.87
RPVQMLNLOHMFFDQ67CA,坡道平面,710000,29.87
RPTQMLNLOHMFFDQ47CA,坡道平面,680000,29.87
RPUQMLNLOHMFFDQ57CA,坡道平面,670000,29.87
RPRNMLNLOHMFFDQ96CA,坡道平面,690000,29.87
RPQQMLNLOHMFFDQ17CA,坡道平面,680000,29.87
RPORMLNLOHMFFDQ07CA,坡道平面,750000,29.87
RPPRMLNLOHMFFDQ17CA,坡道平面,690000,29.87
RPTNMLLKPHMFFDQ96CA,坡道平面,690000,29.87
RPOPMLTLOHMFFDQ47CA,坡道平面,720000,29.87
RPROMLKMOHMFFDQ86CA,坡道平面,710000,29.87
RPPOMLOJPHMFFDQ86CA,坡道平面,720000,29.87
RPUNMLPJPHMFFDQ37CA,坡道平面,710000,29.87
RPRQMLNLOHMFFDQ27CA,坡道平面,710000,29.87
RPWOMLTLOHMFFDQ18CA,坡道平面,720000,29.87
RPVOMLTLOHMFFDQ08CA,坡道平面,760000,29.87
RPOOMLKMOHMFFDQ56CA,坡道平面,680000,29.87
RPPOMLKMOHMFFDQ66CA,坡道平面,730000,29.87
RPTNMLQLOHMFFDQ47CA,坡道平面,790000,29.87
RPUNMLQLOHMFFDQ57CA,坡道平面,740000,29.87
RPTNMLKMOHMFFDQ96CA,坡道平面,640000,29.87
RPPNMLKMOHMFFDQ56CA,坡道平面,620000,29.87
