編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLNJQHMFFCC18CA,48,54.00,住家用,加強磚造,58年11月18日,二層,二層
RPRNMLNJQHMFFCC08CA,32,109.14,住家用,鋼筋混凝土造,74年5月23日,五層,二層
RPRNMLNJQHMFFCC08CA,32,8.91,共用部份,鋼筋混凝土造,74年5月23日,五層,
RPXNMLMJQHMFFCC58CA,21,59.10,住家用,鋼筋混凝土造,85年6月15日,十一層,十層
RPXNMLMJQHMFFCC58CA,21,.58,共用部份,鋼筋混凝土造,85年6月15日,十一層,
RPXNMLMJQHMFFCC58CA,21,2.65,共用部份,鋼筋混凝土造,85年6月15日,十一層,
RPXNMLMJQHMFFCC58CA,21,4.19,共用部份,鋼筋混凝土造,85年6月15日,十一層,
RPTNMLOJQHMFFCC38CA,1,95.22,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,十七層
RPTNMLOJQHMFFCC38CA,1,.92,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLOJQHMFFCC38CA,1,54.77,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPTNMLOJQHMFFCC38CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPTNMLOJQHMFFCC38CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLOJQHMFFCC38CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSNMLOJQHMFFCC28CA,1,95.22,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,二十一層
RPSNMLOJQHMFFCC28CA,1,.92,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPSNMLOJQHMFFCC28CA,1,54.77,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSNMLOJQHMFFCC28CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,
