編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRQMLMJQHMFFAH58CA,26,137.09,住家用,鋼筋混凝土造,80年1月17日,五層,一層 二層 三層
RPRQMLMJQHMFFAH58CA,26,6.35,共有部份,鋼筋混凝土造,80年1月17日,五層,
RPRQMLMJQHMFFAH58CA,26,25.34,共有部份,鋼筋混凝土造,80年1月17日,五層,
RPVNMLLJQHMFFAH58CA,37,21.95,見其他登記事項,鋼筋混凝土造,69年10月7日,十二層,四層
RPVNMLLJQHMFFAH58CA,37,8.47,共有部份,鋼筋混凝土造,69年10月7日,十二層,
RPPQMLMJQHMFFAH38CA,35,132.93,住家用,鋼筋混凝土造,71年10月4日,五層,二層
RPOPMLLJQHMFFAH08CA,19,63.38,住家用,鋼筋混凝土造,87年1月21日,九層,四層
RPOPMLLJQHMFFAH08CA,19,8.07,共有部份,鋼筋混凝土造,87年1月21日,九層,
RPOPMLLJQHMFFAH08CA,19,13.30,共有部份,鋼筋混凝土造,87年1月21日,九層,
RPOPMLLJQHMFFAH08CA,19,.06,見其他登記事項,鋼筋混凝土造,87年1月21日,九層,
RPOPMLLJQHMFFAH08CA,19,21.41,共有部份,鋼筋混凝土造,87年1月21日,九層,
RPQNMLLKQHMFFAH18CA,37,89.25,住家用,鋼筋混凝土造,69年8月20日,六層,六層 陽台
RPQNMLLKQHMFFAH18CA,37,5.44,共有部份,鋼筋混凝土造,69年8月20日,六層,
RPXNMLKKQHMFFAH78CA,22,112.32,住家用,鋼筋混凝土造,84年2月20日,十二層,十二層
RPXNMLKKQHMFFAH78CA,22,41.89,共有部份,鋼筋混凝土造,84年2月20日,十二層,
RPSNMLQKQHMFFAH88CA,,67.36,住家用,鋼筋混凝土造,106年1月23日,十四層,八層
RPSNMLQKQHMFFAH88CA,,17.20,見其他登記事項,鋼筋混凝土造,106年1月23日,十四層,
RPSNMLQKQHMFFAH88CA,,63.26,見其他登記事項,鋼筋混凝土造,106年1月23日,十四層,
RPTOMLKKQHMFFAH48CA,3,98.17,住家用,鋼筋混凝土造,103年9月30日,十二層,十層
RPTOMLKKQHMFFAH48CA,3,16.85,見其他登記事項,鋼筋混凝土造,103年9月30日,十二層,
RPTOMLKKQHMFFAH48CA,3,58.37,見其他登記事項,鋼筋混凝土造,103年9月30日,十二層,
RPROMLPKQHMFFAH78CA,21,35.91,住家用,鋼筋混凝土造,85年4月12日,二十一層,三層
RPROMLPKQHMFFAH78CA,21,6.16,共有部份,鋼筋混凝土造,85年4月12日,二十一層,
RPROMLPKQHMFFAH78CA,21,3.83,共有部份,鋼筋混凝土造,85年4月12日,十三層,
RPUOMLKMQHMFFAH78CA,13,361.31,見其他登記事項,鋼筋混凝土造,93年5月24日,五層,一層 二層 三層 四層 五層
RPUOMLKMQHMFFAH78CA,13,2.36,共有部份,鋼筋混凝土造,93年5月24日,三層,
RPTNMLSLQHMFFAH66CA,1,68.61,住家用,鋼筋混凝土造,105年11月2日,十五層,二層
RPTNMLSLQHMFFAH66CA,1,17.57,見其他登記事項,鋼筋混凝土造,105年11月2日,十五層,
RPTNMLSLQHMFFAH66CA,1,44.41,見其他登記事項,鋼筋混凝土造,105年11月2日,十五層,
RPUNMLSLQHMFFAH76CA,1,97.79,住家用,鋼筋混凝土造,105年11月2日,十五層,十二層
RPUNMLSLQHMFFAH76CA,1,23.88,見其他登記事項,鋼筋混凝土造,105年11月2日,十五層,
RPUNMLSLQHMFFAH76CA,1,50.08,見其他登記事項,鋼筋混凝土造,105年11月2日,十五層,
RPPOMLSLQHMFFAH98CA,4,90.44,住家用,鋼筋混凝土造,102年6月15日,十三層,十三層
RPPOMLSLQHMFFAH98CA,4,22.14,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPPOMLSLQHMFFAH98CA,4,75.01,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPRNMLQLQHMFFAH88CA,,208.03,住家用,鋼筋混凝土造,106年3月22日,二十三層,二十層
RPRNMLQLQHMFFAH88CA,,187.87,見其他登記事項,鋼筋混凝土造,106年3月22日,二十三層,
RPTNMLQLQHMFFAH09CA,,202.69,住家用,鋼筋混凝土造,106年3月22日,二十三層,十六層
