編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMJQHMFFBJ68CC,7,91.27,住家用,鋼筋混凝土造,99年12月14日,十三層,
RPQNMLMJQHMFFBJ68CC,7,81.02,見其他登記事項,鋼筋混凝土造,99年12月14日,十五層,
RPQNMLMJQHMFFBJ68CC,7,18.67,見其他登記事項,鋼筋混凝土造,99年12月14日,十三層,
RPTNMLMJQHMFFBJ98CC,1,64.47,住家用,鋼筋混凝土造,105年6月8日,二十七層,
RPTNMLMJQHMFFBJ98CC,1,19.88,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPTNMLMJQHMFFBJ98CC,1,40.68,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPRNMLMJQHMFFBJ78CC,14,85.44,住家用,鋼筋混凝土造,92年2月27日,十層,
RPRNMLMJQHMFFBJ78CC,14,11.23,共用部分,鋼筋混凝土造,92年2月27日,十層,
RPRNMLMJQHMFFBJ78CC,14,11.75,共用部分,鋼筋混凝土造,92年2月27日,十層,
RPROMLMJQHMFFBJ88CC,13,114.47,住家用,鋼筋混凝土造,93年10月18日,十四層,
RPROMLMJQHMFFBJ88CC,13,26.42,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPROMLMJQHMFFBJ88CC,13,15.20,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPVNMLMJQHMFFBJ56CC,13,87.69,住家用,鋼筋混凝土造,93年5月24日,十四層,
RPVNMLMJQHMFFBJ56CC,13,9.55,共用部分,鋼筋混凝土造,93年5月24日,十四層,
RPVNMLMJQHMFFBJ56CC,13,39.72,共用部分,鋼筋混凝土造,93年5月24日,十四層,
RPXNMLMJQHMFFBJ76CC,1,64.59,住家用,鋼筋混凝土造,105年6月8日,二十七層,
RPXNMLMJQHMFFBJ76CC,1,20.59,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPXNMLMJQHMFFBJ76CC,1,40.68,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPWNMLMJQHMFFBJ66CC,1,114.01,住家用,鋼筋混凝土造,105年6月22日,十九層,
RPWNMLMJQHMFFBJ66CC,1,124.74,見其他登記事項,鋼筋混凝土造,105年6月22日,二十二層,
RPOOMLMJQHMFFBJ58CC,7,86.51,住家用,鋼筋混凝土造,99年12月31日,十二層,
RPOOMLMJQHMFFBJ58CC,7,21.52,見其他登記事項,鋼筋混凝土造,99年12月31日,十二層,
RPOOMLMJQHMFFBJ58CC,7,54.76,見其他登記事項,鋼筋混凝土造,99年12月31日,十二層,
RPQOMLMJQHMFFBJ78CC,12,28.46,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPQOMLMJQHMFFBJ78CC,12,4.00,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPQOMLMJQHMFFBJ78CC,12,6.00,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPPOMLMJQHMFFBJ68CC,4,219.68,住家用,鋼筋混凝土造,102年10月7日,二十二層,
RPPOMLMJQHMFFBJ68CC,4,50.64,見其他登記事項,鋼筋混凝土造,102年10月7日,二十二層,
RPPOMLMJQHMFFBJ68CC,4,42.12,見其他登記事項,鋼筋混凝土造,102年10月7日,二十二層,
RPPOMLMJQHMFFBJ68CC,4,66.84,見其他登記事項,鋼筋混凝土造,102年10月7日,二十二層,
RPUOMLMJQHMFFBJ56CC,2,97.14,住家用,鋼筋混凝土造,104年5月19日,十四層,
RPUOMLMJQHMFFBJ56CC,2,77.27,見其他登記事項,鋼筋混凝土造,104年5月19日,十四層,
RPSOMLMJQHMFFBJ98CC,7,139.99,住家用,鋼筋混凝土造,99年12月14日,十四層,
RPSOMLMJQHMFFBJ98CC,7,89.39,見其他登記事項,鋼筋混凝土造,99年12月14日,十五層,
RPSOMLMJQHMFFBJ98CC,7,27.63,見其他登記事項,鋼筋混凝土造,99年12月14日,十四層,
RPTOMLMJQHMFFBJ09CC,20,85.95,住家用,鋼筋混凝土造,86年11月4日,九層,
RPTOMLMJQHMFFBJ09CC,20,10.13,共用部分,鋼筋混凝土造,86年11月4日,九層,
RPTOMLMJQHMFFBJ09CC,20,10.44,共用部分,鋼筋混凝土造,86年11月4日,九層,
RPVOMLMJQHMFFBJ66CC,2,97.14,住家用,鋼筋混凝土造,104年5月19日,十四層,
RPVOMLMJQHMFFBJ66CC,2,77.27,見其他登記事項,鋼筋混凝土造,104年5月19日,十四層,
RPXOMLMJQHMFFBJ86CC,10,120.21,住家用,鋼筋混凝土造,96年12月7日,十四層,
RPXOMLMJQHMFFBJ86CC,10,21.20,共用部分,鋼筋混凝土造,96年12月7日,十四層,
RPXOMLMJQHMFFBJ86CC,10,30.08,共用部分,鋼筋混凝土造,96年12月7日,十四層,
RPOPMLMJQHMFFBJ68CC,5,98.41,住家用,鋼筋混凝土造,101年12月12日,十三層,
RPOPMLMJQHMFFBJ68CC,5,61.82,見其他登記事項,鋼筋混凝土造,101年12月12日,十四層,
RPOPMLMJQHMFFBJ68CC,5,18.53,見其他登記事項,鋼筋混凝土造,101年12月12日,十四層,
RPPOMLTJQHMFFBJ76CC,20,158.34,住家用,鋼筋混凝土造,86年10月8日,三層,
RPPOMLTJQHMFFBJ76CC,20,43.31,共用部分,鋼筋混凝土造,86年10月8日,三層,
RPOOMLTJQHMFFBJ66CC,9,7.83,見其他登記事項,鋼筋混凝土造,98年1月21日,十三層,
RPOOMLTJQHMFFBJ66CC,9,7919.94,共用部分,鋼筋混凝土造,98年1月21日,十三層,
RPRNMLTJQHMFFBJ96DC,8,65.33,商業用,鋼筋混凝土造,98年9月21日,十層,
RPROMLOKQHMFFBJ56CC,10,83.32,住商用,鋼筋混凝土造,96年4月14日,五層,
RPXNMLRJQHMFFBJ27CC,12,121.38,住家用,鋼筋混凝土造,94年9月23日,十五層,
RPXNMLRJQHMFFBJ27CC,12,17.74,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPXNMLRJQHMFFBJ27CC,12,22.98,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPSOMLOKQHMFFBJ66CC,10,29.16,商業用,鋼筋混凝土造,96年8月27日,十一層,
RPSOMLOKQHMFFBJ66CC,10,30.42,共用部分,鋼筋混凝土造,96年8月27日,十一層,
RPVNMLRJQHMFFBJ07CC,7,49.07,商業用,鋼筋混凝土造,99年2月8日,十八層,
RPVNMLRJQHMFFBJ07CC,7,27.59,共用部分,鋼筋混凝土造,99年2月8日,十八層,
RPSOMLRKQHMFFBJ96CC,14,82.01,共用部分,鋼筋混凝土造,92年10月8日,五層,
RPRNMLPLQHMFFBJ66CC,3,95.91,見其他登記事項,鋼筋混凝土造,103年4月21日,七層,
RPRNMLPLQHMFFBJ66CC,3,82.58,見其他登記事項,鋼筋混凝土造,103年4月21日,七層,
RPRNMLOLQHMFFBJ56CC,21,96.57,住家用,鋼筋混凝土造,85年7月3日,十三層,
RPRNMLOLQHMFFBJ56CC,21,22.92,共用部分,鋼筋混凝土造,85年7月3日,十三層,
RPSOMLSLQHMFFBJ17CC,9,27.37,商業用,鋼筋混凝土造,97年3月10日,十層,
RPSOMLSLQHMFFBJ17CC,9,11.33,共用部分,鋼筋混凝土造,97年3月10日,十層,
RPOOMLOLQHMFFBJ98CC,1,66.85,商業用,鋼筋混凝土造,105年4月29日,十二層,
RPOOMLOLQHMFFBJ98CC,1,58.18,見其他登記事項,鋼筋混凝土造,105年4月29日,十二層,
RPQNMLPLQHMFFBJ56CC,9,71.87,商業用,鋼筋混凝土造,97年6月9日,九層,
RPQNMLPLQHMFFBJ56CC,9,24.93,共用部分,鋼筋混凝土造,97年6月9日,九層,
RPQNMLPLQHMFFBJ56CC,9,11.82,共用部分,鋼筋混凝土造,97年6月9日,九層,
RPTOMLSLQHMFFBJ27CC,6,96.00,住家用,鋼筋混凝土造,100年12月2日,十四層,
RPTOMLSLQHMFFBJ27CC,6,18.23,見其他登記事項,鋼筋混凝土造,100年12月2日,十四層,
RPTOMLSLQHMFFBJ27CC,6,62.64,見其他登記事項,鋼筋混凝土造,100年12月2日,十四層,
RPPPMLSLQHMFFBJ96CC,11,98.75,住家用,鋼筋混凝土造,95年5月19日,十五層,
RPPPMLSLQHMFFBJ96CC,11,13.62,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPPPMLSLQHMFFBJ96CC,11,26.37,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPOPMLSLQHMFFBJ86CC,12,88.80,住家用,鋼筋混凝土造,94年10月4日,十五層,
RPOPMLSLQHMFFBJ86CC,12,40.79,共用部分,鋼筋混凝土造,94年10月4日,十五層,
RPOPMLSLQHMFFBJ86CC,12,1.03,共用部分,鋼筋混凝土造,94年10月4日,十五層,
RPVOMLSLQHMFFBJ47CC,2,97.14,住家用,鋼筋混凝土造,104年5月19日,十四層,
RPXOMLSLQHMFFBJ67CC,11,98.76,住家用,鋼筋混凝土造,95年5月19日,十五層,
RPVOMLSLQHMFFBJ47CC,2,77.27,見其他登記事項,鋼筋混凝土造,104年5月19日,十四層,
RPXOMLSLQHMFFBJ67CC,11,13.61,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPXOMLSLQHMFFBJ67CC,11,26.36,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPUOMLSLQHMFFBJ37CC,13,104.73,住家用,鋼筋混凝土造,94年1月31日,十四層,
RPUOMLSLQHMFFBJ37CC,13,14.14,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPUOMLSLQHMFFBJ37CC,13,15.68,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPQOMLNJQHMFFCJ98CC,,234.65,住家用,鋼筋混凝土造,,三層,
RPQOMLNJQHMFFCJ98CC,25,15.13,共用部分,鋼筋混凝土造,81年12月7日,3,
RPOPMLTLQHMFFBJ96CC,5,76.98,住家用,鋼筋混凝土造,101年5月31日,十三層,
RPPPMLTLQHMFFBJ07CC,9,27.37,商業用,鋼筋混凝土造,97年3月10日,十層,
RPOPMLTLQHMFFBJ96CC,5,51.16,見其他登記事項,鋼筋混凝土造,101年5月31日,十四層,
