編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOQMLLJQHMFFAP66EB,東陽段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLNJQHMFFAP57EB,東陽段,102.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLNJQHMFFAP57EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLNJQHMFFAP57EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNJQHMFFAP96EB,東陽段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLNJQHMFFAP07EB,東陽段,99.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLNJQHMFFAP07EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLNJQHMFFAP07EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLNJQHMFFAP96EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLNJQHMFFAP96EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLNJQHMFFAP96EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNJQHMFFAP27EB,東陽段,105.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLNJQHMFFAP86EB,東陽段,121.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLNJQHMFFAP86EB,東陽段,2.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLNJQHMFFAP76EB,東陽段,108.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLNJQHMFFAP76EB,東陽段,3.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLNJQHMFFAP76EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLNJQHMFFAP76EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLNJQHMFFAP47EB,東陽段,152.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLNJQHMFFAP47EB,東陽段,23.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJQHMFFAP27EB,東陽段,102.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJQHMFFAP27EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJQHMFFAP27EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLNJQHMFFAP17EB,東陽段,100.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLNJQHMFFAP17EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLNJQHMFFAP17EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLOJQHMFFAP76EB,東陽段,104.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLOJQHMFFAP76EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLOJQHMFFAP76EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLOJQHMFFAP86EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLOJQHMFFAP86EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLOJQHMFFAP86EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLOJQHMFFAP96EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLOJQHMFFAP96EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLOJQHMFFAP96EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLOJQHMFFAP07EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLOJQHMFFAP07EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLOJQHMFFAP07EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLOJQHMFFAP17EB,東陽段,97.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLOJQHMFFAP17EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLOJQHMFFAP17EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLOJQHMFFAP17EB,東陽段,1.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLOJQHMFFAP67EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLOJQHMFFAP67EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLOJQHMFFAP67EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLOJQHMFFAP47EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLOJQHMFFAP47EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLOJQHMFFAP47EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLOJQHMFFAP37EB,東陽段,83.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLOJQHMFFAP37EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLOJQHMFFAP37EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLOJQHMFFAP86EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLOJQHMFFAP86EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLOJQHMFFAP86EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLRJQHMFFAP87EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLRJQHMFFAP87EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLRJQHMFFAP87EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLOJQHMFFAP27EB,東陽段,118.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLOJQHMFFAP27EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLOJQHMFFAP27EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLOJQHMFFAP27EB,東陽段,12.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLOJQHMFFAP07EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLOJQHMFFAP07EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLOJQHMFFAP07EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLOJQHMFFAP96EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLOJQHMFFAP96EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLOJQHMFFAP96EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLOJQHMFFAP57EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLOJQHMFFAP57EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLOJQHMFFAP57EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLRJQHMFFAP67EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLRJQHMFFAP67EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLRJQHMFFAP67EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLRJQHMFFAP97EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
