編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPUOMLPKJIMFFEE78CC,坡道機械,0,
RPSOMLOKJIMFFGE68CC,其他,0,17.42
RPUNMLRKJIMFFGE09CC,坡道機械,0,32.26
RPVOMLKLJIMFFGE68CC,坡道平面,0,
RPQPMLKLJIMFFBE77CC,坡道平面,0,
RPSPMLKLJIMFFBE97CC,坡道平面,0,
RPRPMLKLJIMFFBE87CC,升降機械,0,
RPVPMLKLJIMFFAE18CC,坡道平面,0,
RPQOMLRKJIMFFBE28CC,坡道平面,3000,33.00
RPXPMLKLJIMFFDE68CC,坡道平面,0,
RPUOMLLLJIMFFAE08CC,坡道平面,0,
RPSNMLLLJIMFFBE87CC,坡道平面,2000,14.64
RPQNMLMLJIMFFAE67CC,坡道平面,0,
RPTPMLLLJIMFFCE28CC,坡道平面,0,
RPOOMLNLJIMFFAE67CC,坡道平面,0,
RPOPMLNLJIMFFCE97CC,坡道平面,0,28.44
RPVPMLNLJIMFFEE88CC,坡道機械,0,
RPRNMLOLJIMFFEE38CC,坡道平面,0,19.17
RPROMLOLJIMFFEE48CC,坡道機械,0,8.75
RPXNMLOLJIMFFAE58CC,坡道平面,0,26.50
RPUNMLRLJIMFFBE68CC,坡道平面,1700,12.66
RPVNMLRLJIMFFBE78CC,坡道平面,1700,12.66
RPUNMLSLJIMFFAE68CC,坡道平面,0,
RPXOMLSLJIMFFEE86CC,升降機械,0,
RPVOMLSLJIMFFGE86CC,坡道平面,0,
RPXNMLTLJIMFFBE56CC,坡道機械,0,
RPPNMLKMJIMFFCE67CC,坡道平面,0,
RPVOMLLJKIMFFCE28CC,坡道平面,0,
RPTQMLLJKIMFFEE48CC,坡道平面,0,
RPWOMLOJKIMFFBE58CC,坡道平面,0,19.84
RPRNMLOJKIMFFCE08CC,升降機械,0,
RPPOMLRJKIMFFDE38CC,坡道平面,0,
RPWOMLRJKIMFFDE09CC,坡道平面,0,28.02
RPWOMLRJKIMFFDE09CC,坡道平面,0,28.02
RPQPMLRJKIMFFDE58CC,坡道平面,0,
RPSNMLRJKIMFFAE28CC,坡道平面,0,
RPUNMLRJKIMFFAE48CC,坡道平面,0,
RPXNMLRJKIMFFAE78CC,升降機械,0,
RPQOMLRJKIMFFAE18CC,坡道機械,0,
RPSOMLSJKIMFFAE48CC,升降機械,0,
RPQOMLSJKIMFFEE68CC,坡道平面,0,
RPTOMLSJKIMFFEE98CC,坡道平面,0,
RPVNMLMKKIMFFBE28CC,坡道機械,0,
RPWNMLMKKIMFFBE38CC,坡道平面,2200,14.64
RPXNMLMKKIMFFBE48CC,坡道平面,2000,14.64
RPOOMLMKKIMFFBE67CC,坡道平面,2000,14.64
RPSOMLMKKIMFFBE08CC,坡道機械,0,
RPSOMLNKKIMFFAE08CC,坡道機械,0,9.37
RPPOMLMKKIMFFBE77CC,坡道平面,1500,12.65
RPOOMLNKKIMFFEE08CC,坡道平面,0,29.27
RPQPMLNKKIMFFEE38CC,坡道平面,0,23.99
RPRNMLPKKIMFFEE48CC,坡道機械,0,6.88
RPSOMLKLKIMFFDE18CC,坡道機械,0,8.46
RPRNMLTKKIMFFDE78CC,坡道平面,0,21.09
RPWOMLLLKIMFFCE58CC,坡道平面,0,
RPQNMLLLKIMFFEE18DC,坡道平面,0,
RPPOMLLLKIMFFBE77CC,坡道平面,1700,12.66
RPQOMLLLKIMFFBE87CC,坡道平面,2000,14.64
RPROMLLLKIMFFBE97CC,坡道平面,1500,12.66
RPPQMLLLKIMFFEE28CC,坡道平面,0,28.79
RPPOMLMLKIMFFDE08CC,坡道平面,0,20.11
RPXOMLMLKIMFFEE98CC,坡道平面,0,
RPPNMLQLKIMFFDE38CC,坡道機械,0,7.50
RPROMLPLKIMFFCE48CC,坡道平面,0,
RPTNMLRLKIMFFBE68CC,坡道平面,3200,
RPVNMLRLKIMFFBE88CC,坡道機械,0,
RPQNMLTLKIMFFDE78CC,坡道平面,0,23.23
RPQNMLTLKIMFFBE58CC,坡道平面,1500,12.66
RPPNMLKMKIMFFAE57CC,坡道平面,0,
RPQNMLKMKIMFFCE87CC,坡道平面,0,34.48
RPQNMLKMKIMFFCE87CC,坡道平面,0,41.03
RPXOMLOJJHNFFEE88CC,坡道機械,0,25.83
RPXOMLOJJHNFFEE88CC,坡道平面,0,28.04
RPPNMLOJJHNFFEE97CC,坡道平面,0,18.10
RPQOMLOJJHNFFAE77CC,坡道平面,0,18.77
RPQOMLOJJHNFFAE77CC,坡道平面,0,18.77
RPWNMLSJJHNFFBE78CC,坡道平面,1700,12.66
RPXOMLSJJHNFFCE09CC,坡道平面,0,
RPQPMLSJJHNFFDE58CC,坡道平面,0,
RPXNMLTJJHNFFBE98CC,坡道平面,2000,14.64
RPRNMLMKJHNFFCE87CC,坡道機械,0,13.50
RPXNMLMKJHNFFAE28CC,坡道平面,0,19.60
RPXNMLMKJHNFFAE28CC,坡道平面,0,19.60
RPRNMLNKJHNFFAE77CC,升降機械,0,15.53
RPVNMLNKJHNFFCE38CC,坡道平面,0,28.15
RPWNMLNKJHNFFCE48CC,坡道平面,0,17.32
RPOOMLQKJHNFFDE18CC,坡道平面,0,22.06
RPTOMLQKJHNFFEE78CC,坡道平面,0,28.04
RPTOMLQKJHNFFEE78CC,坡道平面,0,28.04
RPPOMLQKJHNFFDE28CC,坡道平面,0,32.33
RPPOMLQKJHNFFDE28CC,坡道平面,0,30.27
RPQOMLQKJHNFFBE18CC,坡道平面,0,35.28
RPSNMLRKJHNFFAE28CC,坡道機械,0,12.22
RPUNMLQKJHNFFAE38CC,坡道平面,0,25.27
RPPPMLRKJHNFFBE28CC,坡道平面,0,29.14
RPPPMLRKJHNFFBE28CC,坡道平面,0,29.14
RPPPMLRKJHNFFBE28CC,坡道平面,0,29.14
RPXNMLSKJHNFFAE88CC,坡道機械,0,
RPPNMLKLJHNFFAE37CC,坡道機械,0,
RPTOMLMLJHNFFAE08CC,坡道平面,0,17.12
RPTOMLMLJHNFFAE08CC,坡道平面,0,17.12
RPXNMLMLJHNFFBE48CC,升降平面,0,
RPUOMLNLJHNFFAE28CC,坡道平面,0,32.21
RPROMLOLJHNFFEE48CC,坡道平面,0,9.96
RPQOMLOLJHNFFEE38CC,坡道平面,0,20.26
RPOOMLNLJHNFFCE87CC,坡道平面,0,
RPUNMLNLJHNFFBE28CC,坡道平面,1700,14.64
RPTNMLNLJHNFFBE18CC,坡道平面,1700,12.66
RPXNMLNLJHNFFBE58CC,坡道機械,0,
RPPOMLPLJHNFFDE28CC,坡道平面,0,15.46
RPPNMLQLJHNFFAE97CC,坡道平面,0,26.31
RPUNMLQLJHNFFDE78CC,坡道平面,0,5.93
RPPOMLQLJHNFFEE48CC,坡道平面,0,13.46
RPSNMLQLJHNFFEE68CC,坡道平面,0,23.14
RPSNMLQLJHNFFEE68CC,坡道平面,0,23.14
RPRNMLPLJHNFFCE28CC,坡道平面,0,24.18
RPQNMLRLJHNFFAE18CC,坡道平面,0,
RPVNMLTLJHNFFBE98CC,坡道機械,0,21.32
RPOOMLTLJHNFFBE38CC,坡道平面,0,
RPVPMLTLJHNFFEE86CC,坡道平面,0,25.60
RPXNMLKMJHNFFBE38CC,坡道平面,0,18.87
RPXNMLLMJHNFFAE38CC,坡道平面,0,
RPSNMLLJKHNFFBE77CC,坡道平面,0,18.87
RPUOMLLJKHNFFCE18CC,坡道機械,0,10.19
RPQNMLLJKHNFFAE47CC,坡道平面,0,18.77
RPOOMLLJKHNFFAE37CC,坡道機械,0,4.83
RPWPMLTLJHNFFEE96CC,升降機械,0,
RPTNMLKMJHNFFEE28CC,坡道平面,0,29.75
RPTNMLKMJHNFFEE28CC,坡道平面,0,29.75
RPQQMLMJKHNFFCE08CC,坡道平面,0,41.03
RPUPMLMJKHNFFCE38CC,坡道機械,0,
RPXNMLOJKHNFFEE88CC,坡道機械,0,
RPSNMLNJKHNFFAE87CC,坡道平面,0,10.89
RPSNMLNJKHNFFAE87CC,坡道平面,0,10.89
RPSNMLPJKHNFFBE18CC,坡道平面,2000,14.64
RPUNMLPJKHNFFBE38CC,坡道平面,2000,14.64
RPOOMLSJKHNFFBE18CC,坡道平面,0,16.86
RPPNMLSJKHNFFAE08CC,坡道平面,0,24.65
RPXOMLSJKHNFFCE56CC,坡道機械,0,14.74
RPXNMLSJKHNFFCE09CC,坡道平面,0,23.00
RPTNMLSJKHNFFDE78CC,一樓平面,0,
RPQNMLSJKHNFFAE18CC,坡道平面,0,33.85
RPPOMLTJKHNFFDE58CC,坡道平面,0,20.39
RPQOMLSJKHNFFEE68CC,坡道平面,0,20.67
RPQNMLSJKHNFFEE58CC,坡道平面,0,17.94
RPROMLSJKHNFFEE78CC,坡道平面,0,15.06
