鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘇澳鎮,房地(土地+建物),慶安段1261~1290地號,106.76,住,,,1060829,土地2建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,148.15,3,2,3,有,無,6500000,43874,,0.0,0,,RPQOMLRLJIMFFAG58EB
宜蘭市,房地(土地+建物),新張段541~570地號,138.68,,特定農業區,甲種建築用地,1060628,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.59,4,2,4,有,無,9200000,53616,,0.0,0,,RPSOMLQKJHNFFBG68EB
宜蘭市,房地(土地+建物),新張段541~570地號,146.38,,特定農業區,甲種建築用地,1060625,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,149.59,4,2,3,有,無,8750000,58493,,0.0,0,,RPTOMLQKJHNFFBG78EB
宜蘭市,房地(土地+建物),新張段541~570地號,146.54,,特定農業區,甲種建築用地,1060625,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.77,4,2,4,有,無,9800000,55439,,0.0,0,,RPUOMLQKJHNFFBG88EB
宜蘭市,房地(土地+建物),新張段541~570地號,133.7,,特定農業區,甲種建築用地,1060624,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,160.8,4,2,4,有,無,8980000,55846,,0.0,0,,RPWOMLQKJHNFFBG09EB
宜蘭市,房地(土地+建物),新張段541~570地號,133.7,,特定農業區,甲種建築用地,1060624,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.44,4,2,4,有,無,9360000,53049,,0.0,0,,RPXOMLQKJHNFFBG56EB
宜蘭市,房地(土地+建物),新張段541~570地號,138.36,,特定農業區,甲種建築用地,1060624,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.77,4,2,4,有,無,9450000,53459,,0.0,0,,RPOPMLQKJHNFFBG38EB
宜蘭市,房地(土地+建物),新張段541~570地號,143.17,,特定農業區,甲種建築用地,1060626,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,149.59,4,2,4,有,無,9600000,64175,,0.0,0,,RPQPMLQKJHNFFBG58EB
宜蘭市,房地(土地+建物),新張段541~570地號,123.92,,特定農業區,甲種建築用地,1060629,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.23,4,2,4,有,無,9000000,52561,,0.0,0,,RPRNMLRKJHNFFBG58EB
宜蘭市,房地(土地+建物),新張段541~570地號,163.54,,特定農業區,甲種建築用地,1060630,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.46,4,2,3,有,無,9600000,55990,,0.0,0,,RPSNMLRKJHNFFBG68EB
宜蘭市,房地(土地+建物),新張段541~570地號,131.46,,特定農業區,甲種建築用地,1060626,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.66,4,2,4,有,無,9300000,52643,,0.0,0,,RPTNMLRKJHNFFBG78EB
宜蘭市,房地(土地+建物),新張段541~570地號,127.13,,特定農業區,甲種建築用地,1060627,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.66,4,2,4,有,無,9100000,51511,,0.0,0,,RPUNMLRKJHNFFBG88EB
宜蘭市,房地(土地+建物),新張段541~570地號,125.36,,特定農業區,甲種建築用地,1060625,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.96,4,2,4,有,無,8880000,51640,,0.0,0,,RPVNMLRKJHNFFBG98EB
員山鄉,房地(土地+建物),深惠段721~750地號,77.48,,鄉村區,乙種建築用地,1050731,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,175.45,4,2,3,有,無,8680000,49473,,0.0,0,,RPQOMLNLJHNFFBG18DB
員山鄉,房地(土地+建物),深惠段721~750地號,80.28,,鄉村區,乙種建築用地,1050618,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,172.67,4,2,3,有,無,8400000,48648,,0.0,0,,RPROMLNLJHNFFBG28DB
