鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗六市,房地(土地+建物),雲林縣斗六市十三東路31~60號,114.0,,特定農業區,甲種建築用地,1061018,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811217,144.04,3,1,2,有,無,3650000,25340,,0.0,0,含增建或未登記建物。,RPWNMLOKJIMFFAP66CA
斗六市,房地(土地+建物),雲林縣斗六市八德路1~30號,108.44,住,,,1060930,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050731,225.86,5,2,4,有,有,12250000,54237,,0.0,0,,RPXNMLOKJIMFFAP76CA
斗六市,房地(土地+建物),雲林縣斗六市嘉東中路1~30號,90.95,,鄉村區,乙種建築用地,1061018,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870506,189.0,6,2,3,有,無,4500000,23810,,0.0,0,,RPTNMLQKJIMFFAP56CA
斗六市,房地(土地+建物),雲林縣斗六市中堅東路121~150號,81.0,住,,,1061021,土地1建物1車位0,一層，二層，三層，屋頂突出物，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0961022,166.34,4,2,3,有,無,13990000,84105,,0.0,0,,RPTNMLMLJIMFFAP88CA
大埤鄉,土地,大埤段1981~2010地號,1008.0,農,,,1061020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,880000,873,,0.0,0,,RPUNMLPKJIMFFBP66CA
斗南鎮,土地,興國段1711~1740地號,446.0,,,,1061101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,892000,2000,,0.0,0,,RPTNMLLJKIMFFBP78CA
崙背鄉,房地(土地+建物),雲林縣崙背鄉崙前村16鄰面前厝31~60號,98.31,住,,,1060905,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060902,207.75,4,1,3,有,無,5200000,25030,,0.0,0,建商與地主合建案。,RPQNMLPKJIMFFCP98CA
崙背鄉,房地(土地+建物),雲林縣崙背鄉崙前村16鄰面前厝31~60號,94.87,住,,,1060905,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060902,200.05,4,1,3,有,無,5880000,29393,,0.0,0,建商與地主合建案。,RPRNMLPKJIMFFCP09CA
二崙鄉,土地,新庄子段大北園小段1711~1740地號,2490.0,,特定農業區,農牧用地,1061011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4482000,1800,,0.0,0,,RPSOMLPKJIMFFCP66CA
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興路42巷21弄1~30號,127.99,住,,,1061006,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060831,171.29,5,1,4,有,無,6480000,37831,,0.0,0,,RPRPMLNLJIMFFCP56CA
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興路42巷1~30號,109.02,住,,,1061006,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060831,184.92,5,2,4,有,無,6960000,37638,,0.0,0,,RPSPMLNLJIMFFCP66CA
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興路42巷1~30號,124.15,住,,,1061006,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060831,185.83,5,2,4,有,無,7480000,40252,,0.0,0,,RPTPMLNLJIMFFCP76CA
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興路42巷21弄1~30號,128.9,住,,,1061006,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060831,171.81,5,1,4,有,無,6500000,37832,,0.0,0,,RPUPMLNLJIMFFCP86CA
土庫鎮,土地,新北段721~750地號,1957.95,,特定農業區,農牧用地,1061026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4160000,2125,,0.0,0,,RPPPMLNKJIMFFDP98CA
虎尾鎮,土地,新屯段391~420地號,2745.0,,特定農業區,農牧用地,1061026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5160000,1880,,0.0,0,,RPQPMLNKJIMFFDP09CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路121~150號,153.74,,鄉村區,乙種建築用地,1061027,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0830104,104.78,3,2,2,有,無,3800000,36266,,0.0,0,,RPQNMLOKJIMFFDP98CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮新生路91~120號,67.07,商,,,1061017,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0671017,244.13,8,2,4,有,無,10900000,44648,,0.0,0,,RPPNMLPKJIMFFDP98CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮永安街31~60號,69.34,住,,,1061015,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0911128,159.07,5,2,4,有,無,8550000,53750,,0.0,0,,RPPNMLQKJIMFFDP09CA
土庫鎮,土地,糞箕湖段811~840地號,1145.0,,特定農業區,農牧用地,1061016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1048,,0.0,0,,RPRNMLQKJIMFFDP66CA
虎尾鎮,土地,新墾地段511~540地號,272.27,,鄉村區,乙種建築用地,1061024,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1569400,5764,,0.0,0,,RPQNMLKLJIMFFDP68CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮大成十九街1~30號,89.16,住,,,1061018,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060820,183.95,4,2,3,有,無,8850000,48111,,0.0,0,,RPPNMLTLJIMFFDP86CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西二路31~60號,86.84,住,,,1060925,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060714,151.41,4,3,3,有,無,7800000,51516,,0.0,0,,RPRNMLSJKIMFFDP86CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西二路31~60號,85.42,住,,,1061004,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060714,150.59,4,3,3,有,無,6000000,39843,,0.0,0,,RPUNMLSJKIMFFDP17CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西二路31~60號,85.42,住,,,1061004,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060714,150.59,4,3,3,有,無,6000000,39843,,0.0,0,,RPWNMLSJKIMFFDP37CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西二路31~60號,85.42,住,,,1061002,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060714,150.59,4,3,3,有,無,6020000,39976,,0.0,0,,RPOOMLSJKIMFFDP66CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西二路31~60號,98.1,住,,,1061010,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060714,153.03,4,3,3,有,無,6280000,41038,,0.0,0,,RPQOMLSJKIMFFDP86CA
北港鎮,土地,聖平段91~120地號,153.3,,鄉村區,乙種建築用地,1061031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,470000,3066,,0.0,0,親友間之交易。含未登記建物。建物出售持分1/2,RPQNMLPKJIMFFEP56CA
水林鄉,土地,都統段181~210地號,1707.01,,特定農業區,農牧用地,1061025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1177837,690,,0.0,0,,RPQNMLPLJIMFFEP66CA
四湖鄉,土地,安慶段91~120地號,2084.72,,一般農業區,農牧用地,1061027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1104902,530,,0.0,0,,RPUNMLOJKIMFFEP86CA
四湖鄉,土地,安慶段91~120地號,2076.48,,一般農業區,農牧用地,1061027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100534,530,,0.0,0,,RPVNMLOJKIMFFEP96CA
東勢鄉,土地,東西段271~300地號,108.5,,特定農業區,甲種建築用地,1061026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1148700,10587,,0.0,0,,RPPNMLPKJIMFFFP56CA
斗六市,房地(土地+建物),雲林縣斗六市內環路931~960號,123.0,住,,,1061026,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1050625,297.5,3,3,3,有,無,19680000,66151,,0.0,0,,RPXNMLTLJIMFFAP47DA
斗六市,房地(土地+建物),雲林縣斗六市內環路931~960號,110.0,住,,,1061026,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1050625,276.35,3,3,3,有,無,16000000,57898,,0.0,0,,RPPOMLTLJIMFFAP76DA
斗六市,房地(土地+建物),雲林縣斗六市內環路931~960號,110.0,住,,,1061026,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1050625,278.08,3,3,3,有,無,16000000,57537,,0.0,0,,RPROMLTLJIMFFAP96DA
斗六市,土地,海豐崙段朱丹灣小段31~60地號,112.0,住,,,1061026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8808800,78650,,0.0,0,,RPSOMLTLJIMFFAP07DA
斗六市,土地,海豐崙段朱丹灣小段31~60地號,1149.0,住,,,1061030,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62563050,54450,,0.0,0,,RPOOMLLJKIMFFAP38DA
斗六市,房地(土地+建物),雲林縣斗六市林中街1~30號,22.43,住,,,1061006,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840310,145.13,3,2,2,有,無,4550000,31351,,0.0,0,,RPTNMLRJKIMFFAP76DA
大埤鄉,土地,田子林段1141~1170地號,416.0,,特定農業區,農牧用地,1061031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,1202,,0.0,0,,RPRNMLQKJIMFFBP56DA
西螺鎮,土地,漢南段871~900地號,1566.53,住,,,1060926,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34801800,22216,,0.0,0,,RPTOMLPJKIMFFCP86DA
四湖鄉,土地,北安段2131~2160地號,1451.78,,一般農業區,農牧用地,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,580714,400,,0.0,0,,RPSNMLPKJIMFFEP86DA
四湖鄉,土地,北安段1531~1560地號,1347.29,,一般農業區,農牧用地,1061101,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,538915,400,,0.0,0,,RPTNMLPKJIMFFEP96DA
水林鄉,房地(土地+建物),雲林縣水林鄉水林路91~120號,82.92,住,,,1061030,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0691211,182.77,2,3,3,有,無,10080000,55151,,0.0,0,,RPRNMLQKJIMFFEP86DA
台西鄉,土地,和豐段901~930地號,310.01,,鄉村區,乙種建築用地,1061029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,468900,1513,,0.0,0,,RPSNMLQKJIMFFFP07DA
斗六市,房地(土地+建物),雲林縣斗六市西平路211~240號,13.1,住,,,1060911,土地1建物1車位0,一層，二層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0860515,132.92,1,1,2,有,有,5800000,43635,,0.0,0,,RPRNMLKLJIMFFAP68EA
莿桐鄉,土地,南安段1111~1140地號,155.17,住,,,1050306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,30934,,0.0,0,含未登記建物。,RPSNMLMKKIMFFAP98EA
斗六市,房地(土地+建物),雲林縣斗六市深圳路31~60號,166.27,,鄉村區,乙種建築用地,1060921,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820118,237.12,6,2,6,有,無,5200000,21930,,0.0,0,,RPXNMLMKKIMFFAP86EA
古坑鄉,土地,水碓東段301~330地號,17.7,,一般農業區,甲種建築用地,1061102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75000,4237,,0.0,0,,RPOOMLQKJIMFFAP88DA
斗六市,房地(土地+建物),雲林縣斗六市莊敬路361~390號,16.5,住,,,1061006,土地1建物1車位0,一層，騎樓,九層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830701,114.12,0,0,0,無,有,6000000,52576,,0.0,0,,RPPOMLQKJIMFFAP98DA
斗六市,房地(土地+建物)+車位,雲林縣斗六市莊敬路331~360號,15.57,住,,,1061006,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830701,122.57,3,2,2,有,有,3950000,32226,升降平面,0.0,0,,RPQOMLQKJIMFFAP09DA
莿桐鄉,土地,四合段571~600地號,1991.51,,一般農業區,農牧用地,1061113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,1105,,0.0,0,,RPQNMLNKKIMFFAP78DA
莿桐鄉,土地,四合段571~600地號,1991.5,,一般農業區,農牧用地,1061113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,1105,,0.0,0,,RPRNMLNKKIMFFAP88DA
莿桐鄉,土地,四合段571~600地號,114.56,,一般農業區,水利用地,1061113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,873,,0.0,0,,RPSNMLNKKIMFFAP98DA
麥寮鄉,土地,施厝寮段2311~2340地號,6838.0,,一般農業區,農牧用地,1061103,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,1170,,0.0,0,,RPQNMLPKJIMFFFP66CA
台西鄉,土地,普令厝段1741~1770地號,1360.0,,一般農業區,農牧用地,1061017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,952000,700,,0.0,0,,RPPNMLKLJIMFFFP78CA
