編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLOKJIMFFAP66CA,25,144.04,住家用,鋼筋混凝土造,81年12月17日,三層,一層 二層 三層 騎樓
RPXNMLOKJIMFFAP76CA,1,225.40,見其他登記事項,鋼筋混凝土造,105年7月31日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLOKJIMFFAP76CA,1,.46,見其他登記事項,鋼筋混凝土造,105年7月31日,四層,
RPRPMLNLJIMFFCP56CA,,171.29,住家用,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層
RPTNMLQKJIMFFAP56CA,19,189.00,住家用,鋼筋混凝土造,87年5月6日,四層,一層 二層 三層 四層
RPPNMLPKJIMFFDP98CA,39,244.13,住商用,鋼筋混凝土造,67年10月17日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPQNMLPKJIMFFCP98CA,,207.75,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPTNMLMLJIMFFAP88CA,10,166.34,住商用,鋼筋混凝土造,96年10月22日,三層,一層 二層 三層 屋頂突出物 騎樓
RPRNMLPKJIMFFCP09CA,,200.05,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPSPMLNLJIMFFCP66CA,,184.92,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPUPMLNLJIMFFCP86CA,,171.81,住家用,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層
RPTPMLNLJIMFFCP76CA,,185.83,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPQNMLOKJIMFFDP98CA,24,104.78,住家用,鋼筋混凝土加強磚造,83年1月4日,二層,一層 二層 電梯樓梯間
RPPNMLQKJIMFFDP09CA,15,159.07,見其他登記事項,鋼筋混凝土造,91年11月28日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
