編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLLLKHNFFAI97CA,25,28.58,見其他登記事項,鋼筋混凝土造,81年12月31日,五層,地下層
RPQOMLLLKHNFFAI97CA,25,.08,共有部份,鋼筋混凝土造,81年12月31日,五層,
RPOOMLLLKHNFFAI77CA,22,33.81,住家用,鋼筋混凝土造,84年12月7日,六層,四層
RPOOMLLLKHNFFAI77CA,22,14.04,共有部份,鋼筋混凝土造,84年12月7日,六層,
RPROMLNKKHNFFAI18CA,25,56.91,住家用,鋼筋混凝土造,81年11月17日,七層,六層
RPROMLNKKHNFFAI18CA,25,20.25,共有部份,鋼筋混凝土造,81年11月17日,七層,
RPWPMLNKKHNFFAI78CA,4,280.94,見其他登記事項,見其他登記事項,102年11月7日,四層,一層 二層 三層 四層 見其他登記事項
RPWPMLNKKHNFFAI78CA,4,.23,見其他登記事項,見其他登記事項,102年11月7日,一層,
RPSNMLOKKHNFFAI28CA,,177.45,見其他登記事項,見其他登記事項,106年8月22日,三層,一層 二層 三層 見其他登記事項
RPSNMLOKKHNFFAI28CA,,.16,見其他登記事項,見其他登記事項,106年8月22日,一層,
RPVOMLNKKHNFFAI78EA,23,31.15,住家用,鋼筋混凝土造,84年7月24日,十四層,十一層
RPVOMLNKKHNFFAI78EA,23,8.20,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPVOMLNKKHNFFAI78EA,23,6.42,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPRQMLNKKHNFFAI38CA,25,28.64,住家用,鋼筋混凝土造,82年6月9日,十六層,八層
RPRQMLNKKHNFFAI38CA,25,6.21,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPRQMLNKKHNFFAI38CA,25,4.66,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPXNMLNLKHNFFAI98EA,23,119.19,住家用,鋼筋混凝土造,84年3月1日,六層,六層
RPXNMLNLKHNFFAI98EA,23,17.85,共有部份,鋼筋混凝土造,84年3月1日,六層,
RPXNMLMJLHNFFAI58CA,32,133.04,住家用,鋼筋混凝土造,75年4月12日,二層,一層 二層
RPWNMLMLKHNFFAI58CA,13,115.40,住家用,鋼筋混凝土造,93年11月1日,十四層,十四層
RPWNMLMLKHNFFAI58CA,13,73.25,共有部份,鋼筋混凝土造,93年11月1日,十四層,
RPROMLMJLHNFFAI08CA,38,95.81,住家用,鋼筋混凝土加強磚造,67年9月14日,二層,一層 二層
RPVOMLNLKHNFFAI68CA,25,296.98,見其他登記事項,鋼筋混凝土造,82年3月17日,五層,一層 二層 三層 四層 五層
RPXNMLMLKHNFFAI68CA,43,87.07,見其他登記事項,加強磚造,63年9月7日,二層,一層 二層
RPUNMLOKKHNFFAI48CA,24,90.54,住家用,鋼筋混凝土造,82年11月26日,四層,一層 二層 三層 四層
RPUNMLOKKHNFFAI48CA,24,90.54,住家用,鋼筋混凝土造,82年11月26日,四層,一層 二層 三層 四層
RPOOMLNLKHNFFAI97CA,27,25.50,住家用,鋼筋混凝土造,79年10月23日,七層,七層
RPOOMLNLKHNFFAI97CA,27,7.15,共有部份,鋼筋混凝土造,79年10月13日,七層,
RPOOMLNLKHNFFAI97CA,27,4.28,共有部份,鋼筋混凝土造,79年10月23日,七層,
RPSNMLTJLHNFFAI78CA,29,26.45,見其他登記事項,鋼筋混凝土造,77年11月8日,七層,七層
RPSNMLTJLHNFFAI78CA,29,4.41,共有部份,鋼筋混凝土造,77年11月8日,七層,
RPQOMLRJLHNFFAI48CA,24,169.58,住商用,鋼筋混凝土加強磚造,83年6月22日,二層,一層 二層
RPPNMLLLKHNFFAI77CA,24,140.10,住商用,鋼筋混凝土造,82年12月23日,十二層,一層 二層 三層
RPPNMLLLKHNFFAI77CA,24,13.08,共有部份,鋼筋混凝土造,82年12月23日,十二層,
RPPNMLLLKHNFFAI77CA,24,1.45,共有部份,鋼筋混凝土造,82年12月23日,十二層,
RPPNMLLLKHNFFAI77CA,24,16.17,共有部份,鋼筋混凝土造,82年12月23日,十二層,
RPPNMLKKLHNFFAI67CA,11,278.91,見其他登記事項,鋼筋混凝土造,95年6月28日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPWNMLNKLHNFFAI68CA,42,165.00,住家用,鋼筋混凝土加強磚造,64年10月20日,二層,一層 二層
RPPNMLMLKHNFFAI87CA,23,122.24,住家用,鋼筋混凝土造,84年3月6日,十層,十層 夾層
RPPNMLMLKHNFFAI87CA,23,14.28,共有部份,鋼筋混凝土造,84年3月6日,十層,
RPPNMLMLKHNFFAI87CA,23,14.65,共有部份,鋼筋混凝土造,84年3月6日,十層,
RPPNMLMLKHNFFAI87CA,23,18.00,共有部份,鋼筋混凝土造,84年3月6日,十層,
RPTNMLTJLHNFFAI88CA,24,95.17,住商用,鋼筋混凝土造,82年12月13日,四層,一層 二層 三層 四層
